cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
98141910,20.34,19.87,2009-01-02,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,21.76,20.38,2009-01-05,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,22.89,22.11,2009-01-06,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,22.5,22.38,2009-01-07,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,21.52,22.05,2009-01-08,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,19.98,21.59,2009-01-09,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,20.04,20.18,2009-01-12,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,20.17,19.86,2009-01-13,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,19.23,19.54,2009-01-14,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,19.53,19.27,2009-01-15,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,19.76,19.86,2009-01-16,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,17.33,19.42,2009-01-20,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,17.67,17.36,2009-01-21,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,16.56,17.17,2009-01-22,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,17.52,16.4,2009-01-23,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,17.48,17.61,2009-01-26,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,17.49,17.62,2009-01-27,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,20.65,21.2,2009-01-28,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,19.52,20.19,2009-01-29,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,19.15,19.86,2009-01-30,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,19.9,18.72,2009-02-02,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,19.54,20.0,2009-02-03,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,18.88,19.6,2009-02-04,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,19.29,18.73,2009-02-05,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,19.57,19.29,2009-02-06,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,19.44,19.4,2009-02-09,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,18.9,19.21,2009-02-10,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,19.0,18.99,2009-02-11,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,19.11,18.62,2009-02-12,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,18.51,18.67,2009-02-13,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,18.06,18.06,2009-02-17,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,17.4,17.98,2009-02-18,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,16.44,17.66,2009-02-19,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,16.03,16.23,2009-02-20,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,15.5,16.43,2009-02-23,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,16.94,15.8,2009-02-24,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,16.26,16.79,2009-02-25,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,16.07,16.52,2009-02-26,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,14.66,15.71,2009-02-27,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,12.85,14.21,2009-03-02,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,12.84,13.15,2009-03-03,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,12.44,13.12,2009-03-04,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,11.51,12.4,2009-03-05,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,11.26,11.67,2009-03-06,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,11.28,10.7,2009-03-09,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,12.62,11.41,2009-03-10,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,12.82,12.68,2009-03-11,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,14.35,12.77,2009-03-12,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,14.08,14.43,2009-03-13,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,14.45,14.24,2009-03-16,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,15.07,14.4,2009-03-17,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,16.1,14.95,2009-03-18,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,15.85,16.22,2009-03-19,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,15.95,16.07,2009-03-20,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,17.83,16.07,2009-03-23,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,16.25,17.45,2009-03-24,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,17.33,16.5,2009-03-25,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,18.7,17.73,2009-03-26,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,18.25,18.23,2009-03-27,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,16.9,17.63,2009-03-30,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,17.1,17.175,2009-03-31,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,18.14,16.72,2009-04-01,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,19.08,18.38,2009-04-02,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,19.52,19.08,2009-04-03,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,19.2,19.19,2009-04-06,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,17.43,18.74,2009-04-07,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,17.53,17.57,2009-04-08,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,19.5,18.12,2009-04-09,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,21.48,19.17,2009-04-13,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,19.55,21.04,2009-04-14,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,20.82,19.5,2009-04-15,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,21.55,21.05,2009-04-16,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,23.08,21.63,2009-04-17,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,20.66,22.3,2009-04-20,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,20.92,20.5,2009-04-21,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,21.05,20.37,2009-04-22,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,20.97,21.04,2009-04-23,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,23.14,21.31,2009-04-24,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,23.06,22.59,2009-04-27,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
98141910,23.8,22.61,2009-04-28,WRLD,WORLD ACCEPTANCE CORP,6141.0,244.0
