cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
96990410,8.31,7.91,2009-01-02,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,8.27,8.1,2009-01-05,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,8.94,8.39,2009-01-06,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,8.81,8.68,2009-01-07,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,8.66,8.31,2009-01-08,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,8.58,8.66,2009-01-09,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,8.35,8.59,2009-01-12,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,8.33,8.34,2009-01-13,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,7.63,8.0,2009-01-14,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,7.84,7.64,2009-01-15,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,7.83,7.98,2009-01-16,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,6.85,7.85,2009-01-20,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,7.12,6.81,2009-01-21,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,7.51,6.8,2009-01-22,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,8.18,7.25,2009-01-23,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,8.34,8.17,2009-01-26,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,8.62,8.33,2009-01-27,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,9.09,8.66,2009-01-28,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,8.42,8.89,2009-01-29,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,7.92,8.51,2009-01-30,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,7.95,7.8,2009-02-02,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,8.44,7.96,2009-02-03,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,8.37,8.43,2009-02-04,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,8.77,8.39,2009-02-05,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,9.25,8.75,2009-02-06,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,9.38,9.27,2009-02-09,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,9.19,9.33,2009-02-10,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,9.61,9.43,2009-02-11,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,9.37,9.28,2009-02-12,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,9.11,9.35,2009-02-13,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,8.81,8.91,2009-02-17,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,8.98,8.91,2009-02-18,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,8.64,9.11,2009-02-19,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,8.24,8.44,2009-02-20,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,7.94,8.32,2009-02-23,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,8.65,7.96,2009-02-24,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,8.86,8.6,2009-02-25,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,8.48,9.01,2009-02-26,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,8.73,8.31,2009-02-27,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,8.52,8.47,2009-03-02,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,8.42,8.69,2009-03-03,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,8.67,8.54,2009-03-04,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,8.09,8.46,2009-03-05,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,7.6,8.16,2009-03-06,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,7.55,7.51,2009-03-09,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,8.54,7.77,2009-03-10,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,9.3,8.79,2009-03-11,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,10.05,9.12,2009-03-12,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,9.17,9.8,2009-03-13,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,8.91,9.34,2009-03-16,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,9.39,8.89,2009-03-17,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,10.15,9.35,2009-03-18,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,10.4,10.43,2009-03-19,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,10.55,10.4,2009-03-20,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,11.19,10.89,2009-03-23,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,11.19,10.94,2009-03-24,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,10.78,10.785,2009-03-25,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,11.17,10.83,2009-03-26,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,10.7,10.96,2009-03-27,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,10.07,10.6,2009-03-30,WSM,WILLIAMS SONOMA INC,5719.0,377.0
96990410,10.08,10.24,2009-03-31,WSM,WILLIAMS SONOMA INC,5719.0,377.0
