cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
96759020,0.1999,0.2,2009-01-02,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.18,0.2,2009-01-05,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.23,0.17,2009-01-06,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.2301,0.25,2009-01-07,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.24,0.24,2009-01-08,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.232,0.23,2009-01-09,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.21,0.25,2009-01-12,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.2199,0.22,2009-01-13,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.2,0.2,2009-01-14,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.21,0.19,2009-01-15,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.24,0.2,2009-01-16,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.21,0.22,2009-01-20,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.24,0.22,2009-01-21,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.23,0.22,2009-01-22,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.21,0.21,2009-01-23,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.2002,0.2,2009-01-26,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.25,0.2,2009-01-27,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.25,0.25,2009-01-28,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.29,0.2424,2009-01-29,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.27,0.29,2009-01-30,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.24,0.24,2009-02-02,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.27,0.24,2009-02-03,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.24,0.26,2009-02-04,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.21,0.2,2009-02-05,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.22,0.2201,2009-02-06,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.25,0.24,2009-02-09,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.25,0.28,2009-02-10,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.25,0.25,2009-02-11,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.25,0.25,2009-02-12,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.25,0.26,2009-02-13,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.23,0.25,2009-02-17,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.25,0.23,2009-02-18,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.25,0.25,2009-02-19,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.26,0.26,2009-02-20,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.28,0.26,2009-02-23,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.2701,0.27,2009-02-24,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.28,0.29,2009-02-25,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.23,0.25,2009-02-26,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.28,0.25,2009-02-27,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.27,0.27,2009-03-02,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.28,0.25,2009-03-03,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.24,0.3,2009-03-04,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.24,0.24,2009-03-05,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.25,0.2499,2009-03-06,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.26,0.25,2009-03-09,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.25,0.254,2009-03-10,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.23,0.27,2009-03-11,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.24,0.25,2009-03-12,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.25,0.25,2009-03-13,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.24,0.21,2009-03-16,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.26,0.26,2009-03-17,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.26,0.26,2009-03-18,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.26,0.28,2009-03-19,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.28,0.251,2009-03-20,WYY,WIDEPOINT CORP,7373.0,222.0
96759020,0.27,0.28,2009-03-23,WYY,WIDEPOINT CORP,7373.0,222.0
