cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
78464A88,12.2699,12.11,2009-01-02,XHB,SPDR SERIES TRUST,6726.0,219.0
78464A88,12.73,12.15,2009-01-05,XHB,SPDR SERIES TRUST,6726.0,219.0
78464A88,13.14,12.92,2009-01-06,XHB,SPDR SERIES TRUST,6726.0,219.0
78464A88,12.64,12.89,2009-01-07,XHB,SPDR SERIES TRUST,6726.0,219.0
78464A88,12.97,12.45,2009-01-08,XHB,SPDR SERIES TRUST,6726.0,219.0
78464A88,12.38,12.95,2009-01-09,XHB,SPDR SERIES TRUST,6726.0,219.0
78464A88,11.77,12.44,2009-01-12,XHB,SPDR SERIES TRUST,6726.0,219.0
78464A88,11.86,11.65,2009-01-13,XHB,SPDR SERIES TRUST,6726.0,219.0
78464A88,11.24,11.67,2009-01-14,XHB,SPDR SERIES TRUST,6726.0,219.0
78464A88,11.29,11.28,2009-01-15,XHB,SPDR SERIES TRUST,6726.0,219.0
78464A88,11.54,11.44,2009-01-16,XHB,SPDR SERIES TRUST,6726.0,219.0
78464A88,10.73,11.44,2009-01-20,XHB,SPDR SERIES TRUST,6726.0,219.0
78464A88,10.95,10.94,2009-01-21,XHB,SPDR SERIES TRUST,6726.0,219.0
78464A88,10.69,10.63,2009-01-22,XHB,SPDR SERIES TRUST,6726.0,219.0
78464A88,10.72,10.39,2009-01-23,XHB,SPDR SERIES TRUST,6726.0,219.0
78464A88,10.97,10.81,2009-01-26,XHB,SPDR SERIES TRUST,6726.0,219.0
78464A88,10.81,11.0,2009-01-27,XHB,SPDR SERIES TRUST,6726.0,219.0
78464A88,11.47,11.11,2009-01-28,XHB,SPDR SERIES TRUST,6726.0,219.0
78464A88,10.64,11.2,2009-01-29,XHB,SPDR SERIES TRUST,6726.0,219.0
78464A88,10.28,10.81,2009-01-30,XHB,SPDR SERIES TRUST,6726.0,219.0
78464A88,10.28,10.15,2009-02-02,XHB,SPDR SERIES TRUST,6726.0,219.0
78464A88,11.1,10.49,2009-02-03,XHB,SPDR SERIES TRUST,6726.0,219.0
78464A88,10.87,11.09,2009-02-04,XHB,SPDR SERIES TRUST,6726.0,219.0
78464A88,11.17,10.76,2009-02-05,XHB,SPDR SERIES TRUST,6726.0,219.0
78464A88,11.96,11.2,2009-02-06,XHB,SPDR SERIES TRUST,6726.0,219.0
78464A88,11.77,11.99,2009-02-09,XHB,SPDR SERIES TRUST,6726.0,219.0
78464A88,10.82,11.71,2009-02-10,XHB,SPDR SERIES TRUST,6726.0,219.0
78464A88,10.88,10.88,2009-02-11,XHB,SPDR SERIES TRUST,6726.0,219.0
78464A88,10.75,10.51,2009-02-12,XHB,SPDR SERIES TRUST,6726.0,219.0
78464A88,10.7,10.73,2009-02-13,XHB,SPDR SERIES TRUST,6726.0,219.0
78464A88,10.39,10.29,2009-02-17,XHB,SPDR SERIES TRUST,6726.0,219.0
78464A88,10.04,10.45,2009-02-18,XHB,SPDR SERIES TRUST,6726.0,219.0
78464A88,9.46,10.16,2009-02-19,XHB,SPDR SERIES TRUST,6726.0,219.0
78464A88,9.36,9.29,2009-02-20,XHB,SPDR SERIES TRUST,6726.0,219.0
78464A88,9.21,9.55,2009-02-23,XHB,SPDR SERIES TRUST,6726.0,219.0
78464A88,9.88,9.31,2009-02-24,XHB,SPDR SERIES TRUST,6726.0,219.0
