cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
81369Y10,23.57,22.9,2009-01-02,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,23.62,23.44,2009-01-05,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,24.15,23.97,2009-01-06,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,23.59,23.93,2009-01-07,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,23.92,23.59,2009-01-08,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,23.34,23.94,2009-01-09,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,22.37,23.24,2009-01-12,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,22.49,22.37,2009-01-13,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,21.65,22.19,2009-01-14,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,22.29,21.7,2009-01-15,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,22.54,22.77,2009-01-16,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,21.27,22.53,2009-01-20,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,22.02,21.65,2009-01-21,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,21.68,21.57,2009-01-22,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,22.01,21.25,2009-01-23,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,21.75,22.25,2009-01-26,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,21.91,21.93,2009-01-27,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,22.53,22.26,2009-01-28,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,21.92,22.29,2009-01-29,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,21.06,21.98,2009-01-30,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,20.76,20.84,2009-02-02,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,21.16,20.94,2009-02-03,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,21.42,21.44,2009-02-04,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,21.99,21.56,2009-02-05,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,22.65,22.19,2009-02-06,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,22.57,22.7,2009-02-09,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,21.56,22.54,2009-02-10,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,21.56,21.82,2009-02-11,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,21.92,21.29,2009-02-12,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,21.59,21.95,2009-02-13,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,20.65,20.89,2009-02-17,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,20.53,20.8,2009-02-18,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,20.32,20.79,2009-02-19,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,20.48,20.07,2009-02-20,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,19.24,20.72,2009-02-23,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,19.85,19.37,2009-02-24,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,19.55,19.96,2009-02-25,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,19.57,19.89,2009-02-26,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,19.37,19.2,2009-02-27,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,18.08,19.0,2009-03-02,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,18.15,18.32,2009-03-03,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,18.78,18.61,2009-03-04,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,18.17,18.77,2009-03-05,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,18.4,18.46,2009-03-06,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,18.18,18.17,2009-03-09,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,19.19,18.65,2009-03-10,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,19.77,19.63,2009-03-11,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,20.26,19.83,2009-03-12,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,20.35,20.46,2009-03-13,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,20.67,20.58,2009-03-16,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,20.848,20.59,2009-03-17,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,21.46,20.6,2009-03-18,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,21.66,21.9,2009-03-19,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,21.15,21.49,2009-03-20,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,22.4,21.63,2009-03-23,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,22.31,22.11,2009-03-24,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,22.51,22.47,2009-03-25,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,23.41,22.95,2009-03-26,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,22.9,23.21,2009-03-27,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,22.11,22.27,2009-03-30,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,22.21,22.34,2009-03-31,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,22.66,21.86,2009-04-01,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,23.51,23.54,2009-04-02,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,23.81,23.56,2009-04-03,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,23.39,23.46,2009-04-06,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,22.59,23.08,2009-04-07,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,22.85,22.77,2009-04-08,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,23.84,23.5,2009-04-09,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
81369Y10,24.15,23.8,2009-04-13,XLB,SELECT SECTOR SPDR TRUST,6726.0,288.0
