cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
449810,16.07,15.97,2009-01-02,ACIW,A C I WORLDWIDE INC,7372.0,217.0
449810,16.25,16.06,2009-01-05,ACIW,A C I WORLDWIDE INC,7372.0,217.0
449810,16.63,16.41,2009-01-06,ACIW,A C I WORLDWIDE INC,7372.0,217.0
449810,16.71,16.41,2009-01-07,ACIW,A C I WORLDWIDE INC,7372.0,217.0
449810,17.25,16.51,2009-01-08,ACIW,A C I WORLDWIDE INC,7372.0,217.0
449810,16.29,17.3,2009-01-09,ACIW,A C I WORLDWIDE INC,7372.0,217.0
449810,16.68,16.25,2009-01-12,ACIW,A C I WORLDWIDE INC,7372.0,217.0
449810,16.99,16.67,2009-01-13,ACIW,A C I WORLDWIDE INC,7372.0,217.0
449810,16.84,16.69,2009-01-14,ACIW,A C I WORLDWIDE INC,7372.0,217.0
449810,17.94,16.84,2009-01-15,ACIW,A C I WORLDWIDE INC,7372.0,217.0
449810,17.75,18.11,2009-01-16,ACIW,A C I WORLDWIDE INC,7372.0,217.0
449810,16.94,17.61,2009-01-20,ACIW,A C I WORLDWIDE INC,7372.0,217.0
449810,17.79,17.27,2009-01-21,ACIW,A C I WORLDWIDE INC,7372.0,217.0
449810,17.18,17.45,2009-01-22,ACIW,A C I WORLDWIDE INC,7372.0,217.0
449810,17.1,16.75,2009-01-23,ACIW,A C I WORLDWIDE INC,7372.0,217.0
449810,17.23,17.0,2009-01-26,ACIW,A C I WORLDWIDE INC,7372.0,217.0
449810,17.18,17.22,2009-01-27,ACIW,A C I WORLDWIDE INC,7372.0,217.0
449810,17.27,17.39,2009-01-28,ACIW,A C I WORLDWIDE INC,7372.0,217.0
449810,17.35,17.14,2009-01-29,ACIW,A C I WORLDWIDE INC,7372.0,217.0
449810,16.99,17.51,2009-01-30,ACIW,A C I WORLDWIDE INC,7372.0,217.0
449810,17.72,16.61,2009-02-02,ACIW,A C I WORLDWIDE INC,7372.0,217.0
449810,17.25,17.77,2009-02-03,ACIW,A C I WORLDWIDE INC,7372.0,217.0
449810,17.08,17.22,2009-02-04,ACIW,A C I WORLDWIDE INC,7372.0,217.0
449810,17.09,16.83,2009-02-05,ACIW,A C I WORLDWIDE INC,7372.0,217.0
449810,17.59,17.09,2009-02-06,ACIW,A C I WORLDWIDE INC,7372.0,217.0
449810,17.42,17.53,2009-02-09,ACIW,A C I WORLDWIDE INC,7372.0,217.0
449810,16.82,17.3,2009-02-10,ACIW,A C I WORLDWIDE INC,7372.0,217.0
449810,16.99,16.84,2009-02-11,ACIW,A C I WORLDWIDE INC,7372.0,217.0
449810,17.21,16.84,2009-02-12,ACIW,A C I WORLDWIDE INC,7372.0,217.0
449810,17.01,17.18,2009-02-13,ACIW,A C I WORLDWIDE INC,7372.0,217.0
449810,16.24,16.49,2009-02-17,ACIW,A C I WORLDWIDE INC,7372.0,217.0
449810,16.01,15.99,2009-02-18,ACIW,A C I WORLDWIDE INC,7372.0,217.0
449810,15.9,16.1,2009-02-19,ACIW,A C I WORLDWIDE INC,7372.0,217.0
449810,16.0,15.65,2009-02-20,ACIW,A C I WORLDWIDE INC,7372.0,217.0
449810,16.0,16.12,2009-02-23,ACIW,A C I WORLDWIDE INC,7372.0,217.0
449810,16.33,16.15,2009-02-24,ACIW,A C I WORLDWIDE INC,7372.0,217.0
449810,16.0,16.19,2009-02-25,ACIW,A C I WORLDWIDE INC,7372.0,217.0
449810,17.8,16.64,2009-02-26,ACIW,A C I WORLDWIDE INC,7372.0,217.0
449810,17.86,17.66,2009-02-27,ACIW,A C I WORLDWIDE INC,7372.0,217.0
449810,17.77,17.56,2009-03-02,ACIW,A C I WORLDWIDE INC,7372.0,217.0
449810,17.53,18.13,2009-03-03,ACIW,A C I WORLDWIDE INC,7372.0,217.0
449810,17.8,17.55,2009-03-04,ACIW,A C I WORLDWIDE INC,7372.0,217.0
