cusip,prc,openprc,date,numtrd,shrout,htick,hcomnam,hsiccd
05276910,20.68,19.55,2009-01-02,17632,226289.0,ADSK,AUTODESK INC,7370.0
05276910,20.88,20.6,2009-01-05,18153,226289.0,ADSK,AUTODESK INC,7370.0
05276910,20.85,21.11,2009-01-06,22799,226289.0,ADSK,AUTODESK INC,7370.0
05276910,20.07,20.55,2009-01-07,22959,226289.0,ADSK,AUTODESK INC,7370.0
05276910,19.2,19.59,2009-01-08,31880,226289.0,ADSK,AUTODESK INC,7370.0
05276910,18.47,19.41,2009-01-09,25981,226289.0,ADSK,AUTODESK INC,7370.0
05276910,18.78,18.42,2009-01-12,26092,226289.0,ADSK,AUTODESK INC,7370.0
05276910,18.46,18.78,2009-01-13,28024,226289.0,ADSK,AUTODESK INC,7370.0
05276910,17.73,18.19,2009-01-14,29370,226289.0,ADSK,AUTODESK INC,7370.0
05276910,15.48,15.85,2009-01-15,48586,226289.0,ADSK,AUTODESK INC,7370.0
05276910,16.14,15.79,2009-01-16,46559,226289.0,ADSK,AUTODESK INC,7370.0
05276910,15.72,16.135,2009-01-20,42035,226289.0,ADSK,AUTODESK INC,7370.0
05276910,16.77,15.82,2009-01-21,31851,226289.0,ADSK,AUTODESK INC,7370.0
05276910,16.13,16.31,2009-01-22,29085,226289.0,ADSK,AUTODESK INC,7370.0
05276910,16.26,15.61,2009-01-23,26099,226289.0,ADSK,AUTODESK INC,7370.0
05276910,16.43,16.47,2009-01-26,26872,226289.0,ADSK,AUTODESK INC,7370.0
05276910,16.91,16.34,2009-01-27,25070,226289.0,ADSK,AUTODESK INC,7370.0
05276910,17.25,17.29,2009-01-28,29566,226289.0,ADSK,AUTODESK INC,7370.0
05276910,16.93,17.01,2009-01-29,22643,226289.0,ADSK,AUTODESK INC,7370.0
05276910,16.56,17.13,2009-01-30,23748,226400.0,ADSK,AUTODESK INC,7370.0
05276910,16.53,16.4,2009-02-02,25171,226400.0,ADSK,AUTODESK INC,7370.0
05276910,17.19,16.57,2009-02-03,28389,226400.0,ADSK,AUTODESK INC,7370.0
05276910,17.41,17.21,2009-02-04,24219,226400.0,ADSK,AUTODESK INC,7370.0
05276910,17.81,17.36,2009-02-05,31092,226400.0,ADSK,AUTODESK INC,7370.0
05276910,18.54,17.81,2009-02-06,22991,226400.0,ADSK,AUTODESK INC,7370.0
05276910,18.2,18.55,2009-02-09,20866,226400.0,ADSK,AUTODESK INC,7370.0
05276910,17.2,18.0,2009-02-10,26272,226400.0,ADSK,AUTODESK INC,7370.0
05276910,17.45,17.22,2009-02-11,18570,226400.0,ADSK,AUTODESK INC,7370.0
05276910,17.55,17.0,2009-02-12,25132,226400.0,ADSK,AUTODESK INC,7370.0
05276910,17.56,17.62,2009-02-13,15921,226400.0,ADSK,AUTODESK INC,7370.0
05276910,16.57,16.78,2009-02-17,20213,226400.0,ADSK,AUTODESK INC,7370.0
05276910,16.31,16.64,2009-02-18,19099,226400.0,ADSK,AUTODESK INC,7370.0
05276910,15.85,16.55,2009-02-19,30950,226400.0,ADSK,AUTODESK INC,7370.0
05276910,15.26,15.75,2009-02-20,55339,226400.0,ADSK,AUTODESK INC,7370.0
05276910,14.39,15.4,2009-02-23,44906,226400.0,ADSK,AUTODESK INC,7370.0
05276910,14.6,14.534,2009-02-24,42958,226400.0,ADSK,AUTODESK INC,7370.0
05276910,14.3,14.5,2009-02-25,59226,226400.0,ADSK,AUTODESK INC,7370.0
05276910,14.06,14.43,2009-02-26,51907,226400.0,ADSK,AUTODESK INC,7370.0
05276910,12.69,12.72,2009-02-27,72010,226400.0,ADSK,AUTODESK INC,7370.0
05276910,11.86,12.52,2009-03-02,63467,226400.0,ADSK,AUTODESK INC,7370.0
05276910,11.79,11.84,2009-03-03,43425,226400.0,ADSK,AUTODESK INC,7370.0
05276910,12.51,12.04,2009-03-04,41545,226400.0,ADSK,AUTODESK INC,7370.0
05276910,12.05,12.38,2009-03-05,40763,226400.0,ADSK,AUTODESK INC,7370.0
05276910,12.02,12.28,2009-03-06,33975,226400.0,ADSK,AUTODESK INC,7370.0
05276910,11.78,12.18,2009-03-09,26290,226400.0,ADSK,AUTODESK INC,7370.0
05276910,12.54,12.01,2009-03-10,34347,226400.0,ADSK,AUTODESK INC,7370.0
05276910,12.31,12.03,2009-03-11,38531,226400.0,ADSK,AUTODESK INC,7370.0
05276910,12.74,12.35,2009-03-12,30825,226400.0,ADSK,AUTODESK INC,7370.0
05276910,12.83,12.76,2009-03-13,30012,226400.0,ADSK,AUTODESK INC,7370.0
05276910,12.88,12.83,2009-03-16,33241,226400.0,ADSK,AUTODESK INC,7370.0
05276910,13.21,12.67,2009-03-17,21851,226400.0,ADSK,AUTODESK INC,7370.0
05276910,14.0,12.8,2009-03-18,33548,226400.0,ADSK,AUTODESK INC,7370.0
05276910,13.87,13.7,2009-03-19,24203,226400.0,ADSK,AUTODESK INC,7370.0
05276910,13.39,14.21,2009-03-20,25059,226400.0,ADSK,AUTODESK INC,7370.0
05276910,14.59,13.68,2009-03-23,23072,226400.0,ADSK,AUTODESK INC,7370.0
05276910,14.85,14.42,2009-03-24,33103,226400.0,ADSK,AUTODESK INC,7370.0
05276910,15.3,14.63,2009-03-25,42891,226400.0,ADSK,AUTODESK INC,7370.0
05276910,16.16,15.64,2009-03-26,32549,226400.0,ADSK,AUTODESK INC,7370.0
05276910,16.07,15.9,2009-03-27,36065,226400.0,ADSK,AUTODESK INC,7370.0
05276910,15.23,15.97,2009-03-30,36432,226400.0,ADSK,AUTODESK INC,7370.0
05276910,16.81,16.15,2009-03-31,56275,228124.0,ADSK,AUTODESK INC,7370.0
05276910,17.11,16.33,2009-04-01,46562,228124.0,ADSK,AUTODESK INC,7370.0
05276910,17.98,17.5,2009-04-02,62988,228124.0,ADSK,AUTODESK INC,7370.0
05276910,17.99,17.7,2009-04-03,35791,228124.0,ADSK,AUTODESK INC,7370.0
05276910,18.27,17.95,2009-04-06,32718,228124.0,ADSK,AUTODESK INC,7370.0
05276910,17.7,17.93,2009-04-07,28134,228124.0,ADSK,AUTODESK INC,7370.0
05276910,18.44,17.7,2009-04-08,28001,228124.0,ADSK,AUTODESK INC,7370.0
05276910,19.3,18.79,2009-04-09,29692,228124.0,ADSK,AUTODESK INC,7370.0
05276910,18.76,19.18,2009-04-13,25516,228124.0,ADSK,AUTODESK INC,7370.0
05276910,18.5,18.6,2009-04-14,25472,228124.0,ADSK,AUTODESK INC,7370.0
05276910,18.39,18.38,2009-04-15,29068,228124.0,ADSK,AUTODESK INC,7370.0
05276910,18.38,18.52,2009-04-16,40558,228124.0,ADSK,AUTODESK INC,7370.0
05276910,18.51,18.39,2009-04-17,26857,228124.0,ADSK,AUTODESK INC,7370.0
05276910,17.54,17.96,2009-04-20,25409,228124.0,ADSK,AUTODESK INC,7370.0
05276910,18.15,17.36,2009-04-21,25069,228124.0,ADSK,AUTODESK INC,7370.0
05276910,18.81,17.9,2009-04-22,43126,228124.0,ADSK,AUTODESK INC,7370.0
05276910,18.52,18.81,2009-04-23,36991,228124.0,ADSK,AUTODESK INC,7370.0
05276910,19.68,18.3,2009-04-24,38737,228124.0,ADSK,AUTODESK INC,7370.0
05276910,19.01,19.14,2009-04-27,30346,228124.0,ADSK,AUTODESK INC,7370.0
05276910,18.7,18.77,2009-04-28,23570,228124.0,ADSK,AUTODESK INC,7370.0
05276910,19.45,18.84,2009-04-29,26628,228124.0,ADSK,AUTODESK INC,7370.0
05276910,19.94,19.47,2009-04-30,32037,228409.0,ADSK,AUTODESK INC,7370.0
05276910,19.63,19.95,2009-05-01,18781,228409.0,ADSK,AUTODESK INC,7370.0
05276910,20.47,19.86,2009-05-04,23859,228409.0,ADSK,AUTODESK INC,7370.0
05276910,20.44,20.3,2009-05-05,27367,228409.0,ADSK,AUTODESK INC,7370.0
05276910,20.47,20.65,2009-05-06,24114,228409.0,ADSK,AUTODESK INC,7370.0
05276910,19.47,20.33,2009-05-07,28748,228409.0,ADSK,AUTODESK INC,7370.0
05276910,19.7,19.72,2009-05-08,27052,228409.0,ADSK,AUTODESK INC,7370.0
05276910,19.8,19.42,2009-05-11,16051,228409.0,ADSK,AUTODESK INC,7370.0
05276910,19.4,19.88,2009-05-12,17681,228409.0,ADSK,AUTODESK INC,7370.0
05276910,18.5,19.01,2009-05-13,20517,228409.0,ADSK,AUTODESK INC,7370.0
05276910,18.84,18.63,2009-05-14,15605,228409.0,ADSK,AUTODESK INC,7370.0
05276910,19.0,18.79,2009-05-15,18532,228409.0,ADSK,AUTODESK INC,7370.0
