cusip,prc,openprc,date,numtrd,shrout,htick,hcomnam,hsiccd
00797310,9.97,9.98,2009-01-02,1591,41849.0,AEIS,ADVANCED ENERGY INDUSTRIES INC,3670.0
00797310,10.01,9.84,2009-01-05,2481,41849.0,AEIS,ADVANCED ENERGY INDUSTRIES INC,3670.0
00797310,10.42,10.06,2009-01-06,3242,41849.0,AEIS,ADVANCED ENERGY INDUSTRIES INC,3670.0
00797310,10.19,10.23,2009-01-07,3653,41849.0,AEIS,ADVANCED ENERGY INDUSTRIES INC,3670.0
00797310,10.11,10.18,2009-01-08,1413,41849.0,AEIS,ADVANCED ENERGY INDUSTRIES INC,3670.0
00797310,9.51,10.08,2009-01-09,1601,41849.0,AEIS,ADVANCED ENERGY INDUSTRIES INC,3670.0
00797310,9.02,9.47,2009-01-12,1600,41849.0,AEIS,ADVANCED ENERGY INDUSTRIES INC,3670.0
00797310,8.96,9.01,2009-01-13,1428,41849.0,AEIS,ADVANCED ENERGY INDUSTRIES INC,3670.0
00797310,8.73,8.83,2009-01-14,1875,41849.0,AEIS,ADVANCED ENERGY INDUSTRIES INC,3670.0
00797310,8.9,8.71,2009-01-15,1433,41849.0,AEIS,ADVANCED ENERGY INDUSTRIES INC,3670.0
00797310,9.13,9.02,2009-01-16,2757,41849.0,AEIS,ADVANCED ENERGY INDUSTRIES INC,3670.0
00797310,8.2,9.01,2009-01-20,2201,41849.0,AEIS,ADVANCED ENERGY INDUSTRIES INC,3670.0
00797310,8.66,8.34,2009-01-21,1746,41849.0,AEIS,ADVANCED ENERGY INDUSTRIES INC,3670.0
00797310,8.39,8.43,2009-01-22,1466,41849.0,AEIS,ADVANCED ENERGY INDUSTRIES INC,3670.0
00797310,8.55,8.17,2009-01-23,1559,41849.0,AEIS,ADVANCED ENERGY INDUSTRIES INC,3670.0
00797310,8.68,8.54,2009-01-26,1384,41849.0,AEIS,ADVANCED ENERGY INDUSTRIES INC,3670.0
00797310,9.28,8.74,2009-01-27,1714,41849.0,AEIS,ADVANCED ENERGY INDUSTRIES INC,3670.0
00797310,9.75,9.38,2009-01-28,1744,41849.0,AEIS,ADVANCED ENERGY INDUSTRIES INC,3670.0
00797310,9.19,9.6,2009-01-29,1545,41849.0,AEIS,ADVANCED ENERGY INDUSTRIES INC,3670.0
00797310,8.98,9.27,2009-01-30,1393,41849.0,AEIS,ADVANCED ENERGY INDUSTRIES INC,3670.0
00797310,9.04,8.85,2009-02-02,1318,41849.0,AEIS,ADVANCED ENERGY INDUSTRIES INC,3670.0
00797310,8.83,9.08,2009-02-03,1537,41849.0,AEIS,ADVANCED ENERGY INDUSTRIES INC,3670.0
00797310,8.96,8.86,2009-02-04,1587,41849.0,AEIS,ADVANCED ENERGY INDUSTRIES INC,3670.0
00797310,8.79,8.51,2009-02-05,2822,41849.0,AEIS,ADVANCED ENERGY INDUSTRIES INC,3670.0
00797310,9.05,8.75,2009-02-06,1959,41849.0,AEIS,ADVANCED ENERGY INDUSTRIES INC,3670.0
00797310,9.07,8.98,2009-02-09,1383,41849.0,AEIS,ADVANCED ENERGY INDUSTRIES INC,3670.0
00797310,8.57,8.98,2009-02-10,1673,41849.0,AEIS,ADVANCED ENERGY INDUSTRIES INC,3670.0
00797310,8.47,8.58,2009-02-11,1589,41849.0,AEIS,ADVANCED ENERGY INDUSTRIES INC,3670.0
00797310,8.51,8.38,2009-02-12,2144,41887.0,AEIS,ADVANCED ENERGY INDUSTRIES INC,3670.0
