cusip,prc,openprc,date,numtrd,htick,hcomnam,hsiccd,numshr
00123Q10,20.94,20.74,2009-01-02,678,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
00123Q10,21.1,21.0,2009-01-05,1416,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
00123Q10,21.19,21.25,2009-01-06,1092,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
00123Q10,21.13,21.15,2009-01-07,662,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
00123Q10,21.24,21.15,2009-01-08,612,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
00123Q10,20.83,21.24,2009-01-09,598,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
00123Q10,20.6,21.04,2009-01-12,689,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
00123Q10,21.04,20.5,2009-01-13,1867,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
00123Q10,20.9,21.0,2009-01-14,1018,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
00123Q10,20.88,20.92,2009-01-15,631,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
00123Q10,20.57,20.9,2009-01-16,781,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
00123Q10,19.86,20.51,2009-01-20,918,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
00123Q10,20.43,20.8,2009-01-21,1093,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
00123Q10,19.99,20.48,2009-01-22,960,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
00123Q10,19.93,19.75,2009-01-23,979,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
00123Q10,20.15,20.38,2009-01-26,865,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
00123Q10,20.43,20.6,2009-01-27,953,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
00123Q10,20.7,20.85,2009-01-28,900,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
00123Q10,20.17,20.87,2009-01-29,923,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
00123Q10,19.98,20.5,2009-01-30,1648,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
00123Q10,19.9,19.7,2009-02-02,1158,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
00123Q10,20.3,20.27,2009-02-03,1508,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
00123Q10,19.84,20.2,2009-02-04,1197,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
00123Q10,17.8,18.06,2009-02-05,5042,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
00123Q10,17.36,17.8,2009-02-06,2063,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
00123Q10,17.24,17.36,2009-02-09,1401,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
00123Q10,16.82,17.25,2009-02-10,2989,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
00123Q10,17.0,16.86,2009-02-11,2206,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
00123Q10,16.88,16.95,2009-02-12,1122,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
00123Q10,16.88,16.97,2009-02-13,1313,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
00123Q10,16.4,16.5,2009-02-17,1757,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
00123Q10,16.21,16.67,2009-02-18,1087,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
00123Q10,15.91,16.2,2009-02-19,795,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
00123Q10,15.97,15.74,2009-02-20,1401,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
00123Q10,15.92,16.43,2009-02-23,936,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
00123Q10,16.87,15.94,2009-02-24,934,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
00123Q10,16.28,17.06,2009-02-25,1051,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
00123Q10,16.46,16.4,2009-02-26,747,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
00123Q10,16.1,16.3,2009-02-27,1010,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
00123Q10,15.28,16.05,2009-03-02,1320,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
00123Q10,15.01,15.45,2009-03-03,1368,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
00123Q10,15.35,15.07,2009-03-04,816,AGNC,A G N C INVESTMENT CORP,9999.0,166.0
