cusip,prc,openprc,date,numtrd,shrout,htick,hcomnam,hsiccd
02151310,0.47,0.45,2009-01-02,1584,57650.0,ALTO,ALTO INGREDIENTS INC,2869.0
02151310,0.58,0.5101,2009-01-05,2317,57650.0,ALTO,ALTO INGREDIENTS INC,2869.0
02151310,0.63,0.68,2009-01-06,1768,57650.0,ALTO,ALTO INGREDIENTS INC,2869.0
02151310,0.61,0.654,2009-01-07,1575,57650.0,ALTO,ALTO INGREDIENTS INC,2869.0
02151310,0.6,0.61,2009-01-08,808,57650.0,ALTO,ALTO INGREDIENTS INC,2869.0
02151310,0.56,0.59,2009-01-09,996,57650.0,ALTO,ALTO INGREDIENTS INC,2869.0
02151310,0.47,0.57,2009-01-12,1120,57650.0,ALTO,ALTO INGREDIENTS INC,2869.0
02151310,0.53,0.5,2009-01-13,680,57650.0,ALTO,ALTO INGREDIENTS INC,2869.0
02151310,0.51,0.52,2009-01-14,1054,57650.0,ALTO,ALTO INGREDIENTS INC,2869.0
02151310,0.48,0.5,2009-01-15,604,57650.0,ALTO,ALTO INGREDIENTS INC,2869.0
02151310,0.51,0.48,2009-01-16,649,57650.0,ALTO,ALTO INGREDIENTS INC,2869.0
02151310,0.48,0.51,2009-01-20,1187,57650.0,ALTO,ALTO INGREDIENTS INC,2869.0
02151310,0.52,0.5101,2009-01-21,694,57650.0,ALTO,ALTO INGREDIENTS INC,2869.0
02151310,0.48,0.5,2009-01-22,732,57650.0,ALTO,ALTO INGREDIENTS INC,2869.0
02151310,0.5,0.4712,2009-01-23,410,57650.0,ALTO,ALTO INGREDIENTS INC,2869.0
02151310,0.53,0.49,2009-01-26,662,57650.0,ALTO,ALTO INGREDIENTS INC,2869.0
02151310,0.52,0.54,2009-01-27,760,57650.0,ALTO,ALTO INGREDIENTS INC,2869.0
02151310,0.545,0.52,2009-01-28,660,57650.0,ALTO,ALTO INGREDIENTS INC,2869.0
02151310,0.56,0.55,2009-01-29,604,57650.0,ALTO,ALTO INGREDIENTS INC,2869.0
02151310,0.55,0.564,2009-01-30,430,57650.0,ALTO,ALTO INGREDIENTS INC,2869.0
02151310,0.55,0.54,2009-02-02,671,57650.0,ALTO,ALTO INGREDIENTS INC,2869.0
02151310,0.56,0.5401,2009-02-03,781,57650.0,ALTO,ALTO INGREDIENTS INC,2869.0
02151310,0.52,0.559,2009-02-04,578,57650.0,ALTO,ALTO INGREDIENTS INC,2869.0
02151310,0.5,0.52,2009-02-05,649,57650.0,ALTO,ALTO INGREDIENTS INC,2869.0
02151310,0.51,0.5,2009-02-06,1030,57650.0,ALTO,ALTO INGREDIENTS INC,2869.0
02151310,0.48,0.51,2009-02-09,882,57650.0,ALTO,ALTO INGREDIENTS INC,2869.0
02151310,0.48,0.481,2009-02-10,573,57650.0,ALTO,ALTO INGREDIENTS INC,2869.0
02151310,0.485,0.49,2009-02-11,411,57650.0,ALTO,ALTO INGREDIENTS INC,2869.0
02151310,0.48,0.48,2009-02-12,244,57650.0,ALTO,ALTO INGREDIENTS INC,2869.0
02151310,0.49,0.475,2009-02-13,306,57650.0,ALTO,ALTO INGREDIENTS INC,2869.0
02151310,0.45,0.47,2009-02-17,368,57650.0,ALTO,ALTO INGREDIENTS INC,2869.0
02151310,0.4301,0.45,2009-02-18,462,57650.0,ALTO,ALTO INGREDIENTS INC,2869.0
02151310,0.38,0.41,2009-02-19,448,57650.0,ALTO,ALTO INGREDIENTS INC,2869.0
02151310,0.4,0.38,2009-02-20,547,57650.0,ALTO,ALTO INGREDIENTS INC,2869.0
02151310,0.38,0.38,2009-02-23,352,57650.0,ALTO,ALTO INGREDIENTS INC,2869.0
02151310,0.38,0.361,2009-02-24,670,57650.0,ALTO,ALTO INGREDIENTS INC,2869.0
02151310,0.36,0.375,2009-02-25,591,57650.0,ALTO,ALTO INGREDIENTS INC,2869.0
