cusip,prc,openprc,date,numtrd,htick,hcomnam,hsiccd,numshr
04004410,,,2009-01-02,,AREN,ARENA GROUP HOLDINGS INC,3841.0,46.0
04004410,,,2009-01-05,,AREN,ARENA GROUP HOLDINGS INC,3841.0,46.0
04004410,,,2009-01-06,,AREN,ARENA GROUP HOLDINGS INC,3841.0,46.0
04004410,,,2009-01-07,,AREN,ARENA GROUP HOLDINGS INC,3841.0,46.0
04004410,,,2009-01-08,,AREN,ARENA GROUP HOLDINGS INC,3841.0,46.0
04004410,,,2009-01-09,,AREN,ARENA GROUP HOLDINGS INC,3841.0,46.0
04004410,,,2009-01-12,,AREN,ARENA GROUP HOLDINGS INC,3841.0,46.0
04004410,,,2009-01-13,,AREN,ARENA GROUP HOLDINGS INC,3841.0,46.0
04004410,,,2009-01-14,,AREN,ARENA GROUP HOLDINGS INC,3841.0,46.0
04004410,,,2009-01-15,,AREN,ARENA GROUP HOLDINGS INC,3841.0,46.0
04004410,,,2009-01-16,,AREN,ARENA GROUP HOLDINGS INC,3841.0,46.0
04004410,,,2009-01-20,,AREN,ARENA GROUP HOLDINGS INC,3841.0,46.0
04004410,,,2009-01-21,,AREN,ARENA GROUP HOLDINGS INC,3841.0,46.0
04004410,,,2009-01-22,,AREN,ARENA GROUP HOLDINGS INC,3841.0,46.0
04004410,,,2009-01-23,,AREN,ARENA GROUP HOLDINGS INC,3841.0,46.0
04004410,,,2009-01-26,,AREN,ARENA GROUP HOLDINGS INC,3841.0,46.0
04004410,,,2009-01-27,,AREN,ARENA GROUP HOLDINGS INC,3841.0,46.0
04004410,,,2009-01-28,,AREN,ARENA GROUP HOLDINGS INC,3841.0,46.0
04004410,,,2009-01-29,,AREN,ARENA GROUP HOLDINGS INC,3841.0,46.0
04004410,,,2009-01-30,,AREN,ARENA GROUP HOLDINGS INC,3841.0,46.0
04004410,,,2009-02-02,,AREN,ARENA GROUP HOLDINGS INC,3841.0,46.0
04004410,,,2009-02-03,,AREN,ARENA GROUP HOLDINGS INC,3841.0,46.0
04004410,,,2009-02-04,,AREN,ARENA GROUP HOLDINGS INC,3841.0,46.0
04004410,,,2009-02-05,,AREN,ARENA GROUP HOLDINGS INC,3841.0,46.0
04004410,,,2009-02-06,,AREN,ARENA GROUP HOLDINGS INC,3841.0,46.0
04004410,,,2009-02-09,,AREN,ARENA GROUP HOLDINGS INC,3841.0,46.0
04004410,,,2009-02-10,,AREN,ARENA GROUP HOLDINGS INC,3841.0,46.0
04004410,,,2009-02-11,,AREN,ARENA GROUP HOLDINGS INC,3841.0,46.0
04004410,,,2009-02-12,,AREN,ARENA GROUP HOLDINGS INC,3841.0,46.0
04004410,,,2009-02-13,,AREN,ARENA GROUP HOLDINGS INC,3841.0,46.0
04004410,,,2009-02-17,,AREN,ARENA GROUP HOLDINGS INC,3841.0,46.0
04004410,,,2009-02-18,,AREN,ARENA GROUP HOLDINGS INC,3841.0,46.0
04004410,,,2009-02-19,,AREN,ARENA GROUP HOLDINGS INC,3841.0,46.0
04004410,,,2009-02-20,,AREN,ARENA GROUP HOLDINGS INC,3841.0,46.0
04004410,,,2009-02-23,,AREN,ARENA GROUP HOLDINGS INC,3841.0,46.0
04004410,,,2009-02-24,,AREN,ARENA GROUP HOLDINGS INC,3841.0,46.0
04004410,,,2009-02-25,,AREN,ARENA GROUP HOLDINGS INC,3841.0,46.0
04004410,,,2009-02-26,,AREN,ARENA GROUP HOLDINGS INC,3841.0,46.0
04004410,,,2009-02-27,,AREN,ARENA GROUP HOLDINGS INC,3841.0,46.0
04004410,,,2009-03-02,,AREN,ARENA GROUP HOLDINGS INC,3841.0,46.0
