cusip,prc,openprc,date,numtrd,htick,hcomnam,hsiccd,numshr
04274410,24.54,25.22,2009-01-02,272,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,24.5,24.69,2009-01-05,102,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,24.25,24.71,2009-01-06,113,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,24.14,24.29,2009-01-07,174,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,24.78,24.1,2009-01-08,204,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,24.35,24.83,2009-01-09,117,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,24.35,24.31,2009-01-12,174,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,25.09,24.27,2009-01-13,159,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,24.46,24.54,2009-01-14,157,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,24.77,24.52,2009-01-15,117,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,23.72,24.63,2009-01-16,377,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,21.26,23.34,2009-01-20,316,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,22.59,21.48,2009-01-21,335,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,23.31,22.2,2009-01-22,204,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,22.68,22.8,2009-01-23,244,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,22.91,22.65,2009-01-26,159,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,23.48,22.92,2009-01-27,128,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,24.79,23.71,2009-01-28,237,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,23.84,24.58,2009-01-29,160,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,23.54,23.95,2009-01-30,184,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,25.1,23.42,2009-02-02,344,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,25.12,25.11,2009-02-03,324,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,24.94,25.14,2009-02-04,248,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,25.09,24.84,2009-02-05,241,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,25.93,25.13,2009-02-06,307,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,25.67,25.75,2009-02-09,120,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,24.31,25.44,2009-02-10,250,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,24.6,24.49,2009-02-11,126,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,24.42,24.33,2009-02-12,173,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,24.57,24.56,2009-02-13,136,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,23.14,24.19,2009-02-17,167,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,21.99,23.41,2009-02-18,326,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,21.36,22.18,2009-02-19,296,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,21.47,21.27,2009-02-20,223,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,20.55,21.72,2009-02-23,312,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,22.85,20.77,2009-02-24,384,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,23.49,22.79,2009-02-25,749,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,24.01,23.62,2009-02-26,646,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,23.56,23.58,2009-02-27,255,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,22.12,22.83,2009-03-02,204,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,22.11,22.61,2009-03-03,342,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,21.83,22.39,2009-03-04,366,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,20.5,21.39,2009-03-05,370,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,20.59,20.72,2009-03-06,431,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,20.09,20.32,2009-03-09,295,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,21.69,20.88,2009-03-10,413,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,20.47,21.76,2009-03-11,155,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,22.05,20.43,2009-03-12,291,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,22.34,22.27,2009-03-13,292,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,22.34,22.66,2009-03-16,546,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,22.81,22.48,2009-03-17,199,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,23.58,22.64,2009-03-18,354,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,23.74,23.82,2009-03-19,288,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,22.7,23.97,2009-03-20,307,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,25.89,23.1,2009-03-23,485,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,23.58,25.47,2009-03-24,219,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,24.15,23.81,2009-03-25,339,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,25.38,24.42,2009-03-26,228,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,23.79,24.98,2009-03-27,263,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,23.22,24.0,2009-03-30,385,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,23.69,23.57,2009-03-31,251,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,24.49,23.39,2009-04-01,274,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,25.32,24.96,2009-04-02,471,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,25.77,25.13,2009-04-03,174,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,24.83,25.0,2009-04-06,231,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,24.05,24.57,2009-04-07,230,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,24.98,24.3,2009-04-08,271,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,25.85,25.0,2009-04-09,355,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,26.12,25.64,2009-04-13,236,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,25.84,25.65,2009-04-14,223,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,26.06,25.36,2009-04-15,168,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,26.5,26.22,2009-04-16,214,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,26.96,26.59,2009-04-17,217,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,25.25,26.46,2009-04-20,120,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,26.5,25.23,2009-04-21,227,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,26.27,26.17,2009-04-22,108,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,25.44,26.3476,2009-04-23,182,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,25.65,25.86,2009-04-24,247,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,24.96,25.23,2009-04-27,229,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,25.2,24.93,2009-04-28,201,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,26.96,25.32,2009-04-29,341,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,26.48,27.0,2009-04-30,260,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,25.62,26.54,2009-05-01,119,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,26.0,25.88,2009-05-04,165,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,25.12,25.94,2009-05-05,234,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,24.95,25.46,2009-05-06,284,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,24.65,25.2,2009-05-07,259,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,25.94,24.96,2009-05-08,193,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,24.65,25.46,2009-05-11,196,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,24.26,24.79,2009-05-12,182,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,23.62,24.25,2009-05-13,202,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,24.17,23.8,2009-05-14,205,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,23.97,24.17,2009-05-15,159,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,25.07,24.17,2009-05-18,125,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,24.46,25.22,2009-05-19,251,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,23.98,24.71,2009-05-20,166,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,24.32,23.75,2009-05-21,219,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,23.95,24.4,2009-05-22,96,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,26.0,23.99,2009-05-26,189,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,25.36,25.87,2009-05-27,212,AROW,ARROW FINANCIAL CORP,6020.0,335.0
04274410,25.17,25.35,2009-05-28,181,AROW,ARROW FINANCIAL CORP,6020.0,335.0
