cusip,prc,openprc,date,numtrd,htick,hcomnam,hsiccd,numshr
04363570,,,2016-05-24,,ASTI,ASCENT SOLAR TECHNOLOGIES INC,3674.0,127.0
04363570,,,2016-05-25,,ASTI,ASCENT SOLAR TECHNOLOGIES INC,3674.0,127.0
04363570,,,2016-05-26,,ASTI,ASCENT SOLAR TECHNOLOGIES INC,3674.0,127.0
04363570,,,2016-05-27,,ASTI,ASCENT SOLAR TECHNOLOGIES INC,3674.0,127.0
04363570,,,2016-05-31,,ASTI,ASCENT SOLAR TECHNOLOGIES INC,3674.0,127.0
04363570,,,2016-06-01,,ASTI,ASCENT SOLAR TECHNOLOGIES INC,3674.0,127.0
04363570,,,2016-06-02,,ASTI,ASCENT SOLAR TECHNOLOGIES INC,3674.0,127.0
04363570,,,2016-06-03,,ASTI,ASCENT SOLAR TECHNOLOGIES INC,3674.0,127.0
04363570,,,2016-06-06,,ASTI,ASCENT SOLAR TECHNOLOGIES INC,3674.0,127.0
04363570,,,2016-06-07,,ASTI,ASCENT SOLAR TECHNOLOGIES INC,3674.0,127.0
04363570,,,2016-06-08,,ASTI,ASCENT SOLAR TECHNOLOGIES INC,3674.0,127.0
04363570,,,2016-06-09,,ASTI,ASCENT SOLAR TECHNOLOGIES INC,3674.0,127.0
04363570,,,2016-06-10,,ASTI,ASCENT SOLAR TECHNOLOGIES INC,3674.0,127.0
04363570,,,2016-06-13,,ASTI,ASCENT SOLAR TECHNOLOGIES INC,3674.0,127.0
04363570,,,2016-06-14,,ASTI,ASCENT SOLAR TECHNOLOGIES INC,3674.0,127.0
04363570,,,2016-06-15,,ASTI,ASCENT SOLAR TECHNOLOGIES INC,3674.0,127.0
04363570,,,2016-06-16,,ASTI,ASCENT SOLAR TECHNOLOGIES INC,3674.0,127.0
04363570,,,2016-06-17,,ASTI,ASCENT SOLAR TECHNOLOGIES INC,3674.0,127.0
04363570,,,2016-06-20,,ASTI,ASCENT SOLAR TECHNOLOGIES INC,3674.0,127.0
04363570,,,2016-06-21,,ASTI,ASCENT SOLAR TECHNOLOGIES INC,3674.0,127.0
04363570,,,2016-06-22,,ASTI,ASCENT SOLAR TECHNOLOGIES INC,3674.0,127.0
04363570,,,2016-06-23,,ASTI,ASCENT SOLAR TECHNOLOGIES INC,3674.0,127.0
04363570,,,2016-06-24,,ASTI,ASCENT SOLAR TECHNOLOGIES INC,3674.0,127.0
04363570,,,2016-06-27,,ASTI,ASCENT SOLAR TECHNOLOGIES INC,3674.0,127.0
04363570,,,2016-06-28,,ASTI,ASCENT SOLAR TECHNOLOGIES INC,3674.0,127.0
04363570,,,2016-06-29,,ASTI,ASCENT SOLAR TECHNOLOGIES INC,3674.0,127.0
04363570,,,2016-06-30,,ASTI,ASCENT SOLAR TECHNOLOGIES INC,3674.0,127.0
04363570,,,2016-07-01,,ASTI,ASCENT SOLAR TECHNOLOGIES INC,3674.0,127.0
04363570,,,2016-07-05,,ASTI,ASCENT SOLAR TECHNOLOGIES INC,3674.0,127.0
04363570,,,2016-07-06,,ASTI,ASCENT SOLAR TECHNOLOGIES INC,3674.0,127.0
04363570,,,2016-07-07,,ASTI,ASCENT SOLAR TECHNOLOGIES INC,3674.0,127.0
04363570,,,2016-07-08,,ASTI,ASCENT SOLAR TECHNOLOGIES INC,3674.0,127.0
04363570,,,2016-07-11,,ASTI,ASCENT SOLAR TECHNOLOGIES INC,3674.0,127.0
04363570,,,2016-07-12,,ASTI,ASCENT SOLAR TECHNOLOGIES INC,3674.0,127.0
04363570,,,2016-07-13,,ASTI,ASCENT SOLAR TECHNOLOGIES INC,3674.0,127.0
04363570,,,2016-07-14,,ASTI,ASCENT SOLAR TECHNOLOGIES INC,3674.0,127.0
04363570,,,2016-07-15,,ASTI,ASCENT SOLAR TECHNOLOGIES INC,3674.0,127.0
04363570,,,2016-07-18,,ASTI,ASCENT SOLAR TECHNOLOGIES INC,3674.0,127.0
04363570,,,2016-07-19,,ASTI,ASCENT SOLAR TECHNOLOGIES INC,3674.0,127.0
