cusip,prc,openprc,date,numtrd,htick,hcomnam,hsiccd,numshr
04963C20,2.2,2.2,2009-01-02,28,ATRC,ATRICURE INC,3841.0,172.0
04963C20,2.15,2.14,2009-01-05,496,ATRC,ATRICURE INC,3841.0,172.0
04963C20,2.19,2.325,2009-01-06,78,ATRC,ATRICURE INC,3841.0,172.0
04963C20,2.18,2.29,2009-01-07,76,ATRC,ATRICURE INC,3841.0,172.0
04963C20,2.15,2.15,2009-01-08,50,ATRC,ATRICURE INC,3841.0,172.0
04963C20,2.2,2.175,2009-01-09,68,ATRC,ATRICURE INC,3841.0,172.0
04963C20,2.05,2.18,2009-01-12,98,ATRC,ATRICURE INC,3841.0,172.0
04963C20,2.1,2.0,2009-01-13,99,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.94,1.95,2009-01-14,73,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.9001,1.9101,2009-01-15,3,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.86,2.04,2009-01-16,87,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.85,1.87,2009-01-20,23,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.86,1.85,2009-01-21,114,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.83,2.99,2009-01-22,28,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.82,1.81,2009-01-23,16,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.72,1.82,2009-01-26,43,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.72,1.7,2009-01-27,15,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.72,1.71,2009-01-28,11,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.34,1.67,2009-01-29,174,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.35,1.26,2009-01-30,232,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.34,1.4,2009-02-02,109,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.3501,1.31,2009-02-03,174,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.39,1.31,2009-02-04,150,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.41,1.4,2009-02-05,174,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.4,1.41,2009-02-06,81,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.54,1.41,2009-02-09,124,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.5,1.6,2009-02-10,124,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.65,1.63,2009-02-11,18,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.6,1.6,2009-02-12,25,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.62,1.64,2009-02-13,79,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.57,1.62,2009-02-17,87,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.52,1.633,2009-02-18,18,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.655,1.48,2009-02-19,47,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.7,1.79,2009-02-20,52,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.58,1.78,2009-02-23,173,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.3168,1.45,2009-02-24,185,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.28,1.35,2009-02-25,112,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.21,1.35,2009-02-26,50,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.32,1.25,2009-02-27,102,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.26,1.27,2009-03-02,126,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.27,1.41,2009-03-03,182,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.2734,1.3,2009-03-04,27,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.29,1.3,2009-03-05,65,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.25,1.24,2009-03-06,248,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.25,1.3,2009-03-09,581,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.35,1.25,2009-03-10,40,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.25,1.34,2009-03-11,71,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.29,1.26,2009-03-12,194,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.26,1.3,2009-03-13,23,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.38,1.35,2009-03-16,74,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.4,1.43,2009-03-17,87,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.4,1.4104,2009-03-18,41,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.4,1.41,2009-03-19,111,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.42,1.59,2009-03-20,63,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.41,1.45,2009-03-23,139,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.28,1.6,2009-03-24,155,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.3,1.3,2009-03-25,104,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.37,1.38,2009-03-26,61,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.32,1.321,2009-03-27,485,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.36,1.49,2009-03-30,139,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.28,1.31,2009-03-31,309,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.34,1.3203,2009-04-01,54,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.39,1.39,2009-04-02,74,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.4,1.45,2009-04-03,67,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.4,1.44,2009-04-06,186,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.29,1.3,2009-04-07,52,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.33,1.3903,2009-04-08,24,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.4,1.42,2009-04-09,76,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.3,1.38,2009-04-13,138,ATRC,ATRICURE INC,3841.0,172.0
04963C20,1.29,1.25,2009-04-14,99,ATRC,ATRICURE INC,3841.0,172.0
