cusip,prc,openprc,date,numtrd,htick,hcomnam,hsiccd,numshr
11523610,20.41,20.93,2009-01-02,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,20.88,20.33,2009-01-05,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,21.39,20.9,2009-01-06,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,20.93,21.17,2009-01-07,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,21.05,20.88,2009-01-08,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,20.89,21.0,2009-01-09,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,20.56,20.9,2009-01-12,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,21.12,20.53,2009-01-13,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,20.3,20.83,2009-01-14,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,20.37,20.07,2009-01-15,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,20.61,20.52,2009-01-16,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,20.01,20.34,2009-01-20,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,20.36,20.41,2009-01-21,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,19.61,19.99,2009-01-22,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,19.66,19.28,2009-01-23,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.86,19.64,2009-01-26,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,19.44,18.97,2009-01-27,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,20.08,19.88,2009-01-28,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,19.25,19.87,2009-01-29,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,19.13,19.16,2009-01-30,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,19.66,18.91,2009-02-02,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,19.57,19.55,2009-02-03,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.12,19.31,2009-02-04,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.4,18.06,2009-02-05,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.76,18.53,2009-02-06,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.8,18.96,2009-02-09,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.19,18.63,2009-02-10,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.42,18.31,2009-02-11,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.79,18.05,2009-02-12,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.61,18.74,2009-02-13,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.48,18.74,2009-02-17,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.3,19.54,2009-02-18,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,17.45,18.29,2009-02-19,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,17.09,17.25,2009-02-20,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,16.45,17.26,2009-02-23,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,17.34,16.46,2009-02-24,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,16.85,17.16,2009-02-25,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,16.52,17.06,2009-02-26,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,16.87,16.22,2009-02-27,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,16.48,16.54,2009-03-02,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,16.11,16.69,2009-03-03,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,16.47,16.26,2009-03-04,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,16.03,16.14,2009-03-05,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,15.97,15.99,2009-03-06,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,15.65,15.88,2009-03-09,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,16.27,15.87,2009-03-10,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,15.8,16.29,2009-03-11,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,16.41,15.82,2009-03-12,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,16.99,16.52,2009-03-13,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,16.28,17.16,2009-03-16,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,17.07,16.12,2009-03-17,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,17.69,17.06,2009-03-18,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,17.19,17.78,2009-03-19,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,17.25,17.52,2009-03-20,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.45,17.67,2009-03-23,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.08,18.25,2009-03-24,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.64,18.23,2009-03-25,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.78,18.78,2009-03-26,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.64,18.58,2009-03-27,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.43,18.09,2009-03-30,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.91,18.47,2009-03-31,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.48,18.64,2009-04-01,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.9,18.78,2009-04-02,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.89,18.73,2009-04-03,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.58,18.7,2009-04-06,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.24,18.29,2009-04-07,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.51,18.41,2009-04-08,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.71,18.53,2009-04-09,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,19.35,18.54,2009-04-13,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.8,19.11,2009-04-14,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,19.3,18.78,2009-04-15,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,19.01,19.34,2009-04-16,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,19.15,18.86,2009-04-17,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.54,18.91,2009-04-20,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,19.02,18.26,2009-04-21,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.7,19.22,2009-04-22,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.4,18.62,2009-04-23,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.26,18.51,2009-04-24,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.25,18.15,2009-04-27,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.41,17.89,2009-04-28,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,19.49,18.5,2009-04-29,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,19.46,19.61,2009-04-30,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.95,19.36,2009-05-01,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.58,19.04,2009-05-04,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.19,18.55,2009-05-05,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.38,18.22,2009-05-06,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.3,18.62,2009-05-07,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,19.1,18.65,2009-05-08,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.76,18.54,2009-05-11,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.67,18.78,2009-05-12,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.5,18.35,2009-05-13,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.68,18.53,2009-05-14,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.64,18.59,2009-05-15,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,19.01,18.75,2009-05-18,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.56,18.94,2009-05-19,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.5,18.64,2009-05-20,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.78,18.4,2009-05-21,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.57,18.77,2009-05-22,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.97,18.47,2009-05-26,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.52,18.94,2009-05-27,,BRO,BROWN & BROWN INC,6411.0,393.0
11523610,18.8,18.66,2009-05-28,,BRO,BROWN & BROWN INC,6411.0,393.0
