cusip,prc,openprc,date,numtrd,shrout,htick,hcomnam,hsiccd
82620P10,21.0,21.0,2009-01-02,178,9673.0,BSRR,SIERRA BANCORP,6020.0
82620P10,21.0,21.28,2009-01-05,86,9673.0,BSRR,SIERRA BANCORP,6020.0
82620P10,20.98,21.0,2009-01-06,105,9673.0,BSRR,SIERRA BANCORP,6020.0
82620P10,19.52,20.6,2009-01-07,176,9673.0,BSRR,SIERRA BANCORP,6020.0
82620P10,20.12,19.73,2009-01-08,155,9673.0,BSRR,SIERRA BANCORP,6020.0
82620P10,18.98,20.0,2009-01-09,108,9673.0,BSRR,SIERRA BANCORP,6020.0
82620P10,17.81,19.59,2009-01-12,212,9673.0,BSRR,SIERRA BANCORP,6020.0
82620P10,18.64,17.65,2009-01-13,115,9673.0,BSRR,SIERRA BANCORP,6020.0
82620P10,16.75,18.03,2009-01-14,288,9673.0,BSRR,SIERRA BANCORP,6020.0
82620P10,17.2,16.79,2009-01-15,63,9673.0,BSRR,SIERRA BANCORP,6020.0
82620P10,17.25,17.13,2009-01-16,245,9673.0,BSRR,SIERRA BANCORP,6020.0
82620P10,15.23,16.89,2009-01-20,193,9673.0,BSRR,SIERRA BANCORP,6020.0
82620P10,16.13,15.53,2009-01-21,131,9673.0,BSRR,SIERRA BANCORP,6020.0
82620P10,15.08,15.73,2009-01-22,66,9673.0,BSRR,SIERRA BANCORP,6020.0
82620P10,15.06,15.01,2009-01-23,88,9673.0,BSRR,SIERRA BANCORP,6020.0
82620P10,14.01,14.64,2009-01-26,177,9673.0,BSRR,SIERRA BANCORP,6020.0
82620P10,13.02,14.0,2009-01-27,211,9673.0,BSRR,SIERRA BANCORP,6020.0
82620P10,13.82,14.0,2009-01-28,142,9673.0,BSRR,SIERRA BANCORP,6020.0
82620P10,13.21,13.55,2009-01-29,84,9673.0,BSRR,SIERRA BANCORP,6020.0
82620P10,12.25,13.0,2009-01-30,226,9676.0,BSRR,SIERRA BANCORP,6020.0
82620P10,12.94,12.0,2009-02-02,89,9676.0,BSRR,SIERRA BANCORP,6020.0
82620P10,12.71,13.04,2009-02-03,147,9676.0,BSRR,SIERRA BANCORP,6020.0
82620P10,12.42,12.75,2009-02-04,117,9676.0,BSRR,SIERRA BANCORP,6020.0
82620P10,12.79,12.26,2009-02-05,114,9676.0,BSRR,SIERRA BANCORP,6020.0
82620P10,12.94,12.73,2009-02-06,92,9676.0,BSRR,SIERRA BANCORP,6020.0
82620P10,12.91,12.95,2009-02-09,76,9676.0,BSRR,SIERRA BANCORP,6020.0
82620P10,11.53,12.8,2009-02-10,100,9676.0,BSRR,SIERRA BANCORP,6020.0
82620P10,11.25,11.57,2009-02-11,101,9676.0,BSRR,SIERRA BANCORP,6020.0
82620P10,11.29,11.07,2009-02-12,96,9676.0,BSRR,SIERRA BANCORP,6020.0
82620P10,10.72,11.36,2009-02-13,141,9676.0,BSRR,SIERRA BANCORP,6020.0
82620P10,10.11,10.5,2009-02-17,222,9676.0,BSRR,SIERRA BANCORP,6020.0
82620P10,9.76,10.26,2009-02-18,198,9676.0,BSRR,SIERRA BANCORP,6020.0
82620P10,9.39,9.94,2009-02-19,116,9676.0,BSRR,SIERRA BANCORP,6020.0
82620P10,8.5,9.63,2009-02-20,242,9676.0,BSRR,SIERRA BANCORP,6020.0
82620P10,7.18,8.64,2009-02-23,282,9676.0,BSRR,SIERRA BANCORP,6020.0
82620P10,7.25,7.32,2009-02-24,453,9676.0,BSRR,SIERRA BANCORP,6020.0
82620P10,6.77,7.2,2009-02-25,294,9676.0,BSRR,SIERRA BANCORP,6020.0
82620P10,6.49,6.97,2009-02-26,470,9676.0,BSRR,SIERRA BANCORP,6020.0
82620P10,6.33,6.34,2009-02-27,219,9676.0,BSRR,SIERRA BANCORP,6020.0
82620P10,6.1,6.25,2009-03-02,234,9676.0,BSRR,SIERRA BANCORP,6020.0
82620P10,6.66,6.22,2009-03-03,334,9676.0,BSRR,SIERRA BANCORP,6020.0
82620P10,7.08,6.8,2009-03-04,610,9676.0,BSRR,SIERRA BANCORP,6020.0
82620P10,7.03,7.02,2009-03-05,365,9676.0,BSRR,SIERRA BANCORP,6020.0
82620P10,7.66,7.12,2009-03-06,158,9676.0,BSRR,SIERRA BANCORP,6020.0
82620P10,7.69,7.4,2009-03-09,122,9676.0,BSRR,SIERRA BANCORP,6020.0
82620P10,8.51,7.9,2009-03-10,323,9676.0,BSRR,SIERRA BANCORP,6020.0
82620P10,8.89,8.56,2009-03-11,212,9676.0,BSRR,SIERRA BANCORP,6020.0
82620P10,9.98,9.07,2009-03-12,404,9676.0,BSRR,SIERRA BANCORP,6020.0
82620P10,9.58,10.0,2009-03-13,292,9676.0,BSRR,SIERRA BANCORP,6020.0
82620P10,8.79,9.53,2009-03-16,306,9676.0,BSRR,SIERRA BANCORP,6020.0
82620P10,9.46,8.76,2009-03-17,248,9676.0,BSRR,SIERRA BANCORP,6020.0
82620P10,9.51,9.45,2009-03-18,444,9676.0,BSRR,SIERRA BANCORP,6020.0
82620P10,9.48,9.69,2009-03-19,132,9676.0,BSRR,SIERRA BANCORP,6020.0
82620P10,9.4,9.55,2009-03-20,281,9676.0,BSRR,SIERRA BANCORP,6020.0
82620P10,10.53,9.77,2009-03-23,303,9676.0,BSRR,SIERRA BANCORP,6020.0
