cusip,prc,openprc,date,numtrd,shrout,htick,hcomnam,hsiccd
15708510,0.82,0.7,2009-01-02,341,32544.0,CERS,CERUS CORP,2830.0
15708510,0.85,0.8,2009-01-05,255,32544.0,CERS,CERUS CORP,2830.0
15708510,0.79,0.86,2009-01-06,331,32544.0,CERS,CERUS CORP,2830.0
15708510,0.78,0.82,2009-01-07,188,32544.0,CERS,CERUS CORP,2830.0
15708510,0.7989,0.799,2009-01-08,114,32544.0,CERS,CERUS CORP,2830.0
15708510,0.86,0.7999,2009-01-09,221,32544.0,CERS,CERUS CORP,2830.0
15708510,0.79,0.86,2009-01-12,132,32544.0,CERS,CERUS CORP,2830.0
15708510,0.9299,0.82,2009-01-13,288,32544.0,CERS,CERUS CORP,2830.0
15708510,0.84,0.96,2009-01-14,248,32544.0,CERS,CERUS CORP,2830.0
15708510,0.962,0.88,2009-01-15,205,32544.0,CERS,CERUS CORP,2830.0
15708510,1.07,1.0,2009-01-16,381,32544.0,CERS,CERUS CORP,2830.0
15708510,0.95,1.12,2009-01-20,467,32544.0,CERS,CERUS CORP,2830.0
15708510,0.97,0.95,2009-01-21,211,32544.0,CERS,CERUS CORP,2830.0
15708510,0.96,1.0,2009-01-22,74,32544.0,CERS,CERUS CORP,2830.0
15708510,0.96,0.98,2009-01-23,121,32544.0,CERS,CERUS CORP,2830.0
15708510,0.91,1.01,2009-01-26,381,32544.0,CERS,CERUS CORP,2830.0
15708510,0.98,0.98,2009-01-27,168,32544.0,CERS,CERUS CORP,2830.0
15708510,0.94,1.02,2009-01-28,229,32544.0,CERS,CERUS CORP,2830.0
15708510,0.96,0.99,2009-01-29,107,32544.0,CERS,CERUS CORP,2830.0
15708510,0.94,0.96,2009-01-30,129,32544.0,CERS,CERUS CORP,2830.0
15708510,0.91,0.97,2009-02-02,164,32544.0,CERS,CERUS CORP,2830.0
15708510,0.77,0.89,2009-02-03,380,32544.0,CERS,CERUS CORP,2830.0
15708510,0.775,0.81,2009-02-04,183,32544.0,CERS,CERUS CORP,2830.0
15708510,0.83,0.81,2009-02-05,173,32544.0,CERS,CERUS CORP,2830.0
15708510,0.9,0.89,2009-02-06,322,32544.0,CERS,CERUS CORP,2830.0
15708510,0.84,0.89,2009-02-09,152,32544.0,CERS,CERUS CORP,2830.0
15708510,0.735,0.81,2009-02-10,295,32544.0,CERS,CERUS CORP,2830.0
15708510,0.7,0.73,2009-02-11,184,32544.0,CERS,CERUS CORP,2830.0
15708510,0.71,0.74,2009-02-12,105,32544.0,CERS,CERUS CORP,2830.0
15708510,0.7899,0.7,2009-02-13,327,32544.0,CERS,CERUS CORP,2830.0
15708510,0.7599,0.81,2009-02-17,161,32544.0,CERS,CERUS CORP,2830.0
15708510,0.7499,0.8,2009-02-18,161,32544.0,CERS,CERUS CORP,2830.0
15708510,0.72,0.7,2009-02-19,138,32600.0,CERS,CERUS CORP,2830.0
15708510,0.62,0.779,2009-02-20,356,32600.0,CERS,CERUS CORP,2830.0
15708510,0.68,0.65,2009-02-23,212,32600.0,CERS,CERUS CORP,2830.0
15708510,0.85,0.72,2009-02-24,301,32600.0,CERS,CERUS CORP,2830.0
15708510,0.72,0.85,2009-02-25,256,32600.0,CERS,CERUS CORP,2830.0
15708510,0.8,0.74,2009-02-26,352,32600.0,CERS,CERUS CORP,2830.0
15708510,0.7399,0.83,2009-02-27,182,32600.0,CERS,CERUS CORP,2830.0
15708510,0.72,0.71,2009-03-02,310,32600.0,CERS,CERUS CORP,2830.0
15708510,0.72,0.681,2009-03-03,195,32600.0,CERS,CERUS CORP,2830.0
15708510,0.76,0.73,2009-03-04,191,32600.0,CERS,CERUS CORP,2830.0
15708510,0.681,0.77,2009-03-05,107,32600.0,CERS,CERUS CORP,2830.0
15708510,0.71,0.681,2009-03-06,95,32600.0,CERS,CERUS CORP,2830.0
15708510,0.769,0.75,2009-03-09,209,32600.0,CERS,CERUS CORP,2830.0
15708510,0.77,0.75,2009-03-10,160,32600.0,CERS,CERUS CORP,2830.0
15708510,0.72,0.7,2009-03-11,169,32600.0,CERS,CERUS CORP,2830.0
15708510,0.8,0.77,2009-03-12,173,32600.0,CERS,CERUS CORP,2830.0
15708510,0.83,0.805,2009-03-13,175,32600.0,CERS,CERUS CORP,2830.0
15708510,0.8397,0.83,2009-03-16,162,32600.0,CERS,CERUS CORP,2830.0
15708510,0.81,0.81,2009-03-17,164,32600.0,CERS,CERUS CORP,2830.0
15708510,0.8,0.81,2009-03-18,276,32600.0,CERS,CERUS CORP,2830.0
15708510,0.75,0.83,2009-03-19,207,32600.0,CERS,CERUS CORP,2830.0
15708510,0.67,0.78,2009-03-20,154,32600.0,CERS,CERUS CORP,2830.0
15708510,0.65,0.7,2009-03-23,373,32600.0,CERS,CERUS CORP,2830.0
15708510,0.63,0.65,2009-03-24,330,32600.0,CERS,CERUS CORP,2830.0
15708510,0.65,0.63,2009-03-25,370,32600.0,CERS,CERUS CORP,2830.0
15708510,0.67,0.64,2009-03-26,660,32600.0,CERS,CERUS CORP,2830.0
15708510,0.64,0.66,2009-03-27,1213,32600.0,CERS,CERUS CORP,2830.0
15708510,0.66,0.67,2009-03-30,50,32600.0,CERS,CERUS CORP,2830.0
15708510,0.68,0.68,2009-03-31,147,32649.0,CERS,CERUS CORP,2830.0
15708510,0.68,0.68,2009-04-01,92,32649.0,CERS,CERUS CORP,2830.0
15708510,0.67,0.66,2009-04-02,125,32649.0,CERS,CERUS CORP,2830.0
15708510,0.64,0.64,2009-04-03,112,32649.0,CERS,CERUS CORP,2830.0
15708510,0.665,0.64,2009-04-06,124,32649.0,CERS,CERUS CORP,2830.0
15708510,0.78,0.68,2009-04-07,553,32649.0,CERS,CERUS CORP,2830.0
15708510,0.79,0.8,2009-04-08,193,32649.0,CERS,CERUS CORP,2830.0
15708510,0.87,0.81,2009-04-09,379,32649.0,CERS,CERUS CORP,2830.0
15708510,1.01,0.88,2009-04-13,451,32649.0,CERS,CERUS CORP,2830.0
15708510,0.92,1.04,2009-04-14,777,32649.0,CERS,CERUS CORP,2830.0
15708510,0.87,0.95,2009-04-15,211,32649.0,CERS,CERUS CORP,2830.0
15708510,0.92,0.89,2009-04-16,180,32649.0,CERS,CERUS CORP,2830.0
15708510,0.95,0.93,2009-04-17,368,32649.0,CERS,CERUS CORP,2830.0
15708510,1.02,1.05,2009-04-20,725,32649.0,CERS,CERUS CORP,2830.0
15708510,1.11,1.1,2009-04-21,996,32649.0,CERS,CERUS CORP,2830.0
15708510,1.16,1.15,2009-04-22,633,32600.0,CERS,CERUS CORP,2830.0
15708510,1.06,1.2,2009-04-23,575,32600.0,CERS,CERUS CORP,2830.0
15708510,1.09,1.1,2009-04-24,303,32600.0,CERS,CERUS CORP,2830.0
15708510,1.34,1.5,2009-04-27,1309,32600.0,CERS,CERUS CORP,2830.0
15708510,1.38,1.44,2009-04-28,896,32600.0,CERS,CERUS CORP,2830.0
15708510,1.29,1.42,2009-04-29,445,32600.0,CERS,CERUS CORP,2830.0
15708510,1.17,1.28,2009-04-30,699,32600.0,CERS,CERUS CORP,2830.0
15708510,1.05,1.1,2009-05-01,906,32600.0,CERS,CERUS CORP,2830.0
15708510,0.96,0.91,2009-05-04,794,32600.0,CERS,CERUS CORP,2830.0
15708510,1.09,0.96,2009-05-05,435,32600.0,CERS,CERUS CORP,2830.0
15708510,1.1,1.09,2009-05-06,394,32600.0,CERS,CERUS CORP,2830.0
15708510,1.04,1.1,2009-05-07,238,32600.0,CERS,CERUS CORP,2830.0
15708510,0.97,1.04,2009-05-08,542,32600.0,CERS,CERUS CORP,2830.0
15708510,1.09,1.0,2009-05-11,264,32600.0,CERS,CERUS CORP,2830.0
15708510,1.02,1.1,2009-05-12,284,32600.0,CERS,CERUS CORP,2830.0
15708510,1.02,1.05,2009-05-13,306,32600.0,CERS,CERUS CORP,2830.0
15708510,1.04,1.02,2009-05-14,334,32600.0,CERS,CERUS CORP,2830.0
15708510,0.99,1.06,2009-05-15,1008,32600.0,CERS,CERUS CORP,2830.0
15708510,1.01,1.0,2009-05-18,507,32600.0,CERS,CERUS CORP,2830.0
15708510,1.01,1.05,2009-05-19,210,32600.0,CERS,CERUS CORP,2830.0
15708510,1.01,1.05,2009-05-20,131,32600.0,CERS,CERUS CORP,2830.0
15708510,1.07,1.01,2009-05-21,147,32600.0,CERS,CERUS CORP,2830.0
15708510,1.08,1.08,2009-05-22,243,32600.0,CERS,CERUS CORP,2830.0
15708510,1.02,1.07,2009-05-26,237,32600.0,CERS,CERUS CORP,2830.0
15708510,1.03,1.0,2009-05-27,70,32600.0,CERS,CERUS CORP,2830.0
15708510,1.2,1.09,2009-05-28,974,32600.0,CERS,CERUS CORP,2830.0
15708510,1.24,1.2,2009-05-29,618,32600.0,CERS,CERUS CORP,2830.0
15708510,1.17,1.27,2009-06-01,470,32600.0,CERS,CERUS CORP,2830.0
15708510,1.18,1.22,2009-06-02,230,32600.0,CERS,CERUS CORP,2830.0
15708510,1.06,1.16,2009-06-03,335,32600.0,CERS,CERUS CORP,2830.0
15708510,1.14,1.06,2009-06-04,500,32600.0,CERS,CERUS CORP,2830.0
15708510,1.1,1.14,2009-06-05,151,32600.0,CERS,CERUS CORP,2830.0
15708510,1.14,1.06,2009-06-08,215,32600.0,CERS,CERUS CORP,2830.0
15708510,1.14,1.1,2009-06-09,220,32600.0,CERS,CERUS CORP,2830.0
15708510,1.13,1.18,2009-06-10,102,32600.0,CERS,CERUS CORP,2830.0
15708510,1.15,1.08,2009-06-11,187,32600.0,CERS,CERUS CORP,2830.0
15708510,1.08,1.15,2009-06-12,135,32600.0,CERS,CERUS CORP,2830.0
15708510,1.06,1.09,2009-06-15,71,32600.0,CERS,CERUS CORP,2830.0
15708510,1.07,1.1,2009-06-16,67,32600.0,CERS,CERUS CORP,2830.0
15708510,1.01,1.07,2009-06-17,167,32600.0,CERS,CERUS CORP,2830.0
15708510,1.04,1.01,2009-06-18,59,32600.0,CERS,CERUS CORP,2830.0
15708510,1.02,1.02,2009-06-19,82,32600.0,CERS,CERUS CORP,2830.0
15708510,1.02,1.03,2009-06-22,100,32600.0,CERS,CERUS CORP,2830.0
15708510,0.8899,0.98,2009-06-23,393,32600.0,CERS,CERUS CORP,2830.0
15708510,1.01,0.88,2009-06-24,212,32600.0,CERS,CERUS CORP,2830.0
15708510,0.95,1.0,2009-06-25,111,32600.0,CERS,CERUS CORP,2830.0
15708510,1.01,0.96,2009-06-26,175,32600.0,CERS,CERUS CORP,2830.0
15708510,0.9,0.97,2009-06-29,42,32600.0,CERS,CERUS CORP,2830.0
15708510,1.03,0.91,2009-06-30,238,32600.0,CERS,CERUS CORP,2830.0
15708510,0.95,0.98,2009-07-01,97,32600.0,CERS,CERUS CORP,2830.0
15708510,0.968,0.97,2009-07-02,39,32600.0,CERS,CERUS CORP,2830.0
15708510,0.921,0.95,2009-07-06,52,32600.0,CERS,CERUS CORP,2830.0
15708510,0.93,0.93,2009-07-07,64,32600.0,CERS,CERUS CORP,2830.0
15708510,0.86,0.92,2009-07-08,205,32600.0,CERS,CERUS CORP,2830.0
15708510,0.88,0.83,2009-07-09,49,32600.0,CERS,CERUS CORP,2830.0
15708510,0.87,0.88,2009-07-10,69,32600.0,CERS,CERUS CORP,2830.0
15708510,0.93,0.91,2009-07-13,312,32600.0,CERS,CERUS CORP,2830.0
15708510,0.98,0.97,2009-07-14,227,32600.0,CERS,CERUS CORP,2830.0
15708510,0.96,0.98,2009-07-15,100,32600.0,CERS,CERUS CORP,2830.0
15708510,0.95,0.94,2009-07-16,585,32600.0,CERS,CERUS CORP,2830.0
15708510,1.0395,1.0,2009-07-17,339,32600.0,CERS,CERUS CORP,2830.0
15708510,1.14,1.05,2009-07-20,380,32600.0,CERS,CERUS CORP,2830.0
15708510,1.15,1.16,2009-07-21,310,32600.0,CERS,CERUS CORP,2830.0
15708510,1.21,1.13,2009-07-22,318,32600.0,CERS,CERUS CORP,2830.0
15708510,1.8,1.25,2009-07-23,3642,32600.0,CERS,CERUS CORP,2830.0
15708510,2.051,2.06,2009-07-24,2933,32600.0,CERS,CERUS CORP,2830.0
15708510,2.98,2.49,2009-07-27,5282,32600.0,CERS,CERUS CORP,2830.0
15708510,2.3,2.84,2009-07-28,4384,32600.0,CERS,CERUS CORP,2830.0
15708510,1.94,2.2,2009-07-29,2794,32600.0,CERS,CERUS CORP,2830.0
15708510,1.91,1.88,2009-07-30,1703,32600.0,CERS,CERUS CORP,2830.0
15708510,1.67,1.85,2009-07-31,1632,32600.0,CERS,CERUS CORP,2830.0
15708510,1.77,1.73,2009-08-03,855,32600.0,CERS,CERUS CORP,2830.0
15708510,1.68,1.64,2009-08-04,562,32600.0,CERS,CERUS CORP,2830.0
15708510,1.75,1.66,2009-08-05,781,32600.0,CERS,CERUS CORP,2830.0
15708510,1.7,1.7,2009-08-06,854,32600.0,CERS,CERUS CORP,2830.0
