cusip,prc,openprc,date,numtrd,htick,hcomnam,hsiccd,numshr
12466Q10,16.55,16.99,2009-01-02,37.0,CFFI,C & F FINANCIAL CORP,6020.0,208.0
12466Q10,17.45,17.44,2009-01-05,5.0,CFFI,C & F FINANCIAL CORP,6020.0,208.0
12466Q10,17.46,17.04,2009-01-06,9.0,CFFI,C & F FINANCIAL CORP,6020.0,208.0
12466Q10,-17.7,,2009-01-07,1.0,CFFI,C & F FINANCIAL CORP,6020.0,208.0
12466Q10,19.0,18.0,2009-01-08,13.0,CFFI,C & F FINANCIAL CORP,6020.0,208.0
12466Q10,18.93,18.86,2009-01-09,16.0,CFFI,C & F FINANCIAL CORP,6020.0,208.0
12466Q10,18.0,18.97,2009-01-12,17.0,CFFI,C & F FINANCIAL CORP,6020.0,208.0
12466Q10,-16.825,,2009-01-13,0.0,CFFI,C & F FINANCIAL CORP,6020.0,208.0
12466Q10,15.0,16.21,2009-01-14,15.0,CFFI,C & F FINANCIAL CORP,6020.0,208.0
12466Q10,14.01,16.97,2009-01-15,,CFFI,C & F FINANCIAL CORP,6020.0,208.0
12466Q10,16.0,15.97,2009-01-16,5.0,CFFI,C & F FINANCIAL CORP,6020.0,208.0
12466Q10,15.04,15.04,2009-01-20,1.0,CFFI,C & F FINANCIAL CORP,6020.0,208.0
12466Q10,14.8,15.0,2009-01-21,3.0,CFFI,C & F FINANCIAL CORP,6020.0,208.0
12466Q10,15.0,15.0,2009-01-22,1.0,CFFI,C & F FINANCIAL CORP,6020.0,208.0
12466Q10,14.06,14.7,2009-01-23,4.0,CFFI,C & F FINANCIAL CORP,6020.0,208.0
12466Q10,14.78,14.78,2009-01-26,2.0,CFFI,C & F FINANCIAL CORP,6020.0,208.0
12466Q10,-15.0,,2009-01-27,0.0,CFFI,C & F FINANCIAL CORP,6020.0,208.0
12466Q10,15.657,15.0,2009-01-28,12.0,CFFI,C & F FINANCIAL CORP,6020.0,208.0
12466Q10,14.29,15.01,2009-01-29,8.0,CFFI,C & F FINANCIAL CORP,6020.0,208.0
12466Q10,15.0,13.7,2009-01-30,6.0,CFFI,C & F FINANCIAL CORP,6020.0,208.0
12466Q10,-14.77,,2009-02-02,0.0,CFFI,C & F FINANCIAL CORP,6020.0,208.0
12466Q10,14.13,14.04,2009-02-03,11.0,CFFI,C & F FINANCIAL CORP,6020.0,208.0
12466Q10,15.18,14.4,2009-02-04,8.0,CFFI,C & F FINANCIAL CORP,6020.0,208.0
12466Q10,-15.2,,2009-02-05,0.0,CFFI,C & F FINANCIAL CORP,6020.0,208.0
12466Q10,14.2,13.5,2009-02-06,46.0,CFFI,C & F FINANCIAL CORP,6020.0,208.0
12466Q10,15.0001,15.0001,2009-02-09,1.0,CFFI,C & F FINANCIAL CORP,6020.0,208.0
12466Q10,15.5,15.5,2009-02-10,2.0,CFFI,C & F FINANCIAL CORP,6020.0,208.0
12466Q10,15.75,15.55,2009-02-11,19.0,CFFI,C & F FINANCIAL CORP,6020.0,208.0
12466Q10,15.5,15.5,2009-02-12,2.0,CFFI,C & F FINANCIAL CORP,6020.0,208.0
12466Q10,15.65,13.34,2009-02-13,22.0,CFFI,C & F FINANCIAL CORP,6020.0,208.0
