cusip,prc,openprc,date,numtrd,shrout,htick,hcomnam,hsiccd
12562N10,13.32,13.41,2009-01-02,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,13.1,13.4999,2009-01-05,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,13.2,13.2,2009-01-06,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,12.5076,12.99,2009-01-07,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-12.69,,2009-01-08,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,12.85,13.51,2009-01-09,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,12.6,12.6,2009-01-12,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-12.65,,2009-01-13,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-12.68,,2009-01-14,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-12.675,,2009-01-15,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-12.675,,2009-01-16,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-12.7,,2009-01-20,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-12.7,,2009-01-21,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,12.75,12.75,2009-01-22,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,12.5,12.5,2009-01-23,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,12.59,12.59,2009-01-26,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,12.35,12.35,2009-01-27,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.51,12.1,2009-01-28,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-11.805,,2009-01-29,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.552,11.52,2009-01-30,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-11.65,,2009-02-02,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.5001,11.55,2009-02-03,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-11.625,,2009-02-04,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.5,11.5025,2009-02-05,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.4499,11.75,2009-02-06,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-11.29,,2009-02-09,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.5,11.5,2009-02-10,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.5,11.5,2009-02-11,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-11.375,,2009-02-12,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.5,11.5,2009-02-13,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.0,11.25,2009-02-17,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.0001,11.0,2009-02-18,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,10.95,10.95,2009-02-19,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,10.9501,10.95,2009-02-20,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.09,10.95,2009-02-23,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.09,11.39,2009-02-24,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.0,11.0,2009-02-25,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-11.295,,2009-02-26,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.0001,11.0,2009-02-27,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.0,11.0,2009-03-02,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.0,11.0,2009-03-03,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-11.125,,2009-03-04,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.1899,11.0,2009-03-05,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.01,11.0101,2009-03-06,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-11.05,,2009-03-09,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.14,11.14,2009-03-10,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-11.305,,2009-03-11,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-11.315,,2009-03-12,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-11.2,,2009-03-13,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.1299,11.1999,2009-03-16,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.0,11.0,2009-03-17,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-11.245,,2009-03-18,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-11.12,,2009-03-19,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-11.25,,2009-03-20,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.5,11.49,2009-03-23,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.5099,11.01,2009-03-24,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-11.485,,2009-03-25,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.73,11.73,2009-03-26,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.74,11.24,2009-03-27,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.74,11.74,2009-03-30,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.74,11.74,2009-03-31,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.5,11.5,2009-04-01,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.4,11.51,2009-04-02,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.74,11.5,2009-04-03,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.75,11.75,2009-04-06,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.5117,11.54,2009-04-07,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.7399,11.5,2009-04-08,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.75,11.58,2009-04-09,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.75,11.5,2009-04-13,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-11.89,,2009-04-14,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-12.02,,2009-04-15,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.25,11.45,2009-04-16,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,12.0,11.58,2009-04-17,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.4,11.61,2009-04-20,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-11.355,,2009-04-21,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-11.305,,2009-04-22,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-11.295,,2009-04-23,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-11.22,,2009-04-24,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-11.295,,2009-04-27,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-11.45,,2009-04-28,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.4,11.4,2009-04-29,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.4,11.4,2009-04-30,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.31,11.0,2009-05-01,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.38,11.39,2009-05-04,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.46,11.37,2009-05-05,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.39,11.47,2009-05-06,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-11.655,,2009-05-07,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.569,11.93,2009-05-08,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-11.525,,2009-05-11,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-11.525,,2009-05-12,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-11.91,,2009-05-13,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,12.55,11.31,2009-05-14,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-11.9,,2009-05-15,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,12.6101,12.58,2009-05-18,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,13.9999,12.99,2009-05-19,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,14.99,14.45,2009-05-20,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,14.0,14.4,2009-05-21,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,13.4,13.41,2009-05-22,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-13.25,,2009-05-26,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-13.155,,2009-05-27,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-13.16,,2009-05-28,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-13.305,,2009-05-29,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,13.43,13.07,2009-06-01,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,12.145,12.78,2009-06-02,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,12.65,12.13,2009-06-03,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-12.07,,2009-06-04,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-12.01,,2009-06-05,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-12.005,,2009-06-08,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-12.04,,2009-06-09,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-11.99,,2009-06-10,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-12.13,,2009-06-11,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,12.47,12.51,2009-06-12,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,12.74,12.74,2009-06-15,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,12.74,12.74,2009-06-16,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,12.74,12.7401,2009-06-17,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.3768,12.74,2009-06-18,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,12.5,12.5,2009-06-19,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.8901,11.8901,2009-06-22,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-12.105,,2009-06-23,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.94,11.94,2009-06-24,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-12.095,,2009-06-25,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,12.01,12.02,2009-06-26,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,12.585,12.585,2009-06-29,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-12.01,,2009-06-30,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-12.035,,2009-07-01,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,11.8899,11.41,2009-07-02,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,12.43,12.07,2009-07-06,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,12.25,12.9,2009-07-07,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-12.14,,2009-07-08,,1942.0,CKX,C K X LANDS INC,1311.0
12562N10,-12.31,,2009-07-09,,1942.0,CKX,C K X LANDS INC,1311.0
