cusip,prc,openprc,date,numtrd,shrout,htick,hcomnam,hsiccd
59318E10,2.91,2.85,2009-01-02,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.14,2.93,2009-01-05,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.15,3.14,2009-01-06,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.2,3.15,2009-01-07,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.15,3.15,2009-01-08,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.21,3.18,2009-01-09,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.28,3.25,2009-01-12,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.4,3.39,2009-01-13,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.33,3.48,2009-01-14,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.23,3.31,2009-01-15,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.35,3.25,2009-01-16,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.31,3.3,2009-01-20,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.31,3.27,2009-01-21,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.28,3.32,2009-01-22,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.29,3.3,2009-01-23,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.31,3.29,2009-01-26,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.44,3.69,2009-01-27,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.4,3.44,2009-01-28,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.39,3.35,2009-01-29,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.39,3.41,2009-01-30,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.35,3.45,2009-02-02,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.36,3.39,2009-02-03,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.39,3.37,2009-02-04,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.51,3.42,2009-02-05,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.73,3.47,2009-02-06,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.76,3.75,2009-02-09,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.58,3.89,2009-02-10,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.45,3.56,2009-02-11,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.33,3.41,2009-02-12,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.33,3.33,2009-02-13,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.15,3.31,2009-02-17,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.15,3.19,2009-02-18,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.09,3.14,2009-02-19,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.08,3.08,2009-02-20,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,2.92,3.13,2009-02-23,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.15,3.05,2009-02-24,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.25,3.16,2009-02-25,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.29,3.31,2009-02-26,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.18,3.32,2009-02-27,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.05,3.2,2009-03-02,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,2.93,2.99,2009-03-03,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.07,2.92,2009-03-04,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,2.97,3.01,2009-03-05,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,2.99,2.98,2009-03-06,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,2.9,2.98,2009-03-09,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.06,2.9,2009-03-10,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.0299,3.08,2009-03-11,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.04,2.96,2009-03-12,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.07,3.08,2009-03-13,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.13,3.19,2009-03-16,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.05,3.11,2009-03-17,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.0,3.05,2009-03-18,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.01,3.03,2009-03-19,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.078,3.03,2009-03-20,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.15,3.11,2009-03-23,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.17,3.11,2009-03-24,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.16,3.19,2009-03-25,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.22,3.21,2009-03-26,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.26,3.16,2009-03-27,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.22,3.33,2009-03-30,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.32,3.31,2009-03-31,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.42,3.39,2009-04-01,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.48,3.46,2009-04-02,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.3845,3.54,2009-04-03,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.35,3.41,2009-04-06,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.42,3.31,2009-04-07,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.51,3.39,2009-04-08,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.6,3.48,2009-04-09,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.42,3.63,2009-04-13,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.5,3.33,2009-04-14,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.43,3.5,2009-04-15,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.48,3.49,2009-04-16,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.47,3.54,2009-04-17,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.34,3.45,2009-04-20,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.35,3.38,2009-04-21,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.37,3.36,2009-04-22,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.46,3.38,2009-04-23,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.5499,3.5,2009-04-24,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.63,3.61,2009-04-27,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.57,3.54,2009-04-28,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.67,3.61,2009-04-29,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.58,3.72,2009-04-30,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.62,3.65,2009-05-01,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.67,3.72,2009-05-04,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.66,3.7,2009-05-05,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.67,3.69,2009-05-06,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.65,3.65,2009-05-07,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.68,3.7,2009-05-08,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.7,3.65,2009-05-11,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.7,3.71,2009-05-12,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.65,3.69,2009-05-13,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.59,3.65,2009-05-14,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.67,3.59,2009-05-15,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.72,3.65,2009-05-18,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.77,3.68,2009-05-19,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.73,3.8,2009-05-20,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.78,3.73,2009-05-21,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.7,3.76,2009-05-22,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.87,3.72,2009-05-26,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.8542,3.85,2009-05-27,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.8,3.9,2009-05-28,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.871,3.85,2009-05-29,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.83,3.78,2009-06-01,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.84,3.81,2009-06-02,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.83,3.85,2009-06-03,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.8,3.85,2009-06-04,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.81,3.8,2009-06-05,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.88,3.83,2009-06-08,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.93,3.9,2009-06-09,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.87,3.97,2009-06-10,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.89,3.84,2009-06-11,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.8,3.84,2009-06-12,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.7,3.73,2009-06-15,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.7,3.68,2009-06-16,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.63,3.68,2009-06-17,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.64,3.64,2009-06-18,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.67,3.65,2009-06-19,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.78,3.69,2009-06-22,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.74,3.78,2009-06-23,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.73,3.74,2009-06-24,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.76,3.78,2009-06-25,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.79,3.77,2009-06-26,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.82,3.81,2009-06-29,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.77,3.85,2009-06-30,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.85,3.79,2009-07-01,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.8579,3.84,2009-07-02,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.76,3.78,2009-07-06,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.72,3.76,2009-07-07,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.68,3.73,2009-07-08,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.77,3.69,2009-07-09,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.79,3.8,2009-07-10,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.78,3.76,2009-07-13,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.81,3.74,2009-07-14,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.82,3.8,2009-07-15,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.8,3.83,2009-07-16,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.84,3.8,2009-07-17,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.88,3.9,2009-07-20,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.838,3.83,2009-07-21,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.83,3.83,2009-07-22,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.88,3.84,2009-07-23,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.89,3.88,2009-07-24,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.98,3.9,2009-07-27,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.99,3.99,2009-07-28,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,4.04,3.96,2009-07-29,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,4.22,4.19,2009-07-30,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,4.04,4.2,2009-07-31,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,4.16,4.13,2009-08-03,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,4.22,4.16,2009-08-04,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,4.15,4.19,2009-08-05,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,4.15,4.15,2009-08-06,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,4.17,4.22,2009-08-07,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,4.24,4.15,2009-08-10,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,4.13,4.27,2009-08-11,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,4.19,4.15,2009-08-12,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,4.12,4.16,2009-08-13,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,4.09,4.08,2009-08-14,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,3.95,4.04,2009-08-17,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,4.03,4.05,2009-08-18,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,4.11,3.99,2009-08-19,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,4.14,4.14,2009-08-20,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,4.11,4.18,2009-08-21,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,4.11,4.11,2009-08-24,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
59318E10,4.12,4.1,2009-08-25,,27850.0,CMU,M F S HIGH YIELD MUNICIPAL TRUST,6726.0
