cusip,prc,openprc,date,numtrd,shrout,htick,hcomnam,hsiccd
12618T10,26.79,26.97,2009-01-02,888,10552.0,CRAI,C R A INTERNATIONAL INC,8748.0
12618T10,26.7,26.86,2009-01-05,496,10552.0,CRAI,C R A INTERNATIONAL INC,8748.0
12618T10,26.7,26.93,2009-01-06,768,10552.0,CRAI,C R A INTERNATIONAL INC,8748.0
12618T10,26.79,26.39,2009-01-07,586,10552.0,CRAI,C R A INTERNATIONAL INC,8748.0
12618T10,26.8,26.79,2009-01-08,402,10552.0,CRAI,C R A INTERNATIONAL INC,8748.0
12618T10,25.63,26.72,2009-01-09,378,10552.0,CRAI,C R A INTERNATIONAL INC,8748.0
12618T10,25.89,25.61,2009-01-12,439,10552.0,CRAI,C R A INTERNATIONAL INC,8748.0
12618T10,26.35,26.6,2009-01-13,370,10552.0,CRAI,C R A INTERNATIONAL INC,8748.0
12618T10,24.14,25.95,2009-01-14,1266,10552.0,CRAI,C R A INTERNATIONAL INC,8748.0
12618T10,23.44,25.35,2009-01-15,917,10552.0,CRAI,C R A INTERNATIONAL INC,8748.0
12618T10,23.02,23.45,2009-01-16,1199,10552.0,CRAI,C R A INTERNATIONAL INC,8748.0
12618T10,22.5,22.7,2009-01-20,1023,10552.0,CRAI,C R A INTERNATIONAL INC,8748.0
12618T10,22.73,22.64,2009-01-21,933,10552.0,CRAI,C R A INTERNATIONAL INC,8748.0
12618T10,22.09,22.34,2009-01-22,535,10552.0,CRAI,C R A INTERNATIONAL INC,8748.0
12618T10,21.93,21.8,2009-01-23,936,10552.0,CRAI,C R A INTERNATIONAL INC,8748.0
12618T10,21.74,21.89,2009-01-26,674,10552.0,CRAI,C R A INTERNATIONAL INC,8748.0
12618T10,21.79,21.69,2009-01-27,643,10552.0,CRAI,C R A INTERNATIONAL INC,8748.0
12618T10,22.09,22.13,2009-01-28,532,10552.0,CRAI,C R A INTERNATIONAL INC,8748.0
12618T10,21.39,21.85,2009-01-29,604,10552.0,CRAI,C R A INTERNATIONAL INC,8748.0
12618T10,21.01,21.54,2009-01-30,414,10552.0,CRAI,C R A INTERNATIONAL INC,8748.0
12618T10,21.54,20.88,2009-02-02,493,10552.0,CRAI,C R A INTERNATIONAL INC,8748.0
12618T10,21.9,21.64,2009-02-03,433,10552.0,CRAI,C R A INTERNATIONAL INC,8748.0
12618T10,21.11,21.84,2009-02-04,466,10552.0,CRAI,C R A INTERNATIONAL INC,8748.0
12618T10,21.61,20.53,2009-02-05,498,10552.0,CRAI,C R A INTERNATIONAL INC,8748.0
12618T10,22.8,21.53,2009-02-06,826,10552.0,CRAI,C R A INTERNATIONAL INC,8748.0
12618T10,22.52,22.62,2009-02-09,391,10552.0,CRAI,C R A INTERNATIONAL INC,8748.0
12618T10,21.43,22.37,2009-02-10,308,10902.0,CRAI,C R A INTERNATIONAL INC,8748.0
