cusip,prc,openprc,date,numtrd,shrout,htick,hcomnam,hsiccd
17306X10,13.95,14.76,2009-01-02,1066,14370.0,CTRN,CITI TRENDS INC,5600.0
17306X10,13.29,14.01,2009-01-05,1179,14370.0,CTRN,CITI TRENDS INC,5600.0
17306X10,13.03,13.47,2009-01-06,827,14370.0,CTRN,CITI TRENDS INC,5600.0
17306X10,11.92,12.77,2009-01-07,896,14370.0,CTRN,CITI TRENDS INC,5600.0
17306X10,11.86,12.04,2009-01-08,1131,14370.0,CTRN,CITI TRENDS INC,5600.0
17306X10,11.27,11.81,2009-01-09,585,14370.0,CTRN,CITI TRENDS INC,5600.0
17306X10,11.32,11.28,2009-01-12,1065,14370.0,CTRN,CITI TRENDS INC,5600.0
17306X10,11.58,11.31,2009-01-13,543,14370.0,CTRN,CITI TRENDS INC,5600.0
17306X10,10.93,11.34,2009-01-14,1830,14370.0,CTRN,CITI TRENDS INC,5600.0
17306X10,11.11,10.95,2009-01-15,676,14370.0,CTRN,CITI TRENDS INC,5600.0
17306X10,11.17,11.21,2009-01-16,633,14370.0,CTRN,CITI TRENDS INC,5600.0
17306X10,10.2,10.96,2009-01-20,988,14370.0,CTRN,CITI TRENDS INC,5600.0
17306X10,11.33,10.41,2009-01-21,1253,14370.0,CTRN,CITI TRENDS INC,5600.0
17306X10,11.23,11.03,2009-01-22,716,14370.0,CTRN,CITI TRENDS INC,5600.0
17306X10,10.8,10.89,2009-01-23,704,14370.0,CTRN,CITI TRENDS INC,5600.0
17306X10,10.89,10.79,2009-01-26,427,14370.0,CTRN,CITI TRENDS INC,5600.0
17306X10,11.19,10.9,2009-01-27,573,14370.0,CTRN,CITI TRENDS INC,5600.0
17306X10,11.8,11.38,2009-01-28,493,14370.0,CTRN,CITI TRENDS INC,5600.0
17306X10,10.29,11.44,2009-01-29,748,14370.0,CTRN,CITI TRENDS INC,5600.0
17306X10,9.53,10.4,2009-01-30,993,14533.0,CTRN,CITI TRENDS INC,5600.0
17306X10,9.51,9.4,2009-02-02,1071,14533.0,CTRN,CITI TRENDS INC,5600.0
17306X10,10.58,9.58,2009-02-03,1151,14533.0,CTRN,CITI TRENDS INC,5600.0
17306X10,9.9,10.58,2009-02-04,342,14533.0,CTRN,CITI TRENDS INC,5600.0
17306X10,11.43,11.13,2009-02-05,1554,14533.0,CTRN,CITI TRENDS INC,5600.0
17306X10,11.75,11.45,2009-02-06,1456,14533.0,CTRN,CITI TRENDS INC,5600.0
17306X10,11.75,11.66,2009-02-09,507,14533.0,CTRN,CITI TRENDS INC,5600.0
17306X10,10.82,11.59,2009-02-10,797,14533.0,CTRN,CITI TRENDS INC,5600.0
17306X10,10.75,11.1099,2009-02-11,528,14533.0,CTRN,CITI TRENDS INC,5600.0
17306X10,10.69,10.56,2009-02-12,724,14533.0,CTRN,CITI TRENDS INC,5600.0
17306X10,10.85,10.7,2009-02-13,503,14533.0,CTRN,CITI TRENDS INC,5600.0
17306X10,10.75,10.54,2009-02-17,731,14533.0,CTRN,CITI TRENDS INC,5600.0
17306X10,11.0,10.85,2009-02-18,755,14533.0,CTRN,CITI TRENDS INC,5600.0
17306X10,11.33,11.88,2009-02-19,1755,14533.0,CTRN,CITI TRENDS INC,5600.0
17306X10,12.05,11.13,2009-02-20,1233,14533.0,CTRN,CITI TRENDS INC,5600.0
17306X10,12.29,12.26,2009-02-23,1254,14533.0,CTRN,CITI TRENDS INC,5600.0
17306X10,12.64,12.47,2009-02-24,836,14533.0,CTRN,CITI TRENDS INC,5600.0
17306X10,11.92,12.58,2009-02-25,846,14533.0,CTRN,CITI TRENDS INC,5600.0
17306X10,12.03,11.99,2009-02-26,960,14533.0,CTRN,CITI TRENDS INC,5600.0
17306X10,12.2,11.86,2009-02-27,1218,14533.0,CTRN,CITI TRENDS INC,5600.0
17306X10,11.97,12.02,2009-03-02,860,14533.0,CTRN,CITI TRENDS INC,5600.0
17306X10,11.06,12.24,2009-03-03,889,14533.0,CTRN,CITI TRENDS INC,5600.0
17306X10,12.82,11.23,2009-03-04,1807,14533.0,CTRN,CITI TRENDS INC,5600.0
17306X10,11.76,12.45,2009-03-05,1065,14533.0,CTRN,CITI TRENDS INC,5600.0
