cusip,prc,openprc,date,numtrd,shrout,htick,hcomnam,hsiccd
23331S10,4.01,4.06,2009-01-02,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,3.87,3.99,2009-01-05,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,4.4,3.92,2009-01-06,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,3.62,4.31,2009-01-07,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,3.57,3.71,2009-01-08,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,3.39,3.58,2009-01-09,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,3.28,3.42,2009-01-12,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,3.3,3.28,2009-01-13,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,3.24,3.24,2009-01-14,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,3.25,3.23,2009-01-15,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,3.22,3.21,2009-01-16,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,3.1,3.13,2009-01-20,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,3.19,3.15,2009-01-21,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,3.25,3.15,2009-01-22,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.91,3.1,2009-01-23,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.77,2.95,2009-01-26,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.85,2.79,2009-01-27,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.98,2.85,2009-01-28,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.8,2.96,2009-01-29,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.86,2.86,2009-01-30,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.99,2.83,2009-02-02,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.86,2.98,2009-02-03,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.88,2.56,2009-02-04,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.95,2.5,2009-02-05,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,3.21,2.93,2009-02-06,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.88,3.17,2009-02-09,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.75,2.87,2009-02-10,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.75,2.76,2009-02-11,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.88,2.75,2009-02-12,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.83,2.87,2009-02-13,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.59,2.7,2009-02-17,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.75,2.61,2009-02-18,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.67,2.77,2009-02-19,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.53,2.62,2009-02-20,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.42,2.54,2009-02-23,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.46,2.5,2009-02-24,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.39,2.47,2009-02-25,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.32,2.49,2009-02-26,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.37,2.33,2009-02-27,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.24,2.34,2009-03-02,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.25,2.29,2009-03-03,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.22,2.25,2009-03-04,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.12,2.15,2009-03-05,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.23,2.14,2009-03-06,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.15,2.23,2009-03-09,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.29,2.21,2009-03-10,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.16,2.27,2009-03-11,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.38,2.16,2009-03-12,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.42,2.38,2009-03-13,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.49,2.45,2009-03-16,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.64,2.48,2009-03-17,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.73,2.61,2009-03-18,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.71,2.77,2009-03-19,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.52,2.74,2009-03-20,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.9,2.61,2009-03-23,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.77,2.85,2009-03-24,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.73,2.81,2009-03-25,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.98,2.77,2009-03-26,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.78,2.92,2009-03-27,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.63,2.77,2009-03-30,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.78,2.7,2009-03-31,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.89,2.7,2009-04-01,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.99,2.96,2009-04-02,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,3.04,2.99,2009-04-03,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.89,2.98,2009-04-06,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.82,2.89,2009-04-07,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,2.92,2.88,2009-04-08,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,3.03,2.99,2009-04-09,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,3.23,3.01,2009-04-13,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,3.06,3.16,2009-04-14,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,3.2,3.03,2009-04-15,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,3.21,3.22,2009-04-16,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,3.22,3.22,2009-04-17,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,3.03,3.12,2009-04-20,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,3.16,3.03,2009-04-21,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,3.72,3.12,2009-04-22,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,3.9,3.71,2009-04-23,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,3.97,3.92,2009-04-24,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,3.69,3.87,2009-04-27,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,3.65,3.69,2009-04-28,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,3.93,3.66,2009-04-29,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,3.94,3.95,2009-04-30,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,3.95,3.95,2009-05-01,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,4.01,4.0,2009-05-04,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,3.94,4.0,2009-05-05,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,3.98,4.0,2009-05-06,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,3.85,4.04,2009-05-07,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,4.1,3.92,2009-05-08,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,3.99,4.02,2009-05-11,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,4.2,4.05,2009-05-12,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,4.08,4.14,2009-05-13,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,4.0,4.09,2009-05-14,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,3.97,4.0,2009-05-15,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,4.16,4.03,2009-05-18,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,4.29,4.08,2009-05-19,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,4.31,4.34,2009-05-20,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,4.15,4.28,2009-05-21,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,4.23,4.16,2009-05-22,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,4.38,4.17,2009-05-26,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,4.35,4.35,2009-05-27,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,4.47,4.4,2009-05-28,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,4.75,4.46,2009-05-29,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,5.04,4.82,2009-06-01,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,5.13,5.0,2009-06-02,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,5.04,5.06,2009-06-03,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,4.98,5.09,2009-06-04,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,4.96,5.01,2009-06-05,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,4.88,4.96,2009-06-08,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,4.86,4.91,2009-06-09,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,4.68,4.89,2009-06-10,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,4.76,4.7,2009-06-11,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,4.86,4.69,2009-06-12,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,4.9,4.75,2009-06-15,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,4.92,4.97,2009-06-16,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,4.95,4.91,2009-06-17,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,5.02,4.93,2009-06-18,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,5.3,5.06,2009-06-19,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,4.92,5.19,2009-06-22,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,4.9,4.92,2009-06-23,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,4.85,4.91,2009-06-24,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,4.8,4.8,2009-06-25,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,4.9,4.78,2009-06-26,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,4.83,4.9,2009-06-29,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,4.65,4.83,2009-06-30,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,4.7,4.65,2009-07-01,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,4.56,4.61,2009-07-02,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,4.33,4.55,2009-07-06,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,4.2,4.32,2009-07-07,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,4.21,4.21,2009-07-08,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,4.07,4.24,2009-07-09,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,4.0,4.03,2009-07-10,,62210.0,DHX,D H I GROUP INC,7389.0
23331S10,4.22,4.0,2009-07-13,,62210.0,DHX,D H I GROUP INC,7389.0
