cusip,prc,openprc,date,numtrd,htick,hcomnam,hsiccd,numshr
24801910,14.96,14.96,2009-01-02,,DLX,DELUXE CORP,2782.0,428.0
24801910,14.4,14.98,2009-01-05,,DLX,DELUXE CORP,2782.0,428.0
24801910,15.2,14.48,2009-01-06,,DLX,DELUXE CORP,2782.0,428.0
24801910,14.67,14.79,2009-01-07,,DLX,DELUXE CORP,2782.0,428.0
24801910,14.83,14.45,2009-01-08,,DLX,DELUXE CORP,2782.0,428.0
24801910,14.07,14.73,2009-01-09,,DLX,DELUXE CORP,2782.0,428.0
24801910,13.7,14.09,2009-01-12,,DLX,DELUXE CORP,2782.0,428.0
24801910,13.96,13.68,2009-01-13,,DLX,DELUXE CORP,2782.0,428.0
24801910,13.39,13.43,2009-01-14,,DLX,DELUXE CORP,2782.0,428.0
24801910,13.12,13.37,2009-01-15,,DLX,DELUXE CORP,2782.0,428.0
24801910,13.08,13.41,2009-01-16,,DLX,DELUXE CORP,2782.0,428.0
24801910,11.45,13.02,2009-01-20,,DLX,DELUXE CORP,2782.0,428.0
24801910,12.28,11.74,2009-01-21,,DLX,DELUXE CORP,2782.0,428.0
24801910,11.42,11.88,2009-01-22,,DLX,DELUXE CORP,2782.0,428.0
24801910,11.63,11.16,2009-01-23,,DLX,DELUXE CORP,2782.0,428.0
24801910,12.09,11.63,2009-01-26,,DLX,DELUXE CORP,2782.0,428.0
24801910,11.82,11.95,2009-01-27,,DLX,DELUXE CORP,2782.0,428.0
24801910,12.7,12.06,2009-01-28,,DLX,DELUXE CORP,2782.0,428.0
24801910,12.15,12.59,2009-01-29,,DLX,DELUXE CORP,2782.0,428.0
24801910,11.53,12.12,2009-01-30,,DLX,DELUXE CORP,2782.0,428.0
24801910,11.61,11.3,2009-02-02,,DLX,DELUXE CORP,2782.0,428.0
24801910,11.02,11.66,2009-02-03,,DLX,DELUXE CORP,2782.0,428.0
24801910,10.94,11.04,2009-02-04,,DLX,DELUXE CORP,2782.0,428.0
24801910,10.88,10.86,2009-02-05,,DLX,DELUXE CORP,2782.0,428.0
24801910,11.43,10.77,2009-02-06,,DLX,DELUXE CORP,2782.0,428.0
24801910,11.16,11.36,2009-02-09,,DLX,DELUXE CORP,2782.0,428.0
24801910,10.56,11.08,2009-02-10,,DLX,DELUXE CORP,2782.0,428.0
24801910,10.49,10.47,2009-02-11,,DLX,DELUXE CORP,2782.0,428.0
24801910,10.61,10.3,2009-02-12,,DLX,DELUXE CORP,2782.0,428.0
24801910,10.42,10.59,2009-02-13,,DLX,DELUXE CORP,2782.0,428.0
24801910,9.94,10.2,2009-02-17,,DLX,DELUXE CORP,2782.0,428.0
24801910,9.73,10.0,2009-02-18,,DLX,DELUXE CORP,2782.0,428.0
24801910,9.37,10.03,2009-02-19,,DLX,DELUXE CORP,2782.0,428.0
24801910,8.94,9.09,2009-02-20,,DLX,DELUXE CORP,2782.0,428.0
24801910,8.26,9.02,2009-02-23,,DLX,DELUXE CORP,2782.0,428.0
24801910,8.74,8.44,2009-02-24,,DLX,DELUXE CORP,2782.0,428.0
24801910,8.23,8.84,2009-02-25,,DLX,DELUXE CORP,2782.0,428.0
24801910,7.8,8.38,2009-02-26,,DLX,DELUXE CORP,2782.0,428.0
24801910,7.72,7.56,2009-02-27,,DLX,DELUXE CORP,2782.0,428.0
24801910,7.36,7.54,2009-03-02,,DLX,DELUXE CORP,2782.0,428.0
24801910,7.27,7.43,2009-03-03,,DLX,DELUXE CORP,2782.0,428.0
24801910,7.54,7.55,2009-03-04,,DLX,DELUXE CORP,2782.0,428.0
24801910,6.46,7.42,2009-03-05,,DLX,DELUXE CORP,2782.0,428.0
24801910,6.47,6.53,2009-03-06,,DLX,DELUXE CORP,2782.0,428.0
24801910,6.23,6.39,2009-03-09,,DLX,DELUXE CORP,2782.0,428.0
24801910,7.27,6.45,2009-03-10,,DLX,DELUXE CORP,2782.0,428.0
24801910,7.21,7.33,2009-03-11,,DLX,DELUXE CORP,2782.0,428.0
24801910,7.76,7.24,2009-03-12,,DLX,DELUXE CORP,2782.0,428.0
