cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
31982910,12.3,12.39,2009-01-02,FCF,FIRST COMMONWEALTH FINANCIAL COR,6021.0,374.0
31982910,12.09,12.23,2009-01-05,FCF,FIRST COMMONWEALTH FINANCIAL COR,6021.0,374.0
31982910,12.24,12.17,2009-01-06,FCF,FIRST COMMONWEALTH FINANCIAL COR,6021.0,374.0
31982910,12.1,12.0,2009-01-07,FCF,FIRST COMMONWEALTH FINANCIAL COR,6021.0,374.0
31982910,12.1,12.0,2009-01-08,FCF,FIRST COMMONWEALTH FINANCIAL COR,6021.0,374.0
31982910,11.32,12.04,2009-01-09,FCF,FIRST COMMONWEALTH FINANCIAL COR,6021.0,374.0
31982910,10.94,11.08,2009-01-12,FCF,FIRST COMMONWEALTH FINANCIAL COR,6021.0,374.0
31982910,11.07,10.87,2009-01-13,FCF,FIRST COMMONWEALTH FINANCIAL COR,6021.0,374.0
31982910,10.6,10.79,2009-01-14,FCF,FIRST COMMONWEALTH FINANCIAL COR,6021.0,374.0
31982910,10.17,10.43,2009-01-15,FCF,FIRST COMMONWEALTH FINANCIAL COR,6021.0,374.0
31982910,10.07,10.27,2009-01-16,FCF,FIRST COMMONWEALTH FINANCIAL COR,6021.0,374.0
31982910,9.22,9.89,2009-01-20,FCF,FIRST COMMONWEALTH FINANCIAL COR,6021.0,374.0
31982910,9.73,9.38,2009-01-21,FCF,FIRST COMMONWEALTH FINANCIAL COR,6021.0,374.0
31982910,9.01,9.47,2009-01-22,FCF,FIRST COMMONWEALTH FINANCIAL COR,6021.0,374.0
31982910,9.27,8.75,2009-01-23,FCF,FIRST COMMONWEALTH FINANCIAL COR,6021.0,374.0
31982910,9.77,9.32,2009-01-26,FCF,FIRST COMMONWEALTH FINANCIAL COR,6021.0,374.0
31982910,10.0,9.93,2009-01-27,FCF,FIRST COMMONWEALTH FINANCIAL COR,6021.0,374.0
31982910,10.35,10.35,2009-01-28,FCF,FIRST COMMONWEALTH FINANCIAL COR,6021.0,374.0
31982910,9.9,10.17,2009-01-29,FCF,FIRST COMMONWEALTH FINANCIAL COR,6021.0,374.0
31982910,9.59,10.04,2009-01-30,FCF,FIRST COMMONWEALTH FINANCIAL COR,6021.0,374.0
31982910,9.83,9.54,2009-02-02,FCF,FIRST COMMONWEALTH FINANCIAL COR,6021.0,374.0
31982910,9.4,9.91,2009-02-03,FCF,FIRST COMMONWEALTH FINANCIAL COR,6021.0,374.0
31982910,9.4,9.43,2009-02-04,FCF,FIRST COMMONWEALTH FINANCIAL COR,6021.0,374.0
31982910,9.53,9.38,2009-02-05,FCF,FIRST COMMONWEALTH FINANCIAL COR,6021.0,374.0
31982910,10.32,9.49,2009-02-06,FCF,FIRST COMMONWEALTH FINANCIAL COR,6021.0,374.0
31982910,10.31,10.32,2009-02-09,FCF,FIRST COMMONWEALTH FINANCIAL COR,6021.0,374.0
31982910,9.73,10.26,2009-02-10,FCF,FIRST COMMONWEALTH FINANCIAL COR,6021.0,374.0
31982910,9.93,9.55,2009-02-11,FCF,FIRST COMMONWEALTH FINANCIAL COR,6021.0,374.0
31982910,9.95,9.78,2009-02-12,FCF,FIRST COMMONWEALTH FINANCIAL COR,6021.0,374.0
31982910,9.51,9.93,2009-02-13,FCF,FIRST COMMONWEALTH FINANCIAL COR,6021.0,374.0
31982910,8.89,9.2,2009-02-17,FCF,FIRST COMMONWEALTH FINANCIAL COR,6021.0,374.0
