cusip,prc,openprc,date,numtrd,htick,hcomnam,hsiccd,numshr
46138K10,138.60001,139.03999,2009-01-02,,FXE,INVESCO CURRENCYSHARES EURO TR,6726.0,226.0
46138K10,135.75999,136.09,2009-01-05,,FXE,INVESCO CURRENCYSHARES EURO TR,6726.0,226.0
46138K10,135.2,134.17999,2009-01-06,,FXE,INVESCO CURRENCYSHARES EURO TR,6726.0,226.0
46138K10,136.31,136.78999,2009-01-07,,FXE,INVESCO CURRENCYSHARES EURO TR,6726.0,226.0
46138K10,137.31,137.57001,2009-01-08,,FXE,INVESCO CURRENCYSHARES EURO TR,6726.0,226.0
46138K10,134.36,135.38,2009-01-09,,FXE,INVESCO CURRENCYSHARES EURO TR,6726.0,226.0
46138K10,133.83,134.06,2009-01-12,,FXE,INVESCO CURRENCYSHARES EURO TR,6726.0,226.0
46138K10,131.98,132.21001,2009-01-13,,FXE,INVESCO CURRENCYSHARES EURO TR,6726.0,226.0
46138K10,131.69,131.2,2009-01-14,,FXE,INVESCO CURRENCYSHARES EURO TR,6726.0,226.0
46138K10,131.71001,131.64,2009-01-15,,FXE,INVESCO CURRENCYSHARES EURO TR,6726.0,226.0
46138K10,133.00999,133.22,2009-01-16,,FXE,INVESCO CURRENCYSHARES EURO TR,6726.0,226.0
46138K10,128.92,129.25,2009-01-20,,FXE,INVESCO CURRENCYSHARES EURO TR,6726.0,226.0
46138K10,130.31,129.55,2009-01-21,,FXE,INVESCO CURRENCYSHARES EURO TR,6726.0,226.0
46138K10,130.19,129.42999,2009-01-22,,FXE,INVESCO CURRENCYSHARES EURO TR,6726.0,226.0
46138K10,129.95,128.77,2009-01-23,,FXE,INVESCO CURRENCYSHARES EURO TR,6726.0,226.0
46138K10,131.87,131.35001,2009-01-26,,FXE,INVESCO CURRENCYSHARES EURO TR,6726.0,226.0
46138K10,132.03999,132.28,2009-01-27,,FXE,INVESCO CURRENCYSHARES EURO TR,6726.0,226.0
46138K10,131.53999,132.89999,2009-01-28,,FXE,INVESCO CURRENCYSHARES EURO TR,6726.0,226.0
46138K10,129.78999,131.46001,2009-01-29,,FXE,INVESCO CURRENCYSHARES EURO TR,6726.0,226.0
46138K10,128.23,129.10001,2009-01-30,,FXE,INVESCO CURRENCYSHARES EURO TR,6726.0,226.0
46138K10,128.42999,127.79,2009-02-02,,FXE,INVESCO CURRENCYSHARES EURO TR,6726.0,226.0
46138K10,130.39,129.37,2009-02-03,,FXE,INVESCO CURRENCYSHARES EURO TR,6726.0,226.0
46138K10,128.52,128.74001,2009-02-04,,FXE,INVESCO CURRENCYSHARES EURO TR,6726.0,226.0
46138K10,127.97,128.02,2009-02-05,,FXE,INVESCO CURRENCYSHARES EURO TR,6726.0,226.0
46138K10,129.25999,128.77,2009-02-06,,FXE,INVESCO CURRENCYSHARES EURO TR,6726.0,226.0
46138K10,130.14999,130.84,2009-02-09,,FXE,INVESCO CURRENCYSHARES EURO TR,6726.0,226.0
46138K10,128.87,129.78,2009-02-10,,FXE,INVESCO CURRENCYSHARES EURO TR,6726.0,226.0
46138K10,128.95,129.46001,2009-02-11,,FXE,INVESCO CURRENCYSHARES EURO TR,6726.0,226.0
