cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
36239Q10,4.74,4.38,2009-01-02,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.72,4.84,2009-01-05,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.74,4.73,2009-01-06,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.66,4.667,2009-01-07,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.688,4.55,2009-01-08,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.5808,4.63,2009-01-09,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.48,4.59,2009-01-12,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.32,4.475,2009-01-13,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.34,4.3,2009-01-14,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.2,4.34,2009-01-15,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.1,4.2,2009-01-16,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.9689,3.85,2009-01-20,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.93,3.9,2009-01-21,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.07,3.82,2009-01-22,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.14,4.05,2009-01-23,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.115,4.08,2009-01-26,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.1,4.05,2009-01-27,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.06,4.192,2009-01-28,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.94,4.0,2009-01-29,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.91,3.975,2009-01-30,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.95,3.88,2009-02-02,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.99,3.98,2009-02-03,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.89,3.96,2009-02-04,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.97,3.79,2009-02-05,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.2,4.0,2009-02-06,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.27,4.25,2009-02-09,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.03,4.17,2009-02-10,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.1,3.98,2009-02-11,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.98,4.02,2009-02-12,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.982,3.95,2009-02-13,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.54,3.75,2009-02-17,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.38,3.57,2009-02-18,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.37,3.44,2009-02-19,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.322,3.293,2009-02-20,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.1,3.32,2009-02-23,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.3,3.11,2009-02-24,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.25,3.24,2009-02-25,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.18,3.28,2009-02-26,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.03,3.13,2009-02-27,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,2.87,2.98,2009-03-02,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,2.73,2.87,2009-03-03,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,2.88,2.83,2009-03-04,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,2.69,2.78,2009-03-05,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,2.6597,2.66,2009-03-06,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,2.51,2.59,2009-03-09,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,2.65,2.54,2009-03-10,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,2.7899,2.7,2009-03-11,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,2.87,2.74,2009-03-12,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.05,2.93,2009-03-13,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.02,3.09,2009-03-16,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.11,3.06,2009-03-17,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.26,3.1,2009-03-18,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.26,3.29,2009-03-19,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.17,3.26,2009-03-20,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.43,3.27,2009-03-23,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.42,3.48,2009-03-24,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.48,3.49,2009-03-25,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.61,3.54,2009-03-26,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.57,3.55,2009-03-27,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.4,3.51,2009-03-30,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.39,3.4,2009-03-31,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.43,3.32,2009-04-01,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.54,3.53,2009-04-02,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.69,3.58,2009-04-03,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.64,3.68,2009-04-06,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.54,3.6299,2009-04-07,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.57,3.57,2009-04-08,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.77,3.66,2009-04-09,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.81,3.77,2009-04-13,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.77,3.8,2009-04-14,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.75,3.75,2009-04-15,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.9,3.78,2009-04-16,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.02,3.92,2009-04-17,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.78,3.96,2009-04-20,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.885,3.7,2009-04-21,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.85,3.86,2009-04-22,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.87,3.8494,2009-04-23,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.97,3.89,2009-04-24,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.9,3.95,2009-04-27,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,3.87,3.78,2009-04-28,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.08,3.95,2009-04-29,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.08,4.16,2009-04-30,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.11,4.09,2009-05-01,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.28,4.18,2009-05-04,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.37,4.3,2009-05-05,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.4601,4.46,2009-05-06,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.39,4.53,2009-05-07,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.54,4.45,2009-05-08,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.52,4.5,2009-05-11,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.59,4.53,2009-05-12,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.37,4.46,2009-05-13,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.36,4.34,2009-05-14,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.25,4.32,2009-05-15,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.43,4.28,2009-05-18,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.5,4.46,2009-05-19,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.46,4.56,2009-05-20,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.4,4.46,2009-05-21,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.4,4.406,2009-05-22,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.56,4.42,2009-05-26,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.48,4.6,2009-05-27,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.48,4.46,2009-05-28,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.59,4.5,2009-05-29,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.71,4.6,2009-06-01,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.76,4.73,2009-06-02,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.62,4.73,2009-06-03,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.75,4.64,2009-06-04,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.72,4.8,2009-06-05,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.73,4.71,2009-06-08,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.73,4.76,2009-06-09,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.74,4.78,2009-06-10,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.71,4.78,2009-06-11,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.71,4.71,2009-06-12,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.6,4.7,2009-06-15,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.5,4.58,2009-06-16,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.47,4.49,2009-06-17,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.5,4.42,2009-06-18,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.55,4.54,2009-06-19,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.35,4.5,2009-06-22,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
36239Q10,4.29,4.33,2009-06-23,GGT,GABELLI MULTIMEDIA TRUST INC,6722.0,355.0
