cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
21935010,10.05,9.6,2009-01-02,GLW,CORNING INC,3229.0,471.0
21935010,10.58,10.15,2009-01-05,GLW,CORNING INC,3229.0,471.0
21935010,11.55,10.69,2009-01-06,GLW,CORNING INC,3229.0,471.0
21935010,11.14,11.34,2009-01-07,GLW,CORNING INC,3229.0,471.0
21935010,11.12,10.89,2009-01-08,GLW,CORNING INC,3229.0,471.0
21935010,10.7,11.14,2009-01-09,GLW,CORNING INC,3229.0,471.0
21935010,9.96,10.8,2009-01-12,GLW,CORNING INC,3229.0,471.0
21935010,9.64,9.5,2009-01-13,GLW,CORNING INC,3229.0,471.0
21935010,9.19,9.28,2009-01-14,GLW,CORNING INC,3229.0,471.0
21935010,9.62,9.18,2009-01-15,GLW,CORNING INC,3229.0,471.0
21935010,9.7,9.85,2009-01-16,GLW,CORNING INC,3229.0,471.0
21935010,9.13,9.65,2009-01-20,GLW,CORNING INC,3229.0,471.0
21935010,9.52,9.36,2009-01-21,GLW,CORNING INC,3229.0,471.0
21935010,9.5,9.32,2009-01-22,GLW,CORNING INC,3229.0,471.0
21935010,10.0,9.2,2009-01-23,GLW,CORNING INC,3229.0,471.0
21935010,9.95,9.98,2009-01-26,GLW,CORNING INC,3229.0,471.0
21935010,9.99,9.33,2009-01-27,GLW,CORNING INC,3229.0,471.0
21935010,10.87,10.16,2009-01-28,GLW,CORNING INC,3229.0,471.0
21935010,10.48,10.75,2009-01-29,GLW,CORNING INC,3229.0,471.0
21935010,10.11,10.56,2009-01-30,GLW,CORNING INC,3229.0,471.0
21935010,10.25,9.93,2009-02-02,GLW,CORNING INC,3229.0,471.0
21935010,10.32,10.42,2009-02-03,GLW,CORNING INC,3229.0,471.0
21935010,10.75,10.4,2009-02-04,GLW,CORNING INC,3229.0,471.0
21935010,10.97,10.57,2009-02-05,GLW,CORNING INC,3229.0,471.0
21935010,11.73,11.15,2009-02-06,GLW,CORNING INC,3229.0,471.0
21935010,11.91,11.93,2009-02-09,GLW,CORNING INC,3229.0,471.0
21935010,11.18,11.68,2009-02-10,GLW,CORNING INC,3229.0,471.0
21935010,11.17,11.27,2009-02-11,GLW,CORNING INC,3229.0,471.0
21935010,11.36,10.8,2009-02-12,GLW,CORNING INC,3229.0,471.0
21935010,11.56,11.31,2009-02-13,GLW,CORNING INC,3229.0,471.0
21935010,10.79,11.25,2009-02-17,GLW,CORNING INC,3229.0,471.0
21935010,10.75,10.86,2009-02-18,GLW,CORNING INC,3229.0,471.0
21935010,10.18,10.84,2009-02-19,GLW,CORNING INC,3229.0,471.0
21935010,9.81,9.67,2009-02-20,GLW,CORNING INC,3229.0,471.0
21935010,9.46,9.8,2009-02-23,GLW,CORNING INC,3229.0,471.0
21935010,10.14,9.53,2009-02-24,GLW,CORNING INC,3229.0,471.0
21935010,10.41,10.07,2009-02-25,GLW,CORNING INC,3229.0,471.0
21935010,10.47,10.55,2009-02-26,GLW,CORNING INC,3229.0,471.0
21935010,10.55,10.28,2009-02-27,GLW,CORNING INC,3229.0,471.0
21935010,9.46,10.33,2009-03-02,GLW,CORNING INC,3229.0,471.0
21935010,9.74,9.54,2009-03-03,GLW,CORNING INC,3229.0,471.0
21935010,10.48,9.16,2009-03-04,GLW,CORNING INC,3229.0,471.0
21935010,10.09,10.25,2009-03-05,GLW,CORNING INC,3229.0,471.0
21935010,10.14,10.17,2009-03-06,GLW,CORNING INC,3229.0,471.0
21935010,9.99,10.02,2009-03-09,GLW,CORNING INC,3229.0,471.0
21935010,11.2,10.21,2009-03-10,GLW,CORNING INC,3229.0,471.0
21935010,11.39,11.22,2009-03-11,GLW,CORNING INC,3229.0,471.0
21935010,11.85,11.34,2009-03-12,GLW,CORNING INC,3229.0,471.0
21935010,11.71,11.93,2009-03-13,GLW,CORNING INC,3229.0,471.0
21935010,11.37,11.79,2009-03-16,GLW,CORNING INC,3229.0,471.0
21935010,12.41,11.36,2009-03-17,GLW,CORNING INC,3229.0,471.0
21935010,12.5,12.3,2009-03-18,GLW,CORNING INC,3229.0,471.0
21935010,12.94,13.25,2009-03-19,GLW,CORNING INC,3229.0,471.0
21935010,12.43,13.0,2009-03-20,GLW,CORNING INC,3229.0,471.0
21935010,12.98,12.94,2009-03-23,GLW,CORNING INC,3229.0,471.0
21935010,13.17,13.02,2009-03-24,GLW,CORNING INC,3229.0,471.0
21935010,13.52,13.35,2009-03-25,GLW,CORNING INC,3229.0,471.0
21935010,14.23,13.68,2009-03-26,GLW,CORNING INC,3229.0,471.0
21935010,13.56,14.02,2009-03-27,GLW,CORNING INC,3229.0,471.0
21935010,12.87,13.23,2009-03-30,GLW,CORNING INC,3229.0,471.0
21935010,13.27,13.03,2009-03-31,GLW,CORNING INC,3229.0,471.0
21935010,14.15,13.26,2009-04-01,GLW,CORNING INC,3229.0,471.0
21935010,15.24,14.53,2009-04-02,GLW,CORNING INC,3229.0,471.0
21935010,15.96,15.2,2009-04-03,GLW,CORNING INC,3229.0,471.0
21935010,15.72,15.81,2009-04-06,GLW,CORNING INC,3229.0,471.0
21935010,14.44,15.05,2009-04-07,GLW,CORNING INC,3229.0,471.0
21935010,14.92,14.7,2009-04-08,GLW,CORNING INC,3229.0,471.0
21935010,15.1,15.45,2009-04-09,GLW,CORNING INC,3229.0,471.0
21935010,14.79,14.78,2009-04-13,GLW,CORNING INC,3229.0,471.0
21935010,14.59,14.85,2009-04-14,GLW,CORNING INC,3229.0,471.0
21935010,14.7,14.63,2009-04-15,GLW,CORNING INC,3229.0,471.0
21935010,15.06,14.82,2009-04-16,GLW,CORNING INC,3229.0,471.0
21935010,15.27,15.2,2009-04-17,GLW,CORNING INC,3229.0,471.0
21935010,14.59,15.03,2009-04-20,GLW,CORNING INC,3229.0,471.0
21935010,15.08,14.39,2009-04-21,GLW,CORNING INC,3229.0,471.0
21935010,14.75,14.93,2009-04-22,GLW,CORNING INC,3229.0,471.0
21935010,15.12,14.95,2009-04-23,GLW,CORNING INC,3229.0,471.0
21935010,15.33,15.2,2009-04-24,GLW,CORNING INC,3229.0,471.0
21935010,15.84,15.69,2009-04-27,GLW,CORNING INC,3229.0,471.0
21935010,14.69,15.49,2009-04-28,GLW,CORNING INC,3229.0,471.0
21935010,14.85,14.85,2009-04-29,GLW,CORNING INC,3229.0,471.0
21935010,14.62,15.29,2009-04-30,GLW,CORNING INC,3229.0,471.0
21935010,14.29,14.92,2009-05-01,GLW,CORNING INC,3229.0,471.0
21935010,14.9,14.53,2009-05-04,GLW,CORNING INC,3229.0,471.0
21935010,15.3,14.81,2009-05-05,GLW,CORNING INC,3229.0,471.0
21935010,15.71,15.54,2009-05-06,GLW,CORNING INC,3229.0,471.0
21935010,14.66,15.81,2009-05-07,GLW,CORNING INC,3229.0,471.0
21935010,14.57,14.82,2009-05-08,GLW,CORNING INC,3229.0,471.0
21935010,14.07,14.37,2009-05-11,GLW,CORNING INC,3229.0,471.0
21935010,13.91,14.25,2009-05-12,GLW,CORNING INC,3229.0,471.0
21935010,13.46,13.69,2009-05-13,GLW,CORNING INC,3229.0,471.0
21935010,14.08,13.47,2009-05-14,GLW,CORNING INC,3229.0,471.0
21935010,13.88,14.17,2009-05-15,GLW,CORNING INC,3229.0,471.0
21935010,14.15,14.01,2009-05-18,GLW,CORNING INC,3229.0,471.0
21935010,14.23,14.27,2009-05-19,GLW,CORNING INC,3229.0,471.0
21935010,14.55,14.5,2009-05-20,GLW,CORNING INC,3229.0,471.0
21935010,14.06,14.39,2009-05-21,GLW,CORNING INC,3229.0,471.0
21935010,14.24,14.21,2009-05-22,GLW,CORNING INC,3229.0,471.0
21935010,14.78,14.1,2009-05-26,GLW,CORNING INC,3229.0,471.0
21935010,14.62,14.78,2009-05-27,GLW,CORNING INC,3229.0,471.0
21935010,14.18,14.99,2009-05-28,GLW,CORNING INC,3229.0,471.0
21935010,14.7,14.3,2009-05-29,GLW,CORNING INC,3229.0,471.0
21935010,15.62,14.94,2009-06-01,GLW,CORNING INC,3229.0,471.0
21935010,15.51,15.61,2009-06-02,GLW,CORNING INC,3229.0,471.0
21935010,15.25,15.39,2009-06-03,GLW,CORNING INC,3229.0,471.0
21935010,15.63,15.29,2009-06-04,GLW,CORNING INC,3229.0,471.0
21935010,15.58,15.945,2009-06-05,GLW,CORNING INC,3229.0,471.0
21935010,15.53,15.53,2009-06-08,GLW,CORNING INC,3229.0,471.0
21935010,16.12,15.65,2009-06-09,GLW,CORNING INC,3229.0,471.0
21935010,16.09,16.42,2009-06-10,GLW,CORNING INC,3229.0,471.0
21935010,15.96,16.11,2009-06-11,GLW,CORNING INC,3229.0,471.0
21935010,15.89,15.82,2009-06-12,GLW,CORNING INC,3229.0,471.0
21935010,15.74,15.56,2009-06-15,GLW,CORNING INC,3229.0,471.0
21935010,15.45,15.79,2009-06-16,GLW,CORNING INC,3229.0,471.0
21935010,15.28,15.49,2009-06-17,GLW,CORNING INC,3229.0,471.0
21935010,15.36,15.33,2009-06-18,GLW,CORNING INC,3229.0,471.0
21935010,15.3,15.4,2009-06-19,GLW,CORNING INC,3229.0,471.0
21935010,15.16,15.2,2009-06-22,GLW,CORNING INC,3229.0,471.0
21935010,15.33,15.23,2009-06-23,GLW,CORNING INC,3229.0,471.0
21935010,15.42,15.3,2009-06-24,GLW,CORNING INC,3229.0,471.0
21935010,16.13,15.3,2009-06-25,GLW,CORNING INC,3229.0,471.0
21935010,16.37,16.06,2009-06-26,GLW,CORNING INC,3229.0,471.0
