cusip,prc,openprc,date,numtrd,shrout,htick,hcomnam,hsiccd
36476010,14.07,13.71,2009-01-02,,706483.0,GPS,GAP INC,5651.0
36476010,13.91,13.94,2009-01-05,,706483.0,GPS,GAP INC,5651.0
36476010,14.24,13.99,2009-01-06,,706483.0,GPS,GAP INC,5651.0
36476010,13.56,13.98,2009-01-07,,706483.0,GPS,GAP INC,5651.0
36476010,12.92,13.47,2009-01-08,,706483.0,GPS,GAP INC,5651.0
36476010,12.99,12.51,2009-01-09,,706483.0,GPS,GAP INC,5651.0
36476010,12.12,12.93,2009-01-12,,706483.0,GPS,GAP INC,5651.0
36476010,12.06,12.34,2009-01-13,,706483.0,GPS,GAP INC,5651.0
36476010,11.5,11.71,2009-01-14,,706483.0,GPS,GAP INC,5651.0
36476010,11.9,11.46,2009-01-15,,706483.0,GPS,GAP INC,5651.0
36476010,12.14,12.18,2009-01-16,,706483.0,GPS,GAP INC,5651.0
36476010,11.55,12.0,2009-01-20,,706483.0,GPS,GAP INC,5651.0
36476010,11.71,11.56,2009-01-21,,706483.0,GPS,GAP INC,5651.0
36476010,12.01,11.52,2009-01-22,,706483.0,GPS,GAP INC,5651.0
36476010,12.0,11.71,2009-01-23,,706483.0,GPS,GAP INC,5651.0
36476010,12.03,12.0,2009-01-26,,706483.0,GPS,GAP INC,5651.0
36476010,11.99,12.05,2009-01-27,,706483.0,GPS,GAP INC,5651.0
36476010,12.56,12.2,2009-01-28,,706483.0,GPS,GAP INC,5651.0
36476010,12.11,12.52,2009-01-29,,706483.0,GPS,GAP INC,5651.0
36476010,11.28,12.26,2009-01-30,,706483.0,GPS,GAP INC,5651.0
36476010,11.25,11.27,2009-02-02,,706483.0,GPS,GAP INC,5651.0
36476010,11.45,11.25,2009-02-03,,706483.0,GPS,GAP INC,5651.0
36476010,10.65,11.52,2009-02-04,,706483.0,GPS,GAP INC,5651.0
36476010,11.28,10.96,2009-02-05,,706483.0,GPS,GAP INC,5651.0
36476010,11.94,11.31,2009-02-06,,706483.0,GPS,GAP INC,5651.0
36476010,11.82,11.98,2009-02-09,,706483.0,GPS,GAP INC,5651.0
36476010,11.5,11.8,2009-02-10,,706483.0,GPS,GAP INC,5651.0
36476010,11.58,11.47,2009-02-11,,706483.0,GPS,GAP INC,5651.0
36476010,11.7,11.41,2009-02-12,,706483.0,GPS,GAP INC,5651.0
36476010,11.62,11.53,2009-02-13,,706483.0,GPS,GAP INC,5651.0
36476010,11.41,11.42,2009-02-17,,706483.0,GPS,GAP INC,5651.0
36476010,11.26,11.47,2009-02-18,,706483.0,GPS,GAP INC,5651.0
36476010,11.56,11.34,2009-02-19,,706483.0,GPS,GAP INC,5651.0
36476010,11.55,11.44,2009-02-20,,706483.0,GPS,GAP INC,5651.0
36476010,11.31,11.7,2009-02-23,,706483.0,GPS,GAP INC,5651.0
36476010,11.8,11.35,2009-02-24,,706483.0,GPS,GAP INC,5651.0
