cusip,prc,openprc,date,numtrd,htick,hcomnam,hsiccd,numshr
39090510,11.25,11.31,2009-01-02,155.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,10.62,11.44,2009-01-05,179.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,10.56,10.71,2009-01-06,245.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,10.5,10.69,2009-01-07,147.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,11.4,10.62,2009-01-08,115.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,10.72,11.7,2009-01-09,167.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,10.74,10.84,2009-01-12,249.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,10.52,10.125,2009-01-13,108.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,10.12,10.35,2009-01-14,310.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,10.47,10.11,2009-01-15,112.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,10.27,10.5,2009-01-16,255.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,9.48,10.14,2009-01-20,138.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,10.58,10.0,2009-01-21,112.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,10.5,10.58,2009-01-22,179.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,10.74,10.5,2009-01-23,41.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,10.85,10.5,2009-01-26,33.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,10.79,10.36,2009-01-27,63.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,10.4,11.09,2009-01-28,72.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,10.42,10.45,2009-01-29,32.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,10.6,10.48,2009-01-30,115.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,10.47,10.5,2009-02-02,40.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,10.79,10.472,2009-02-03,67.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,10.84,10.99,2009-02-04,47.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,10.83,10.73,2009-02-05,101.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,11.48,10.98,2009-02-06,33.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,11.2,11.28,2009-02-09,47.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,11.06,11.15,2009-02-10,74.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,11.41,10.98,2009-02-11,68.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,11.24,11.61,2009-02-12,93.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,11.22,11.22,2009-02-13,52.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,11.19,11.16,2009-02-17,67.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,11.0001,11.2,2009-02-18,90.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,10.92,11.34,2009-02-19,62.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,10.54,10.92,2009-02-20,108.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,10.6,10.5,2009-02-23,117.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,10.85,10.6,2009-02-24,147.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,10.522,11.29,2009-02-25,82.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,11.61,11.21,2009-02-26,234.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,11.59,11.73,2009-02-27,132.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,10.39,11.19,2009-03-02,75.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,10.72,11.24,2009-03-03,99.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,10.6,11.24,2009-03-04,77.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,10.44,10.97,2009-03-05,112.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,9.87,10.5,2009-03-06,243.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,9.34,9.91,2009-03-09,253.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,10.32,9.79,2009-03-10,129.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,9.82,10.49,2009-03-11,57.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,10.85,10.35,2009-03-12,63.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,11.14,10.98,2009-03-13,94.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,10.87,11.16,2009-03-16,122.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,10.92,11.15,2009-03-17,82.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,11.25,11.07,2009-03-18,117.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,11.2,11.44,2009-03-19,80.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,11.1,11.35,2009-03-20,134.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,13.6,11.54,2009-03-23,288.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,13.75,12.87,2009-03-24,318.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,14.96,13.42,2009-03-25,150.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,15.0,15.0,2009-03-26,189.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,13.78,13.52,2009-03-27,167.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,13.8,13.65,2009-03-30,108.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,14.01,13.97,2009-03-31,71.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,14.72,14.28,2009-04-01,232.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,14.75,14.68,2009-04-02,137.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,14.88,14.75,2009-04-03,193.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,14.82,14.77,2009-04-06,64.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,14.58,14.5,2009-04-07,130.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,14.75,14.93,2009-04-08,83.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,15.02,14.95,2009-04-09,139.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,14.95,14.64,2009-04-13,127.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,15.05,15.05,2009-04-14,169.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,15.25,15.12,2009-04-15,87.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,15.26,15.25,2009-04-16,74.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,15.13,15.04,2009-04-17,123.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,14.79,14.75,2009-04-20,84.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,15.19,14.57,2009-04-21,150.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,15.13,14.76,2009-04-22,99.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,15.24,15.13,2009-04-23,28.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,15.25,15.15,2009-04-24,50.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,15.18,15.21,2009-04-27,90.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,15.54,15.21,2009-04-28,262.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,15.99,15.55,2009-04-29,104.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,16.49,15.97,2009-04-30,149.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,16.3,16.35,2009-05-01,144.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,17.28,16.3,2009-05-04,297.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,19.36,16.91,2009-05-05,509.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,18.94,18.91,2009-05-06,410.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,19.5,19.17,2009-05-07,118.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,19.515,19.51,2009-05-08,156.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,19.36,19.45,2009-05-11,154.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,19.72,19.47,2009-05-12,449.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,19.36,19.05,2009-05-13,141.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,19.85,19.57,2009-05-14,213.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,19.89,19.085,2009-05-15,226.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,21.95,19.9,2009-05-18,283.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,21.55,21.5,2009-05-19,462.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,21.43,21.37,2009-05-20,370.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,21.64,20.88,2009-05-21,308.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,21.47,20.8367,2009-05-22,313.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,22.89,21.61,2009-05-26,673.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,22.39,22.8,2009-05-27,528.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,22.13,22.75,2009-05-28,319.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,21.91,22.31,2009-05-29,258.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,21.82,21.65,2009-06-01,264.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,21.74,21.79,2009-06-02,591.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,21.895,21.9,2009-06-03,330.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,21.85,22.0,2009-06-04,155.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,21.76,21.78,2009-06-05,186.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,21.45,21.64,2009-06-08,145.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,19.2,21.44,2009-06-09,948.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,20.37,19.37,2009-06-10,670.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,20.68,20.65,2009-06-11,455.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,19.77,20.74,2009-06-12,610.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,19.03,19.74,2009-06-15,863.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,19.61,19.03,2009-06-16,260.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,19.0,19.85,2009-06-17,708.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,19.5,19.83,2009-06-18,471.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,19.44,19.5,2009-06-19,534.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,18.55,19.35,2009-06-22,584.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,18.67,18.89,2009-06-23,479.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,19.18,18.71,2009-06-24,906.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,19.48,19.22,2009-06-25,1033.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,20.87,19.42,2009-06-26,2593.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,20.23,20.7,2009-06-29,1055.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,20.55,20.25,2009-06-30,500.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,20.81,20.87,2009-07-01,621.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,21.0,20.31,2009-07-02,629.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,20.71,20.56,2009-07-06,749.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,19.5,20.82,2009-07-07,762.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,19.55,19.84,2009-07-08,456.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,19.48,19.72,2009-07-09,206.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,19.35,19.49,2009-07-10,387.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,19.77,19.5,2009-07-13,373.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,19.66,19.99,2009-07-14,471.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,20.24,19.78,2009-07-15,539.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,20.59,20.22,2009-07-16,368.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,19.8,20.65,2009-07-17,311.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,20.01,19.94,2009-07-20,345.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,19.07,20.03,2009-07-21,393.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,19.66,19.04,2009-07-22,484.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,20.6,19.55,2009-07-23,599.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,20.42,20.51,2009-07-24,268.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,20.79,20.5,2009-07-27,373.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,21.21,20.62,2009-07-28,459.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,21.28,21.24,2009-07-29,338.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,21.5,21.35,2009-07-30,380.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,21.0,21.37,2009-07-31,498.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,21.06,21.05,2009-08-03,528.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,20.99,20.88,2009-08-04,540.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,21.5,21.06,2009-08-05,436.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,20.71,21.2,2009-08-06,214.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,21.26,21.14,2009-08-07,373.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,21.3,21.05,2009-08-10,224.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,20.94,21.2,2009-08-11,277.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,21.51,20.89,2009-08-12,297.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,21.53,21.6,2009-08-13,423.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,21.3,21.5,2009-08-14,402.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,21.23,21.13,2009-08-17,359.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,21.37,21.52,2009-08-18,263.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,21.25,21.02,2009-08-19,300.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,21.99,21.26,2009-08-20,358.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,22.13,22.0,2009-08-21,445.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,21.7,22.225,2009-08-24,312.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,21.97,22.1,2009-08-25,168.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,22.09,21.3,2009-08-26,232.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,21.68,22.25,2009-08-27,221.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,21.46,21.86,2009-08-28,247.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,21.05,21.42,2009-08-31,282.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,20.34,20.89,2009-09-01,460.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,20.09,20.25,2009-09-02,129.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,20.83,20.19,2009-09-03,162.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,21.4,20.86,2009-09-04,204.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,22.41,21.7,2009-09-08,304.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,22.49,22.03,2009-09-09,191.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,22.39,22.41,2009-09-10,204.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,22.32,22.51,2009-09-11,194.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,22.62,22.13,2009-09-14,231.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,22.64,22.52,2009-09-15,195.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,23.58,22.55,2009-09-16,533.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,22.99,23.6,2009-09-17,357.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,23.7,23.16,2009-09-18,268.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,23.12,23.7,2009-09-21,228.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,23.5,23.32,2009-09-22,186.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,23.24,23.4,2009-09-23,167.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,23.08,23.38,2009-09-24,225.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,23.64,23.1,2009-09-25,224.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,23.65,23.61,2009-09-28,213.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,23.47,23.7,2009-09-29,176.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,23.71,23.264,2009-09-30,453.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
39090510,23.43,23.56,2009-10-01,310.0,GSBC,GREAT SOUTHERN BANCORP INC,6030.0,253.0
