cusip,prc,openprc,date,numtrd,shrout,htick,hcomnam,hsiccd
38214087,-1.37,,2009-01-02,1,3899.0,GTIM,GOOD TIMES RESTAURANTS INC,5812.0
38214087,1.573,1.43,2009-01-05,1,3899.0,GTIM,GOOD TIMES RESTAURANTS INC,5812.0
38214087,-1.37,,2009-01-06,0,3899.0,GTIM,GOOD TIMES RESTAURANTS INC,5812.0
38214087,-1.37,,2009-01-07,0,3899.0,GTIM,GOOD TIMES RESTAURANTS INC,5812.0
38214087,-1.37,,2009-01-08,0,3899.0,GTIM,GOOD TIMES RESTAURANTS INC,5812.0
38214087,-1.29,,2009-01-09,0,3899.0,GTIM,GOOD TIMES RESTAURANTS INC,5812.0
38214087,-1.37,,2009-01-12,0,3899.0,GTIM,GOOD TIMES RESTAURANTS INC,5812.0
38214087,-1.37,,2009-01-13,0,3899.0,GTIM,GOOD TIMES RESTAURANTS INC,5812.0
38214087,-1.37,,2009-01-14,0,3899.0,GTIM,GOOD TIMES RESTAURANTS INC,5812.0
38214087,-1.37,,2009-01-15,0,3899.0,GTIM,GOOD TIMES RESTAURANTS INC,5812.0
38214087,-1.37,,2009-01-16,0,3899.0,GTIM,GOOD TIMES RESTAURANTS INC,5812.0
38214087,-1.37,,2009-01-20,0,3899.0,GTIM,GOOD TIMES RESTAURANTS INC,5812.0
38214087,1.05,1.3,2009-01-21,4,3899.0,GTIM,GOOD TIMES RESTAURANTS INC,5812.0
38214087,-1.32,,2009-01-22,0,3899.0,GTIM,GOOD TIMES RESTAURANTS INC,5812.0
38214087,-3.21,,2009-01-23,0,3899.0,GTIM,GOOD TIMES RESTAURANTS INC,5812.0
38214087,-1.27,,2009-01-26,0,3899.0,GTIM,GOOD TIMES RESTAURANTS INC,5812.0
38214087,1.2,1.2,2009-01-27,4,3899.0,GTIM,GOOD TIMES RESTAURANTS INC,5812.0
38214087,1.232,1.2,2009-01-28,4,3899.0,GTIM,GOOD TIMES RESTAURANTS INC,5812.0
38214087,-1.17,,2009-01-29,1,3899.0,GTIM,GOOD TIMES RESTAURANTS INC,5812.0
38214087,-1.105,,2009-01-30,0,3899.0,GTIM,GOOD TIMES RESTAURANTS INC,5812.0
38214087,1.05,1.05,2009-02-02,2,3899.0,GTIM,GOOD TIMES RESTAURANTS INC,5812.0
38214087,1.08,1.08,2009-02-03,1,3899.0,GTIM,GOOD TIMES RESTAURANTS INC,5812.0
38214087,-1.14,,2009-02-04,0,3899.0,GTIM,GOOD TIMES RESTAURANTS INC,5812.0
38214087,-1.14,,2009-02-05,0,3899.0,GTIM,GOOD TIMES RESTAURANTS INC,5812.0
38214087,-1.14,,2009-02-06,0,3899.0,GTIM,GOOD TIMES RESTAURANTS INC,5812.0
38214087,1.19,1.19,2009-02-09,1,3899.0,GTIM,GOOD TIMES RESTAURANTS INC,5812.0
38214087,1.1952,1.19,2009-02-10,2,3899.0,GTIM,GOOD TIMES RESTAURANTS INC,5812.0
38214087,-1.14,,2009-02-11,0,3899.0,GTIM,GOOD TIMES RESTAURANTS INC,5812.0
