cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
45866F10,84.57,82.21,2009-01-02,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,73.0,80.42,2009-01-05,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,62.59,70.95,2009-01-06,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,64.08,61.22,2009-01-07,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,64.8,63.23,2009-01-08,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,63.88,64.75,2009-01-09,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,61.25,63.51,2009-01-12,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,61.83,60.5,2009-01-13,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,58.99,59.82,2009-01-14,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,57.41,59.14,2009-01-15,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,57.66,59.25,2009-01-16,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,50.92,57.63,2009-01-20,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,55.44,52.01,2009-01-21,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,53.13,53.7,2009-01-22,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,56.63,52.0,2009-01-23,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,55.78,57.3,2009-01-26,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,58.16,56.5,2009-01-27,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,61.82,60.7,2009-01-28,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,57.96,60.06,2009-01-29,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,56.93,59.05,2009-01-30,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,54.95,55.57,2009-02-02,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,58.91,55.57,2009-02-03,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,59.18,59.49,2009-02-04,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,61.42,58.15,2009-02-05,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,63.47,61.86,2009-02-06,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,62.26,62.91,2009-02-09,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,61.44,59.61,2009-02-10,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,62.86,62.6,2009-02-11,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,61.98,60.93,2009-02-12,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,63.12,61.16,2009-02-13,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,58.33,60.36,2009-02-17,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,58.14,59.4,2009-02-18,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,56.48,59.16,2009-02-19,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,58.04,55.22,2009-02-20,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,53.78,59.31,2009-02-23,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,56.66,54.41,2009-02-24,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,58.81,56.28,2009-02-25,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,59.0,60.2,2009-02-26,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,56.77,57.77,2009-02-27,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,52.81,55.99,2009-03-02,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,54.61,53.96,2009-03-03,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,57.37,56.26,2009-03-04,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,58.01,58.52,2009-03-05,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,60.39,58.87,2009-03-06,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
45866F10,61.08,60.32,2009-03-09,ICE,INTERCONTINENTALEXCHANGE GRP INC,6231.0,222.0
