cusip,prc,openprc,date,numtrd,htick,hcomnam,hsiccd,numshr
46428753,17.42,16.93,2009-01-02,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,17.54,17.38,2009-01-05,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,18.36,17.8,2009-01-06,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,18.04,18.21,2009-01-07,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,18.25,18.02,2009-01-08,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,17.74,17.63,2009-01-09,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,17.29,17.57,2009-01-12,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,17.16,17.2,2009-01-13,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,16.4,16.95,2009-01-14,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,16.89,16.41,2009-01-15,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,16.98,17.15,2009-01-16,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,16.2,16.95,2009-01-20,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,17.15,16.42,2009-01-21,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,16.95,16.79,2009-01-22,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,17.36,16.53,2009-01-23,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,17.39,17.36,2009-01-26,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,17.81,17.68,2009-01-27,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,18.24,17.95,2009-01-28,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,17.56,17.93,2009-01-29,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,16.99,17.66,2009-01-30,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,17.01,16.68,2009-02-02,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,16.88,17.0,2009-02-03,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,16.9,16.93,2009-02-04,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,17.27,16.65,2009-02-05,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,17.85,17.7,2009-02-06,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,17.87,17.92,2009-02-09,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,17.18,17.83,2009-02-10,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,16.87,17.0,2009-02-11,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,17.07,16.79,2009-02-12,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,17.11,17.14,2009-02-13,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,16.37,16.72,2009-02-17,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,16.12,16.41,2009-02-18,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,15.79,16.22,2009-02-19,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,15.43,15.43,2009-02-20,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,14.95,15.54,2009-02-23,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,15.68,14.99,2009-02-24,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,15.65,15.55,2009-02-25,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,15.36,15.75,2009-02-26,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,15.2,15.03,2009-02-27,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,14.49,14.96,2009-03-02,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,14.4,14.56,2009-03-03,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,14.94,14.4,2009-03-04,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,14.31,14.74,2009-03-05,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,14.1,14.33,2009-03-06,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,13.9032,13.99,2009-03-09,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,14.71,14.04,2009-03-10,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,15.03,15.03,2009-03-11,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,15.71,14.86,2009-03-12,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,15.66,15.71,2009-03-13,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,15.36,15.83,2009-03-16,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,16.09,15.43,2009-03-17,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,16.51,16.05,2009-03-18,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,16.51,16.7008,2009-03-19,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,16.04,16.51,2009-03-20,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,16.88,16.36,2009-03-23,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,16.64,16.73,2009-03-24,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,16.74,16.76,2009-03-25,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,17.63,16.97,2009-03-26,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,17.35,17.41,2009-03-27,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,16.72,16.97,2009-03-30,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,16.87,16.88,2009-03-31,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,17.6,17.09,2009-04-01,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,18.56,17.99,2009-04-02,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,19.21,18.89,2009-04-03,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,18.98,18.77,2009-04-06,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,18.2572,18.58,2009-04-07,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,18.99,18.68,2009-04-08,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,19.8,19.49,2009-04-09,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,19.59,19.79,2009-04-13,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,19.33,19.5,2009-04-14,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,19.52,19.19,2009-04-15,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,20.2,19.75,2009-04-16,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,20.48,20.35,2009-04-17,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,19.7,20.27,2009-04-20,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,20.21,19.51,2009-04-21,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,20.33,20.12,2009-04-22,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,20.43,20.5,2009-04-23,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,21.31,20.8,2009-04-24,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,21.3,21.38,2009-04-27,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,21.21,21.28,2009-04-28,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,21.73,21.44,2009-04-29,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,21.84,22.04,2009-04-30,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,22.01,21.85,2009-05-01,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,22.49,22.24,2009-05-04,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,22.52,22.54,2009-05-05,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,22.73,22.76,2009-05-06,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,21.86,22.97,2009-05-07,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,22.12,22.06,2009-05-08,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,21.74,21.88,2009-05-11,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,21.47,22.02,2009-05-12,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,20.68,21.36,2009-05-13,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,21.14,20.68,2009-05-14,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,21.26,21.22,2009-05-15,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,21.9828,21.52,2009-05-18,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,22.24,21.94,2009-05-19,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,22.25,22.4,2009-05-20,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,21.87,22.12,2009-05-21,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,21.95,22.05,2009-05-22,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,22.73,21.9,2009-05-26,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,22.5,22.58,2009-05-27,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,22.76,22.79,2009-05-28,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,23.03,22.83,2009-05-29,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,24.0,23.28,2009-06-01,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,24.0,23.9,2009-06-02,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,23.58,23.8,2009-06-03,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,24.2,23.77,2009-06-04,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,24.21,24.51,2009-06-05,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,24.13,24.14,2009-06-08,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,24.52,24.35,2009-06-09,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,24.33,24.86,2009-06-10,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,24.67,24.26,2009-06-11,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,24.49,24.52,2009-06-12,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,23.81,24.09,2009-06-15,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,23.4,23.96,2009-06-16,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,23.41,23.45,2009-06-17,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,23.27,23.33,2009-06-18,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,23.2804,23.4,2009-06-19,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,22.3495,23.0,2009-06-22,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,22.5301,22.45,2009-06-23,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,23.0,22.67,2009-06-24,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,23.36,22.85,2009-06-25,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,23.62,23.42,2009-06-26,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,23.76,23.7,2009-06-29,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,23.65,23.88,2009-06-30,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,23.86,23.71,2009-07-01,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,23.26,23.66,2009-07-02,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,22.9801,23.07,2009-07-06,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,22.43,22.99,2009-07-07,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,22.18,22.53,2009-07-08,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,22.21,22.17,2009-07-09,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,22.23,22.09,2009-07-10,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,22.49,22.17,2009-07-13,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,22.72,22.53,2009-07-14,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,23.73,23.16,2009-07-15,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,24.0669,23.63,2009-07-16,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,24.2399,24.08,2009-07-17,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,24.41,24.34,2009-07-20,,IDGT,ISHARES TRUST,6726.0,282.0
46428753,24.4897,24.49,2009-07-21,,IDGT,ISHARES TRUST,6726.0,282.0
