cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
46428863,97.59,96.5,2009-01-02,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,98.53,96.83,2009-01-05,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,98.77,97.29,2009-01-06,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,96.04,97.82,2009-01-07,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,97.558,96.87,2009-01-08,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,98.3,97.69,2009-01-09,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,98.77,98.0,2009-01-12,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,99.14,98.48,2009-01-13,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,98.86,99.01,2009-01-14,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,99.1,99.34,2009-01-15,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,99.0,98.36,2009-01-16,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,98.467,98.01,2009-01-20,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,97.38,98.18,2009-01-21,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,97.85,98.15,2009-01-22,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,98.05,97.75,2009-01-23,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,97.5,97.88,2009-01-26,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,98.15,97.67,2009-01-27,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,98.39,98.42,2009-01-28,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,98.04,98.11,2009-01-29,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,98.12,98.04,2009-01-30,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,98.18,97.5,2009-02-02,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,97.53,97.56,2009-02-03,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,97.57,97.2,2009-02-04,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,97.22,97.18,2009-02-05,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,97.0,97.09,2009-02-06,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,96.54,96.86,2009-02-09,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,96.5,96.65,2009-02-10,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,97.05,96.84,2009-02-11,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,97.87,96.95,2009-02-12,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,97.25,97.49,2009-02-13,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,97.11,97.6,2009-02-17,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,97.34,97.14,2009-02-18,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,96.81,96.81,2009-02-19,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,96.6,96.62,2009-02-20,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,95.88,96.23,2009-02-23,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,95.776,96.29,2009-02-24,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,94.4,96.07,2009-02-25,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,95.25,94.69,2009-02-26,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,95.3799,95.21,2009-02-27,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,94.105,94.52,2009-03-02,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,94.09,94.17,2009-03-03,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,93.69,93.84,2009-03-04,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,93.3,93.49,2009-03-05,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,93.57,92.92,2009-03-06,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,93.24,93.26,2009-03-09,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,93.17,92.74,2009-03-10,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,93.24,93.01,2009-03-11,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,93.4,92.97,2009-03-12,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,93.53,93.25,2009-03-13,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,93.25,93.08,2009-03-16,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,92.72,93.18,2009-03-17,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,94.2,93.09,2009-03-18,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,94.53,95.21,2009-03-19,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,93.19,94.38,2009-03-20,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,94.112,94.33,2009-03-23,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,93.25,93.62,2009-03-24,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,93.15,93.63,2009-03-25,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,93.58,93.29,2009-03-26,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,93.9,93.98,2009-03-27,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,94.02,93.95,2009-03-30,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,94.1462,93.78,2009-03-31,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,93.95,93.99,2009-04-01,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,93.76,93.66,2009-04-02,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,93.69,93.79,2009-04-03,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,93.5232,93.77,2009-04-06,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,93.58,93.68,2009-04-07,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,94.11,93.93,2009-04-08,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,93.62,94.06,2009-04-09,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,95.11,94.38,2009-04-13,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,94.84,94.99,2009-04-14,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,95.32,94.97,2009-04-15,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,95.31,95.29,2009-04-16,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,95.0,95.56,2009-04-17,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,95.54,95.58,2009-04-20,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,95.3,95.74,2009-04-21,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,95.34,95.57,2009-04-22,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,95.58,95.58,2009-04-23,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,95.85,95.75,2009-04-24,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,95.74,95.46,2009-04-27,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,95.62,95.6,2009-04-28,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,95.71,95.88,2009-04-29,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,95.75,95.85,2009-04-30,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,95.7,95.31,2009-05-01,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,95.8399,95.71,2009-05-04,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,96.14,95.83,2009-05-05,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,96.6,96.26,2009-05-06,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,96.54,96.85,2009-05-07,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,96.23,97.13,2009-05-08,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,97.05,96.84,2009-05-11,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,97.42,96.62,2009-05-12,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,97.67,97.48,2009-05-13,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,97.67,97.42,2009-05-14,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,97.39,97.24,2009-05-15,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,97.03,97.55,2009-05-18,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,97.4,97.33,2009-05-19,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,97.88,97.5,2009-05-20,IGIB,ISHARES TRUST,6726.0,1158.0
46428863,97.37,97.84,2009-05-21,IGIB,ISHARES TRUST,6726.0,1158.0
