cusip,prc,openprc,date,numtrd,htick,hcomnam,hsiccd,numshr
46428754,34.9,33.57,2009-01-02,,IGM,ISHARES TRUST,6726.0,284.0
46428754,34.88,34.54,2009-01-05,,IGM,ISHARES TRUST,6726.0,284.0
46428754,36.01,35.2,2009-01-06,,IGM,ISHARES TRUST,6726.0,284.0
46428754,34.89,35.26,2009-01-07,,IGM,ISHARES TRUST,6726.0,284.0
46428754,35.1,34.67,2009-01-08,,IGM,ISHARES TRUST,6726.0,284.0
46428754,34.28,35.01,2009-01-09,,IGM,ISHARES TRUST,6726.0,284.0
46428754,33.7,34.31,2009-01-12,,IGM,ISHARES TRUST,6726.0,284.0
46428754,33.62,33.6,2009-01-13,,IGM,ISHARES TRUST,6726.0,284.0
46428754,32.48,33.19,2009-01-14,,IGM,ISHARES TRUST,6726.0,284.0
46428754,32.77,32.36,2009-01-15,,IGM,ISHARES TRUST,6726.0,284.0
46428754,33.14,33.25,2009-01-16,,IGM,ISHARES TRUST,6726.0,284.0
46428754,31.35,32.97,2009-01-20,,IGM,ISHARES TRUST,6726.0,284.0
46428754,32.9,31.98,2009-01-21,,IGM,ISHARES TRUST,6726.0,284.0
46428754,32.35,32.1,2009-01-22,,IGM,ISHARES TRUST,6726.0,284.0
46428754,32.97,31.83,2009-01-23,,IGM,ISHARES TRUST,6726.0,284.0
46428754,33.09,32.91,2009-01-26,,IGM,ISHARES TRUST,6726.0,284.0
46428754,33.54,33.1,2009-01-27,,IGM,ISHARES TRUST,6726.0,284.0
46428754,34.65,34.23,2009-01-28,,IGM,ISHARES TRUST,6726.0,284.0
46428754,33.55,34.25,2009-01-29,,IGM,ISHARES TRUST,6726.0,284.0
46428754,32.81,33.81,2009-01-30,,IGM,ISHARES TRUST,6726.0,284.0
46428754,33.13,32.42,2009-02-02,,IGM,ISHARES TRUST,6726.0,284.0
46428754,33.67,33.21,2009-02-03,,IGM,ISHARES TRUST,6726.0,284.0
46428754,33.86,33.86,2009-02-04,,IGM,ISHARES TRUST,6726.0,284.0
46428754,34.59,33.52,2009-02-05,,IGM,ISHARES TRUST,6726.0,284.0
