cusip,prc,openprc,date,numtrd,shrout,htick,hcomnam,hsiccd
45774W10,11.92,11.31,2009-01-02,1066.0,17511.0,IIIN,INSTEEL INDUSTRIES INC,3272.0
45774W10,12.06,12.11,2009-01-05,915.0,17511.0,IIIN,INSTEEL INDUSTRIES INC,3272.0
45774W10,12.09,12.22,2009-01-06,2082.0,17511.0,IIIN,INSTEEL INDUSTRIES INC,3272.0
45774W10,12.05,11.89,2009-01-07,1703.0,17511.0,IIIN,INSTEEL INDUSTRIES INC,3272.0
45774W10,12.2,11.98,2009-01-08,1569.0,17511.0,IIIN,INSTEEL INDUSTRIES INC,3272.0
45774W10,11.82,12.26,2009-01-09,1015.0,17511.0,IIIN,INSTEEL INDUSTRIES INC,3272.0
45774W10,10.87,11.83,2009-01-12,1566.0,17511.0,IIIN,INSTEEL INDUSTRIES INC,3272.0
45774W10,11.59,11.3,2009-01-13,2123.0,17511.0,IIIN,INSTEEL INDUSTRIES INC,3272.0
45774W10,10.43,11.42,2009-01-14,2496.0,17511.0,IIIN,INSTEEL INDUSTRIES INC,3272.0
45774W10,10.23,10.43,2009-01-15,1274.0,17511.0,IIIN,INSTEEL INDUSTRIES INC,3272.0
45774W10,9.73,10.32,2009-01-16,2156.0,17515.0,IIIN,INSTEEL INDUSTRIES INC,3272.0
45774W10,8.65,9.73,2009-01-20,3183.0,17515.0,IIIN,INSTEEL INDUSTRIES INC,3272.0
45774W10,8.14,8.71,2009-01-21,3053.0,17515.0,IIIN,INSTEEL INDUSTRIES INC,3272.0
45774W10,8.04,8.05,2009-01-22,1836.0,17515.0,IIIN,INSTEEL INDUSTRIES INC,3272.0
45774W10,8.03,8.15,2009-01-23,1923.0,17515.0,IIIN,INSTEEL INDUSTRIES INC,3272.0
45774W10,7.94,8.12,2009-01-26,2036.0,17515.0,IIIN,INSTEEL INDUSTRIES INC,3272.0
45774W10,7.74,7.92,2009-01-27,1521.0,17515.0,IIIN,INSTEEL INDUSTRIES INC,3272.0
45774W10,8.05,7.85,2009-01-28,1421.0,17515.0,IIIN,INSTEEL INDUSTRIES INC,3272.0
45774W10,7.52,7.96,2009-01-29,1739.0,17515.0,IIIN,INSTEEL INDUSTRIES INC,3272.0
45774W10,7.7,7.67,2009-01-30,1508.0,17515.0,IIIN,INSTEEL INDUSTRIES INC,3272.0
45774W10,7.75,7.53,2009-02-02,1279.0,17515.0,IIIN,INSTEEL INDUSTRIES INC,3272.0
45774W10,7.61,7.8,2009-02-03,2064.0,17515.0,IIIN,INSTEEL INDUSTRIES INC,3272.0
45774W10,7.69,7.65,2009-02-04,1320.0,17515.0,IIIN,INSTEEL INDUSTRIES INC,3272.0
45774W10,7.97,7.66,2009-02-05,1509.0,17515.0,IIIN,INSTEEL INDUSTRIES INC,3272.0
45774W10,8.28,8.01,2009-02-06,1358.0,17515.0,IIIN,INSTEEL INDUSTRIES INC,3272.0
45774W10,7.95,8.22,2009-02-09,1092.0,17515.0,IIIN,INSTEEL INDUSTRIES INC,3272.0
45774W10,7.55,7.87,2009-02-10,1179.0,17515.0,IIIN,INSTEEL INDUSTRIES INC,3272.0
45774W10,7.51,7.61,2009-02-11,1413.0,17515.0,IIIN,INSTEEL INDUSTRIES INC,3272.0
45774W10,7.76,7.5,2009-02-12,1684.0,17515.0,IIIN,INSTEEL INDUSTRIES INC,3272.0
