cusip,prc,openprc,date,numtrd,shrout,htick,hcomnam,hsiccd
46428739,26.81,25.72,2009-01-02,,45000.0,ILF,ISHARES TRUST,6726.0
46428739,27.74,26.76,2009-01-05,,45000.0,ILF,ISHARES TRUST,6726.0
46428739,28.9,28.69,2009-01-06,,45000.0,ILF,ISHARES TRUST,6726.0
46428739,26.91,28.15,2009-01-07,,45000.0,ILF,ISHARES TRUST,6726.0
46428739,27.16,26.63,2009-01-08,,45000.0,ILF,ISHARES TRUST,6726.0
46428739,26.88,27.49,2009-01-09,,45000.0,ILF,ISHARES TRUST,6726.0
46428739,25.74,26.61,2009-01-12,,45000.0,ILF,ISHARES TRUST,6726.0
46428739,25.76,25.42,2009-01-13,,45000.0,ILF,ISHARES TRUST,6726.0
46428739,24.26,25.06,2009-01-14,,45000.0,ILF,ISHARES TRUST,6726.0
46428739,24.96,24.56,2009-01-15,,45000.0,ILF,ISHARES TRUST,6726.0
46428739,25.19,25.51,2009-01-16,,45000.0,ILF,ISHARES TRUST,6726.0
46428739,23.36,24.71,2009-01-20,,45000.0,ILF,ISHARES TRUST,6726.0
46428739,24.95,23.86,2009-01-21,,45000.0,ILF,ISHARES TRUST,6726.0
46428739,24.14,24.11,2009-01-22,,45000.0,ILF,ISHARES TRUST,6726.0
46428739,24.62,23.3,2009-01-23,,45000.0,ILF,ISHARES TRUST,6726.0
46428739,24.49,24.48,2009-01-26,,45000.0,ILF,ISHARES TRUST,6726.0
46428739,24.86,25.15,2009-01-27,,45000.0,ILF,ISHARES TRUST,6726.0
46428739,26.3,25.48,2009-01-28,,45000.0,ILF,ISHARES TRUST,6726.0
46428739,25.25,25.91,2009-01-29,,45000.0,ILF,ISHARES TRUST,6726.0
46428739,24.99,25.58,2009-01-30,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,24.7,24.5,2009-02-02,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,25.41,25.12,2009-02-03,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,25.8,25.65,2009-02-04,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,26.55,25.54,2009-02-05,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,28.2,26.75,2009-02-06,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,27.87,28.13,2009-02-09,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,26.39,27.71,2009-02-10,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,26.55,26.96,2009-02-11,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,26.68,25.8,2009-02-12,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,26.96,26.98,2009-02-13,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,25.1,25.95,2009-02-17,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,24.93,25.33,2009-02-18,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,24.87,25.4,2009-02-19,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,23.9,24.04,2009-02-20,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,22.33,24.19,2009-02-23,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,23.64,22.35,2009-02-24,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,23.57,23.5,2009-02-25,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,23.76,23.91,2009-02-26,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,23.39,22.51,2009-02-27,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,21.64,22.52,2009-03-02,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,21.95,21.95,2009-03-03,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,23.47,22.88,2009-03-04,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,22.62,22.62,2009-03-05,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,22.66,22.73,2009-03-06,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,22.27,21.75,2009-03-09,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,23.78,22.67,2009-03-10,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,23.92,24.11,2009-03-11,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,24.94,23.76,2009-03-12,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,25.01,25.24,2009-03-13,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,24.8,25.46,2009-03-16,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,25.58,24.51,2009-03-17,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,26.07,25.55,2009-03-18,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,26.0478,26.72,2009-03-19,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,25.65,25.85,2009-03-20,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,27.56,26.06,2009-03-23,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,26.62,27.09,2009-03-24,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,27.07,26.8,2009-03-25,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,27.57,27.49,2009-03-26,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,26.43,26.87,2009-03-27,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,25.3,25.81,2009-03-30,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,25.64,25.68,2009-03-31,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,26.56,25.38,2009-04-01,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,28.18,27.55,2009-04-02,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,28.96,28.34,2009-04-03,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,28.34,28.58,2009-04-06,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,27.98,27.97,2009-04-07,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,28.34,28.32,2009-04-08,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,29.83,29.33,2009-04-09,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,30.09,29.6,2009-04-13,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,29.22,29.77,2009-04-14,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,29.47,29.15,2009-04-15,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,29.98,29.93,2009-04-16,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,29.58,30.12,2009-04-17,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,27.99,28.85,2009-04-20,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,28.87,27.81,2009-04-21,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,28.69,28.63,2009-04-22,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,29.21,28.91,2009-04-23,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,29.79,29.66,2009-04-24,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,28.47,29.06,2009-04-27,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,28.67,27.97,2009-04-28,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,30.06,29.12,2009-04-29,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,29.82,30.32,2009-04-30,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,30.84,29.79,2009-05-01,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,32.67,31.17,2009-05-04,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,32.72,32.67,2009-05-05,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,33.62,33.28,2009-05-06,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,32.75,34.04,2009-05-07,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,33.85,33.7,2009-05-08,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,33.52,33.22,2009-05-11,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,33.17,33.84,2009-05-12,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,31.65,32.27,2009-05-13,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,32.37,31.56,2009-05-14,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,31.76,32.33,2009-05-15,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,33.78,32.48,2009-05-18,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,34.18,33.71,2009-05-19,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,34.36,34.94,2009-05-20,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,33.6,34.02,2009-05-21,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,34.07,33.9,2009-05-22,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,35.04,33.62,2009-05-26,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,34.76,35.49,2009-05-27,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,35.68,35.43,2009-05-28,,46500.0,ILF,ISHARES TRUST,6726.0
46428739,35.95,36.35,2009-05-29,,49500.0,ILF,ISHARES TRUST,6726.0
46428739,37.39,36.95,2009-06-01,,49500.0,ILF,ISHARES TRUST,6726.0
46428739,37.05,37.18,2009-06-02,,49500.0,ILF,ISHARES TRUST,6726.0
46428739,35.39,36.58,2009-06-03,,49500.0,ILF,ISHARES TRUST,6726.0
46428739,36.22,35.54,2009-06-04,,49500.0,ILF,ISHARES TRUST,6726.0
46428739,36.09,36.94,2009-06-05,,49500.0,ILF,ISHARES TRUST,6726.0
46428739,35.77,35.45,2009-06-08,,49500.0,ILF,ISHARES TRUST,6726.0
46428739,36.05,36.36,2009-06-09,,49500.0,ILF,ISHARES TRUST,6726.0
46428739,36.19,36.8,2009-06-10,,49500.0,ILF,ISHARES TRUST,6726.0
46428739,37.15,36.39,2009-06-11,,49500.0,ILF,ISHARES TRUST,6726.0
46428739,36.74,36.52,2009-06-12,,49500.0,ILF,ISHARES TRUST,6726.0
46428739,35.4,36.17,2009-06-15,,49500.0,ILF,ISHARES TRUST,6726.0
46428739,34.68,35.84,2009-06-16,,49500.0,ILF,ISHARES TRUST,6726.0
46428739,34.35,34.4,2009-06-17,,49500.0,ILF,ISHARES TRUST,6726.0
46428739,34.29,34.28,2009-06-18,,49500.0,ILF,ISHARES TRUST,6726.0
46428739,34.55,35.18,2009-06-19,,49500.0,ILF,ISHARES TRUST,6726.0
46428739,32.47,33.83,2009-06-22,,49500.0,ILF,ISHARES TRUST,6726.0
46428739,33.08,32.74,2009-06-23,,49500.0,ILF,ISHARES TRUST,6726.0
46428739,33.39,33.68,2009-06-24,,49500.0,ILF,ISHARES TRUST,6726.0
46428739,34.53,33.31,2009-06-25,,49500.0,ILF,ISHARES TRUST,6726.0
46428739,34.85,34.61,2009-06-26,,49500.0,ILF,ISHARES TRUST,6726.0
46428739,35.01,35.0,2009-06-29,,49500.0,ILF,ISHARES TRUST,6726.0
46428739,34.74,35.18,2009-06-30,,51250.0,ILF,ISHARES TRUST,6726.0
46428739,35.08,35.5,2009-07-01,,51250.0,ILF,ISHARES TRUST,6726.0
46428739,34.05,34.45,2009-07-02,,51250.0,ILF,ISHARES TRUST,6726.0
46428739,33.89,33.26,2009-07-06,,51250.0,ILF,ISHARES TRUST,6726.0
46428739,32.64,33.51,2009-07-07,,51250.0,ILF,ISHARES TRUST,6726.0
46428739,32.28,32.75,2009-07-08,,51250.0,ILF,ISHARES TRUST,6726.0
46428739,32.7,32.99,2009-07-09,,51250.0,ILF,ISHARES TRUST,6726.0
46428739,32.41,32.14,2009-07-10,,51250.0,ILF,ISHARES TRUST,6726.0
46428739,32.95,32.45,2009-07-13,,51250.0,ILF,ISHARES TRUST,6726.0
46428739,32.96,33.27,2009-07-14,,51250.0,ILF,ISHARES TRUST,6726.0
46428739,34.89,33.81,2009-07-15,,51250.0,ILF,ISHARES TRUST,6726.0
46428739,35.32,34.71,2009-07-16,,51250.0,ILF,ISHARES TRUST,6726.0
46428739,35.47,35.6,2009-07-17,,51250.0,ILF,ISHARES TRUST,6726.0
46428739,36.68,36.28,2009-07-20,,51250.0,ILF,ISHARES TRUST,6726.0
46428739,36.57,37.07,2009-07-21,,51250.0,ILF,ISHARES TRUST,6726.0
46428739,36.71,36.29,2009-07-22,,51250.0,ILF,ISHARES TRUST,6726.0
46428739,37.69,36.96,2009-07-23,,51250.0,ILF,ISHARES TRUST,6726.0
46428739,37.59,37.6,2009-07-24,,51250.0,ILF,ISHARES TRUST,6726.0
46428739,37.81,37.86,2009-07-27,,51250.0,ILF,ISHARES TRUST,6726.0
46428739,37.49,37.45,2009-07-28,,51250.0,ILF,ISHARES TRUST,6726.0
46428739,36.66,36.95,2009-07-29,,51250.0,ILF,ISHARES TRUST,6726.0
46428739,37.56,37.51,2009-07-30,,51250.0,ILF,ISHARES TRUST,6726.0
46428739,37.68,37.46,2009-07-31,,55000.0,ILF,ISHARES TRUST,6726.0
46428739,39.27,38.87,2009-08-03,,55000.0,ILF,ISHARES TRUST,6726.0
46428739,39.46,39.21,2009-08-04,,55000.0,ILF,ISHARES TRUST,6726.0
46428739,39.68,39.52,2009-08-05,,55000.0,ILF,ISHARES TRUST,6726.0
46428739,39.07,39.86,2009-08-06,,55000.0,ILF,ISHARES TRUST,6726.0
46428739,39.62,39.69,2009-08-07,,55000.0,ILF,ISHARES TRUST,6726.0
46428739,39.65,39.44,2009-08-10,,55000.0,ILF,ISHARES TRUST,6726.0
46428739,38.72,39.06,2009-08-11,,55000.0,ILF,ISHARES TRUST,6726.0
46428739,39.29,38.52,2009-08-12,,55000.0,ILF,ISHARES TRUST,6726.0
46428739,39.61,39.59,2009-08-13,,55000.0,ILF,ISHARES TRUST,6726.0
46428739,39.06,39.71,2009-08-14,,55000.0,ILF,ISHARES TRUST,6726.0
46428739,37.86,37.69,2009-08-17,,55000.0,ILF,ISHARES TRUST,6726.0
46428739,38.56,38.0,2009-08-18,,55000.0,ILF,ISHARES TRUST,6726.0
46428739,38.82,37.8,2009-08-19,,55000.0,ILF,ISHARES TRUST,6726.0
46428739,39.56,38.99,2009-08-20,,55000.0,ILF,ISHARES TRUST,6726.0
46428739,40.24,39.87,2009-08-21,,55000.0,ILF,ISHARES TRUST,6726.0
46428739,40.05,40.72,2009-08-24,,55000.0,ILF,ISHARES TRUST,6726.0
46428739,39.81,40.25,2009-08-25,,55000.0,ILF,ISHARES TRUST,6726.0
46428739,39.68,39.71,2009-08-26,,55000.0,ILF,ISHARES TRUST,6726.0
46428739,39.58,39.56,2009-08-27,,55000.0,ILF,ISHARES TRUST,6726.0
46428739,39.38,39.83,2009-08-28,,55000.0,ILF,ISHARES TRUST,6726.0
46428739,38.37,38.87,2009-08-31,,58000.0,ILF,ISHARES TRUST,6726.0
46428739,37.25,38.35,2009-09-01,,58000.0,ILF,ISHARES TRUST,6726.0
46428739,37.49,37.11,2009-09-02,,58000.0,ILF,ISHARES TRUST,6726.0
46428739,38.17,38.0,2009-09-03,,58000.0,ILF,ISHARES TRUST,6726.0
46428739,39.0,38.39,2009-09-04,,58000.0,ILF,ISHARES TRUST,6726.0
46428739,40.18,39.73,2009-09-08,,58000.0,ILF,ISHARES TRUST,6726.0
46428739,39.98,40.28,2009-09-09,,58000.0,ILF,ISHARES TRUST,6726.0
46428739,40.77,39.96,2009-09-10,,58000.0,ILF,ISHARES TRUST,6726.0
46428739,40.77,40.87,2009-09-11,,58000.0,ILF,ISHARES TRUST,6726.0
46428739,40.95,40.31,2009-09-14,,58000.0,ILF,ISHARES TRUST,6726.0
46428739,41.55,41.14,2009-09-15,,58000.0,ILF,ISHARES TRUST,6726.0
46428739,42.55,42.12,2009-09-16,,58000.0,ILF,ISHARES TRUST,6726.0
46428739,42.21,42.15,2009-09-17,,58000.0,ILF,ISHARES TRUST,6726.0
46428739,42.35,42.6,2009-09-18,,58000.0,ILF,ISHARES TRUST,6726.0
46428739,41.95,41.71,2009-09-21,,58000.0,ILF,ISHARES TRUST,6726.0
46428739,42.64,42.22,2009-09-22,,58000.0,ILF,ISHARES TRUST,6726.0
46428739,41.88,42.67,2009-09-23,,58000.0,ILF,ISHARES TRUST,6726.0
46428739,41.1,42.05,2009-09-24,,58000.0,ILF,ISHARES TRUST,6726.0
46428739,41.27,41.19,2009-09-25,,58000.0,ILF,ISHARES TRUST,6726.0
46428739,42.23,41.53,2009-09-28,,58000.0,ILF,ISHARES TRUST,6726.0
46428739,42.42,42.56,2009-09-29,,58000.0,ILF,ISHARES TRUST,6726.0
46428739,42.91,42.86,2009-09-30,,59500.0,ILF,ISHARES TRUST,6726.0
46428739,41.79,42.98,2009-10-01,,59500.0,ILF,ISHARES TRUST,6726.0
46428739,42.24,41.19,2009-10-02,,59500.0,ILF,ISHARES TRUST,6726.0
46428739,43.36,42.63,2009-10-05,,59500.0,ILF,ISHARES TRUST,6726.0
46428739,44.05,43.89,2009-10-06,,59500.0,ILF,ISHARES TRUST,6726.0
46428739,43.97,43.85,2009-10-07,,59500.0,ILF,ISHARES TRUST,6726.0
46428739,44.82,44.44,2009-10-08,,59500.0,ILF,ISHARES TRUST,6726.0
46428739,45.05,44.89,2009-10-09,,59500.0,ILF,ISHARES TRUST,6726.0
46428739,45.64,45.49,2009-10-12,,59500.0,ILF,ISHARES TRUST,6726.0
46428739,45.65,45.35,2009-10-13,,59500.0,ILF,ISHARES TRUST,6726.0
46428739,47.1,46.71,2009-10-14,,59500.0,ILF,ISHARES TRUST,6726.0
46428739,47.26,46.83,2009-10-15,,59500.0,ILF,ISHARES TRUST,6726.0
46428739,46.83,46.5,2009-10-16,,59500.0,ILF,ISHARES TRUST,6726.0
46428739,47.33,47.07,2009-10-19,,59500.0,ILF,ISHARES TRUST,6726.0
46428739,46.18,46.69,2009-10-20,,59500.0,ILF,ISHARES TRUST,6726.0
46428739,46.71,46.16,2009-10-21,,59500.0,ILF,ISHARES TRUST,6726.0
46428739,47.17,46.9,2009-10-22,,59500.0,ILF,ISHARES TRUST,6726.0
46428739,46.55,47.63,2009-10-23,,59500.0,ILF,ISHARES TRUST,6726.0
46428739,45.8,46.91,2009-10-26,,59500.0,ILF,ISHARES TRUST,6726.0
46428739,44.66,45.8,2009-10-27,,59500.0,ILF,ISHARES TRUST,6726.0
46428739,42.38,44.52,2009-10-28,,59500.0,ILF,ISHARES TRUST,6726.0
46428739,45.16,43.44,2009-10-29,,59500.0,ILF,ISHARES TRUST,6726.0
46428739,43.07,45.17,2009-10-30,,62500.0,ILF,ISHARES TRUST,6726.0
46428739,43.57,43.54,2009-11-02,,62500.0,ILF,ISHARES TRUST,6726.0
46428739,44.31,42.81,2009-11-03,,62500.0,ILF,ISHARES TRUST,6726.0
46428739,45.03,45.28,2009-11-04,,62500.0,ILF,ISHARES TRUST,6726.0
46428739,46.29,45.48,2009-11-05,,62500.0,ILF,ISHARES TRUST,6726.0
46428739,46.14,45.69,2009-11-06,,62500.0,ILF,ISHARES TRUST,6726.0
46428739,47.78,46.83,2009-11-09,,62500.0,ILF,ISHARES TRUST,6726.0
46428739,47.76,47.39,2009-11-10,,62500.0,ILF,ISHARES TRUST,6726.0
46428739,47.68,48.33,2009-11-11,,62500.0,ILF,ISHARES TRUST,6726.0
