cusip,prc,openprc,date,numtrd,htick,hcomnam,hsiccd,numshr
15117N60,2.77,2.15,2009-01-02,39,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.38,2.74,2009-01-05,24,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.36,2.5,2009-01-06,36,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.76,2.43,2009-01-07,48,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.97,2.8,2009-01-08,54,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.77,2.86,2009-01-09,22,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.94,3.0,2009-01-12,15,IMNN,IMUNON INC,2834.0,277.0
15117N60,3.0,2.81,2009-01-13,181,IMNN,IMUNON INC,2834.0,277.0
15117N60,3.0,2.81,2009-01-14,13,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.9,2.96,2009-01-15,14,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.88,2.88,2009-01-16,5,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.7199,2.7172,2009-01-20,9,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.7,2.7,2009-01-21,4,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.65,2.65,2009-01-22,5,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.6899,2.6,2009-01-23,22,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.7899,2.5,2009-01-26,25,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.7799,2.58,2009-01-27,5,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.6899,2.5,2009-01-28,26,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.4899,2.6576,2009-01-29,9,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.44,2.4,2009-01-30,22,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.35,2.48,2009-02-02,14,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.46,2.3,2009-02-03,5,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.28,2.35,2009-02-04,17,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.3899,2.21,2009-02-05,21,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.49,2.36,2009-02-06,7,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.514,2.3,2009-02-09,22,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.55,2.26,2009-02-10,19,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.48,2.42,2009-02-11,8,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.4799,2.25,2009-02-12,8,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.4,2.3356,2009-02-13,25,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.39,2.25,2009-02-17,60,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.195,2.25,2009-02-18,23,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.3299,2.2001,2009-02-19,29,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.31,2.18,2009-02-20,8,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.3,2.25,2009-02-23,36,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.2,2.22,2009-02-24,40,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.32,2.2,2009-02-25,12,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.39,2.18,2009-02-26,28,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.26,2.1901,2009-02-27,3,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.26,2.32,2009-03-02,22,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.25,2.2,2009-03-03,28,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.2,2.02,2009-03-04,17,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.2999,2.04,2009-03-05,42,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.1899,2.05,2009-03-06,54,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.1,2.08,2009-03-09,15,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.0999,2.1,2009-03-10,10,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.05,1.6,2009-03-11,45,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.52,1.9,2009-03-12,37,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.15,2.5,2009-03-13,46,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.585,2.58,2009-03-16,16,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.58,2.59,2009-03-17,43,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.5,2.47,2009-03-18,15,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.6,2.37,2009-03-19,26,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.6,2.33,2009-03-20,38,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.38,2.34,2009-03-23,5,IMNN,IMUNON INC,2834.0,277.0
15117N60,2.95,2.84,2009-03-24,175,IMNN,IMUNON INC,2834.0,277.0
15117N60,3.1784,2.96,2009-03-25,39,IMNN,IMUNON INC,2834.0,277.0
15117N60,3.3,3.2,2009-03-26,101,IMNN,IMUNON INC,2834.0,277.0
15117N60,3.2999,3.2,2009-03-27,26,IMNN,IMUNON INC,2834.0,277.0
15117N60,3.6,3.6,2009-03-30,58,IMNN,IMUNON INC,2834.0,277.0
15117N60,3.6,3.6,2009-03-31,18,IMNN,IMUNON INC,2834.0,277.0
15117N60,3.55,3.6,2009-04-01,32,IMNN,IMUNON INC,2834.0,277.0
15117N60,3.55,3.584,2009-04-02,13,IMNN,IMUNON INC,2834.0,277.0
15117N60,3.5,3.55,2009-04-03,24,IMNN,IMUNON INC,2834.0,277.0
15117N60,3.5,3.5,2009-04-06,17,IMNN,IMUNON INC,2834.0,277.0
15117N60,3.6,3.3,2009-04-07,24,IMNN,IMUNON INC,2834.0,277.0
15117N60,3.7,3.54,2009-04-08,19,IMNN,IMUNON INC,2834.0,277.0
15117N60,3.0,2.41,2009-04-09,26,IMNN,IMUNON INC,2834.0,277.0
15117N60,3.394,3.23,2009-04-13,55,IMNN,IMUNON INC,2834.0,277.0
15117N60,3.45,3.15,2009-04-14,51,IMNN,IMUNON INC,2834.0,277.0
15117N60,3.284,3.4,2009-04-15,9,IMNN,IMUNON INC,2834.0,277.0
15117N60,3.05,3.5,2009-04-16,24,IMNN,IMUNON INC,2834.0,277.0
15117N60,3.25,3.25,2009-04-17,34,IMNN,IMUNON INC,2834.0,277.0
15117N60,3.2399,3.25,2009-04-20,15,IMNN,IMUNON INC,2834.0,277.0
15117N60,3.2493,3.25,2009-04-21,19,IMNN,IMUNON INC,2834.0,277.0
15117N60,3.18,3.26,2009-04-22,13,IMNN,IMUNON INC,2834.0,277.0
15117N60,3.148,3.29,2009-04-23,18,IMNN,IMUNON INC,2834.0,277.0
15117N60,3.5,3.083,2009-04-24,13,IMNN,IMUNON INC,2834.0,277.0
15117N60,3.45,3.06,2009-04-27,43,IMNN,IMUNON INC,2834.0,277.0
15117N60,3.4404,3.12,2009-04-28,11,IMNN,IMUNON INC,2834.0,277.0
15117N60,3.23,3.11,2009-04-29,13,IMNN,IMUNON INC,2834.0,277.0
15117N60,3.2799,3.1,2009-04-30,5,IMNN,IMUNON INC,2834.0,277.0
15117N60,3.355,3.2,2009-05-01,7,IMNN,IMUNON INC,2834.0,277.0
15117N60,3.16,3.36,2009-05-04,6,IMNN,IMUNON INC,2834.0,277.0
15117N60,3.26,3.25,2009-05-05,28,IMNN,IMUNON INC,2834.0,277.0
15117N60,3.2468,3.35,2009-05-06,16,IMNN,IMUNON INC,2834.0,277.0
15117N60,3.396,3.14,2009-05-07,43,IMNN,IMUNON INC,2834.0,277.0
15117N60,3.6932,3.4,2009-05-08,78,IMNN,IMUNON INC,2834.0,277.0
15117N60,3.73,3.7,2009-05-11,34,IMNN,IMUNON INC,2834.0,277.0
15117N60,3.8,3.75,2009-05-12,33,IMNN,IMUNON INC,2834.0,277.0
15117N60,4.2399,3.8,2009-05-13,156,IMNN,IMUNON INC,2834.0,277.0
15117N60,4.24,4.24,2009-05-14,84,IMNN,IMUNON INC,2834.0,277.0
15117N60,4.05,4.23,2009-05-15,28,IMNN,IMUNON INC,2834.0,277.0
15117N60,4.0999,4.0,2009-05-18,31,IMNN,IMUNON INC,2834.0,277.0
15117N60,3.91,3.95,2009-05-19,23,IMNN,IMUNON INC,2834.0,277.0
15117N60,4.05,4.14,2009-05-20,31,IMNN,IMUNON INC,2834.0,277.0
15117N60,4.25,3.92,2009-05-21,54,IMNN,IMUNON INC,2834.0,277.0
15117N60,4.45,4.25,2009-05-22,36,IMNN,IMUNON INC,2834.0,277.0
15117N60,4.02,4.24,2009-05-26,67,IMNN,IMUNON INC,2834.0,277.0
15117N60,3.96,4.25,2009-05-27,104,IMNN,IMUNON INC,2834.0,277.0
15117N60,4.07,3.9,2009-05-28,31,IMNN,IMUNON INC,2834.0,277.0
15117N60,4.0,4.06,2009-05-29,50,IMNN,IMUNON INC,2834.0,277.0
15117N60,4.5,4.32,2009-06-01,75,IMNN,IMUNON INC,2834.0,277.0
15117N60,4.55,4.5,2009-06-02,94,IMNN,IMUNON INC,2834.0,277.0
15117N60,4.75,4.5,2009-06-03,32,IMNN,IMUNON INC,2834.0,277.0
15117N60,4.3,4.56,2009-06-04,16,IMNN,IMUNON INC,2834.0,277.0
15117N60,4.79,4.56,2009-06-05,54,IMNN,IMUNON INC,2834.0,277.0
15117N60,4.85,4.9,2009-06-08,32,IMNN,IMUNON INC,2834.0,277.0
15117N60,4.845,4.875,2009-06-09,38,IMNN,IMUNON INC,2834.0,277.0
15117N60,4.59,4.85,2009-06-10,66,IMNN,IMUNON INC,2834.0,277.0
15117N60,4.7501,4.95,2009-06-11,28,IMNN,IMUNON INC,2834.0,277.0
15117N60,4.714,4.9,2009-06-12,31,IMNN,IMUNON INC,2834.0,277.0
15117N60,4.67,4.75,2009-06-15,27,IMNN,IMUNON INC,2834.0,277.0
