cusip,prc,openprc,date,numtrd,htick,hcomnam,hsiccd,numshr
46428747,28.97,28.37,2009-01-02,,IWS,ISHARES TRUST,6726.0,279.0
46428747,29.1,28.88,2009-01-05,,IWS,ISHARES TRUST,6726.0,279.0
46428747,29.55,29.3,2009-01-06,,IWS,ISHARES TRUST,6726.0,279.0
46428747,28.59,29.17,2009-01-07,,IWS,ISHARES TRUST,6726.0,279.0
46428747,28.79,28.51,2009-01-08,,IWS,ISHARES TRUST,6726.0,279.0
46428747,28.09,28.86,2009-01-09,,IWS,ISHARES TRUST,6726.0,279.0
46428747,27.23,28.09,2009-01-12,,IWS,ISHARES TRUST,6726.0,279.0
46428747,27.35,27.18,2009-01-13,,IWS,ISHARES TRUST,6726.0,279.0
46428747,26.32,26.88,2009-01-14,,IWS,ISHARES TRUST,6726.0,279.0
46428747,26.53,26.35,2009-01-15,,IWS,ISHARES TRUST,6726.0,279.0
46428747,26.89,26.93,2009-01-16,,IWS,ISHARES TRUST,6726.0,279.0
46428747,25.26,26.85,2009-01-20,,IWS,ISHARES TRUST,6726.0,279.0
46428747,26.41,25.71,2009-01-21,,IWS,ISHARES TRUST,6726.0,279.0
46428747,25.7,25.89,2009-01-22,,IWS,ISHARES TRUST,6726.0,279.0
46428747,26.08,25.11,2009-01-23,,IWS,ISHARES TRUST,6726.0,279.0
46428747,25.96,25.99,2009-01-26,,IWS,ISHARES TRUST,6726.0,279.0
46428747,26.25,26.1,2009-01-27,,IWS,ISHARES TRUST,6726.0,279.0
46428747,27.36,26.83,2009-01-28,,IWS,ISHARES TRUST,6726.0,279.0
46428747,26.2197,27.04,2009-01-29,,IWS,ISHARES TRUST,6726.0,279.0
46428747,25.31,26.39,2009-01-30,,IWS,ISHARES TRUST,6726.0,279.0
46428747,25.3799,25.03,2009-02-02,,IWS,ISHARES TRUST,6726.0,279.0
46428747,25.55,25.47,2009-02-03,,IWS,ISHARES TRUST,6726.0,279.0
46428747,25.44,25.75,2009-02-04,,IWS,ISHARES TRUST,6726.0,279.0
46428747,25.76,25.24,2009-02-05,,IWS,ISHARES TRUST,6726.0,279.0
46428747,26.68,25.83,2009-02-06,,IWS,ISHARES TRUST,6726.0,279.0
46428747,26.75,26.66,2009-02-09,,IWS,ISHARES TRUST,6726.0,279.0
46428747,25.32,26.58,2009-02-10,,IWS,ISHARES TRUST,6726.0,279.0
46428747,25.53,25.46,2009-02-11,,IWS,ISHARES TRUST,6726.0,279.0
46428747,25.61,25.16,2009-02-12,,IWS,ISHARES TRUST,6726.0,279.0
46428747,25.24,25.58,2009-02-13,,IWS,ISHARES TRUST,6726.0,279.0
46428747,23.89,24.27,2009-02-17,,IWS,ISHARES TRUST,6726.0,279.0
46428747,23.77,24.15,2009-02-18,,IWS,ISHARES TRUST,6726.0,279.0
46428747,23.1,23.92,2009-02-19,,IWS,ISHARES TRUST,6726.0,279.0
46428747,23.06,22.81,2009-02-20,,IWS,ISHARES TRUST,6726.0,279.0
46428747,22.24,23.31,2009-02-23,,IWS,ISHARES TRUST,6726.0,279.0
46428747,23.3,22.41,2009-02-24,,IWS,ISHARES TRUST,6726.0,279.0
46428747,23.07,23.21,2009-02-25,,IWS,ISHARES TRUST,6726.0,279.0
46428747,22.64,23.36,2009-02-26,,IWS,ISHARES TRUST,6726.0,279.0
46428747,22.27,22.11,2009-02-27,,IWS,ISHARES TRUST,6726.0,279.0
46428747,21.01,21.71,2009-03-02,,IWS,ISHARES TRUST,6726.0,279.0
46428747,20.53,21.28,2009-03-03,,IWS,ISHARES TRUST,6726.0,279.0
46428747,21.04,20.95,2009-03-04,,IWS,ISHARES TRUST,6726.0,279.0
46428747,20.01,20.61,2009-03-05,,IWS,ISHARES TRUST,6726.0,279.0
46428747,19.95,20.16,2009-03-06,,IWS,ISHARES TRUST,6726.0,279.0
46428747,19.76,19.73,2009-03-09,,IWS,ISHARES TRUST,6726.0,279.0
46428747,21.07,20.2,2009-03-10,,IWS,ISHARES TRUST,6726.0,279.0
