cusip,prc,openprc,date,numtrd,htick,hcomnam,hsiccd,numshr
46428778,45.52,45.14,2009-01-02,,IYF,ISHARES TRUST,6726.0,286.0
46428778,44.68,45.24,2009-01-05,,IYF,ISHARES TRUST,6726.0,286.0
46428778,45.48,45.24,2009-01-06,,IYF,ISHARES TRUST,6726.0,286.0
46428778,43.41,44.6,2009-01-07,,IYF,ISHARES TRUST,6726.0,286.0
46428778,43.39,43.13,2009-01-08,,IYF,ISHARES TRUST,6726.0,286.0
46428778,42.01,43.56,2009-01-09,,IYF,ISHARES TRUST,6726.0,286.0
46428778,39.9,41.77,2009-01-12,,IYF,ISHARES TRUST,6726.0,286.0
46428778,40.33,39.29,2009-01-13,,IYF,ISHARES TRUST,6726.0,286.0
46428778,38.23,39.31,2009-01-14,,IYF,ISHARES TRUST,6726.0,286.0
46428778,36.98,38.19,2009-01-15,,IYF,ISHARES TRUST,6726.0,286.0
46428778,36.3,38.14,2009-01-16,,IYF,ISHARES TRUST,6726.0,286.0
46428778,31.24,34.93,2009-01-20,,IYF,ISHARES TRUST,6726.0,286.0
46428778,34.84,32.35,2009-01-21,,IYF,ISHARES TRUST,6726.0,286.0
46428778,32.92,33.4,2009-01-22,,IYF,ISHARES TRUST,6726.0,286.0
46428778,33.86,31.53,2009-01-23,,IYF,ISHARES TRUST,6726.0,286.0
46428778,33.34,34.29,2009-01-26,,IYF,ISHARES TRUST,6726.0,286.0
46428778,34.26,33.87,2009-01-27,,IYF,ISHARES TRUST,6726.0,286.0
46428778,38.04,36.51,2009-01-28,,IYF,ISHARES TRUST,6726.0,286.0
46428778,35.3,36.83,2009-01-29,,IYF,ISHARES TRUST,6726.0,286.0
46428778,34.48,35.74,2009-01-30,,IYF,ISHARES TRUST,6726.0,286.0
46428778,34.53,33.49,2009-02-02,,IYF,ISHARES TRUST,6726.0,286.0
46428778,33.89,34.99,2009-02-03,,IYF,ISHARES TRUST,6726.0,286.0
46428778,33.57,34.14,2009-02-04,,IYF,ISHARES TRUST,6726.0,286.0
46428778,34.16,33.23,2009-02-05,,IYF,ISHARES TRUST,6726.0,286.0
46428778,36.46,34.92,2009-02-06,,IYF,ISHARES TRUST,6726.0,286.0
46428778,36.9,36.75,2009-02-09,,IYF,ISHARES TRUST,6726.0,286.0
46428778,33.45,36.41,2009-02-10,,IYF,ISHARES TRUST,6726.0,286.0
46428778,34.83,33.89,2009-02-11,,IYF,ISHARES TRUST,6726.0,286.0
46428778,34.61,33.91,2009-02-12,,IYF,ISHARES TRUST,6726.0,286.0
46428778,33.25,33.89,2009-02-13,,IYF,ISHARES TRUST,6726.0,286.0
46428778,30.58,31.83,2009-02-17,,IYF,ISHARES TRUST,6726.0,286.0
46428778,30.43,31.2,2009-02-18,,IYF,ISHARES TRUST,6726.0,286.0
46428778,29.06,30.95,2009-02-19,,IYF,ISHARES TRUST,6726.0,286.0
46428778,28.9,27.87,2009-02-20,,IYF,ISHARES TRUST,6726.0,286.0
46428778,27.91,29.7,2009-02-23,,IYF,ISHARES TRUST,6726.0,286.0
46428778,30.56,28.05,2009-02-24,,IYF,ISHARES TRUST,6726.0,286.0
46428778,30.41,30.22,2009-02-25,,IYF,ISHARES TRUST,6726.0,286.0
46428778,30.69,31.36,2009-02-26,,IYF,ISHARES TRUST,6726.0,286.0
46428778,29.3,28.89,2009-02-27,,IYF,ISHARES TRUST,6726.0,286.0
46428778,27.82,28.16,2009-03-02,,IYF,ISHARES TRUST,6726.0,286.0
46428778,26.9,27.94,2009-03-03,,IYF,ISHARES TRUST,6726.0,286.0
46428778,26.63,27.68,2009-03-04,,IYF,ISHARES TRUST,6726.0,286.0
46428778,24.45,26.07,2009-03-05,,IYF,ISHARES TRUST,6726.0,286.0
46428778,24.1,24.62,2009-03-06,,IYF,ISHARES TRUST,6726.0,286.0
46428778,24.36,23.6,2009-03-09,,IYF,ISHARES TRUST,6726.0,286.0
46428778,27.34,25.5,2009-03-10,,IYF,ISHARES TRUST,6726.0,286.0
46428778,28.01,28.17,2009-03-11,,IYF,ISHARES TRUST,6726.0,286.0
46428778,30.49,27.88,2009-03-12,,IYF,ISHARES TRUST,6726.0,286.0
46428778,30.8,30.88,2009-03-13,,IYF,ISHARES TRUST,6726.0,286.0
46428778,30.06,31.31,2009-03-16,,IYF,ISHARES TRUST,6726.0,286.0
46428778,31.87,29.98,2009-03-17,,IYF,ISHARES TRUST,6726.0,286.0
46428778,34.57,31.38,2009-03-18,,IYF,ISHARES TRUST,6726.0,286.0
46428778,32.29,35.37,2009-03-19,,IYF,ISHARES TRUST,6726.0,286.0
46428778,30.9,32.17,2009-03-20,,IYF,ISHARES TRUST,6726.0,286.0
46428778,35.74,33.22,2009-03-23,,IYF,ISHARES TRUST,6726.0,286.0
46428778,33.63,34.23,2009-03-24,,IYF,ISHARES TRUST,6726.0,286.0
46428778,34.29,33.97,2009-03-25,,IYF,ISHARES TRUST,6726.0,286.0
46428778,34.84,34.71,2009-03-26,,IYF,ISHARES TRUST,6726.0,286.0
46428778,33.9,33.94,2009-03-27,,IYF,ISHARES TRUST,6726.0,286.0
46428778,31.2,32.13,2009-03-30,,IYF,ISHARES TRUST,6726.0,286.0
46428778,32.72,31.95,2009-03-31,,IYF,ISHARES TRUST,6726.0,286.0
46428778,33.5,31.99,2009-04-01,,IYF,ISHARES TRUST,6726.0,286.0
46428778,34.52,35.1,2009-04-02,,IYF,ISHARES TRUST,6726.0,286.0
46428778,36.0,34.26,2009-04-03,,IYF,ISHARES TRUST,6726.0,286.0
46428778,35.2,34.9,2009-04-06,,IYF,ISHARES TRUST,6726.0,286.0
46428778,34.04,34.31,2009-04-07,,IYF,ISHARES TRUST,6726.0,286.0
46428778,34.3,34.47,2009-04-08,,IYF,ISHARES TRUST,6726.0,286.0
46428778,38.96,36.53,2009-04-09,,IYF,ISHARES TRUST,6726.0,286.0
46428778,40.4,38.14,2009-04-13,,IYF,ISHARES TRUST,6726.0,286.0
46428778,37.75,39.92,2009-04-14,,IYF,ISHARES TRUST,6726.0,286.0
46428778,39.4,37.06,2009-04-15,,IYF,ISHARES TRUST,6726.0,286.0
46428778,39.92,39.91,2009-04-16,,IYF,ISHARES TRUST,6726.0,286.0
46428778,40.26,39.53,2009-04-17,,IYF,ISHARES TRUST,6726.0,286.0
46428778,36.17,38.65,2009-04-20,,IYF,ISHARES TRUST,6726.0,286.0
46428778,38.68,34.65,2009-04-21,,IYF,ISHARES TRUST,6726.0,286.0
46428778,37.52,37.4,2009-04-22,,IYF,ISHARES TRUST,6726.0,286.0
46428778,38.86,38.0,2009-04-23,,IYF,ISHARES TRUST,6726.0,286.0
46428778,39.65,38.9,2009-04-24,,IYF,ISHARES TRUST,6726.0,286.0
46428778,38.72,38.68,2009-04-27,,IYF,ISHARES TRUST,6726.0,286.0
46428778,38.19,37.76,2009-04-28,,IYF,ISHARES TRUST,6726.0,286.0
46428778,39.53,38.64,2009-04-29,,IYF,ISHARES TRUST,6726.0,286.0
46428778,39.47,40.37,2009-04-30,,IYF,ISHARES TRUST,6726.0,286.0
46428778,38.96,39.28,2009-05-01,,IYF,ISHARES TRUST,6726.0,286.0
46428778,42.38,39.32,2009-05-04,,IYF,ISHARES TRUST,6726.0,286.0
46428778,41.8,41.7,2009-05-05,,IYF,ISHARES TRUST,6726.0,286.0
46428778,44.43,42.66,2009-05-06,,IYF,ISHARES TRUST,6726.0,286.0
46428778,43.24,46.14,2009-05-07,,IYF,ISHARES TRUST,6726.0,286.0
46428778,46.01,44.05,2009-05-08,,IYF,ISHARES TRUST,6726.0,286.0
46428778,43.76,44.6,2009-05-11,,IYF,ISHARES TRUST,6726.0,286.0
46428778,42.98,44.13,2009-05-12,,IYF,ISHARES TRUST,6726.0,286.0
46428778,40.83,41.8,2009-05-13,,IYF,ISHARES TRUST,6726.0,286.0
46428778,42.22,40.47,2009-05-14,,IYF,ISHARES TRUST,6726.0,286.0
46428778,41.26,41.98,2009-05-15,,IYF,ISHARES TRUST,6726.0,286.0
46428778,43.68,42.13,2009-05-18,,IYF,ISHARES TRUST,6726.0,286.0
46428778,42.83,43.73,2009-05-19,,IYF,ISHARES TRUST,6726.0,286.0
46428778,41.89,43.67,2009-05-20,,IYF,ISHARES TRUST,6726.0,286.0
46428778,41.75,41.24,2009-05-21,,IYF,ISHARES TRUST,6726.0,286.0
46428778,41.44,42.14,2009-05-22,,IYF,ISHARES TRUST,6726.0,286.0
46428778,43.0,41.03,2009-05-26,,IYF,ISHARES TRUST,6726.0,286.0
46428778,41.59,43.18,2009-05-27,,IYF,ISHARES TRUST,6726.0,286.0
46428778,42.61,41.95,2009-05-28,,IYF,ISHARES TRUST,6726.0,286.0
46428778,43.6,42.79,2009-05-29,,IYF,ISHARES TRUST,6726.0,286.0
46428778,44.11,43.91,2009-06-01,,IYF,ISHARES TRUST,6726.0,286.0
