cusip,prc,openprc,date,numtrd,htick,hcomnam,hsiccd,numshr
79014810,24.72,24.42,2009-01-02,,JOE,ST JOE CO,6552.0,388.0
79014810,24.9,24.5,2009-01-05,,JOE,ST JOE CO,6552.0,388.0
79014810,25.6,25.3,2009-01-06,,JOE,ST JOE CO,6552.0,388.0
79014810,25.02,25.16,2009-01-07,,JOE,ST JOE CO,6552.0,388.0
79014810,25.63,24.59,2009-01-08,,JOE,ST JOE CO,6552.0,388.0
79014810,25.06,25.42,2009-01-09,,JOE,ST JOE CO,6552.0,388.0
79014810,23.88,24.98,2009-01-12,,JOE,ST JOE CO,6552.0,388.0
79014810,24.09,24.07,2009-01-13,,JOE,ST JOE CO,6552.0,388.0
79014810,23.99,23.82,2009-01-14,,JOE,ST JOE CO,6552.0,388.0
79014810,24.83,23.98,2009-01-15,,JOE,ST JOE CO,6552.0,388.0
79014810,25.0,25.44,2009-01-16,,JOE,ST JOE CO,6552.0,388.0
79014810,23.32,24.31,2009-01-20,,JOE,ST JOE CO,6552.0,388.0
79014810,24.92,23.87,2009-01-21,,JOE,ST JOE CO,6552.0,388.0
79014810,24.46,24.27,2009-01-22,,JOE,ST JOE CO,6552.0,388.0
79014810,25.37,24.06,2009-01-23,,JOE,ST JOE CO,6552.0,388.0
79014810,25.89,25.4,2009-01-26,,JOE,ST JOE CO,6552.0,388.0
79014810,25.35,26.01,2009-01-27,,JOE,ST JOE CO,6552.0,388.0
79014810,26.85,25.51,2009-01-28,,JOE,ST JOE CO,6552.0,388.0
79014810,25.74,26.26,2009-01-29,,JOE,ST JOE CO,6552.0,388.0
79014810,24.05,25.94,2009-01-30,,JOE,ST JOE CO,6552.0,388.0
79014810,23.66,23.89,2009-02-02,,JOE,ST JOE CO,6552.0,388.0
79014810,23.25,23.74,2009-02-03,,JOE,ST JOE CO,6552.0,388.0
79014810,22.73,23.25,2009-02-04,,JOE,ST JOE CO,6552.0,388.0
79014810,22.29,22.8,2009-02-05,,JOE,ST JOE CO,6552.0,388.0
79014810,23.0,22.46,2009-02-06,,JOE,ST JOE CO,6552.0,388.0
79014810,22.99,22.98,2009-02-09,,JOE,ST JOE CO,6552.0,388.0
79014810,21.52,22.9,2009-02-10,,JOE,ST JOE CO,6552.0,388.0
79014810,23.2,21.49,2009-02-11,,JOE,ST JOE CO,6552.0,388.0
