cusip,prc,openprc,date,numtrd,shrout,htick,hcomnam,hsiccd
78464A78,27.97,27.49,2009-01-02,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,28.09,28.04,2009-01-05,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,28.65,28.33,2009-01-06,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,26.98,28.26,2009-01-07,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,27.56,26.74,2009-01-08,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,26.78,27.65,2009-01-09,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,25.27,26.69,2009-01-12,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,25.57,24.96,2009-01-13,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,23.95,25.04,2009-01-14,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,24.02,23.85,2009-01-15,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,24.49,24.57,2009-01-16,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,21.885,23.97,2009-01-20,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,23.72,22.52,2009-01-21,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,21.45,22.83,2009-01-22,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,21.91,21.03,2009-01-23,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,21.47,22.09,2009-01-26,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,22.33,21.65,2009-01-27,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,24.77,23.44,2009-01-28,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,22.5701,23.85,2009-01-29,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,21.59,22.73,2009-01-30,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,22.05,21.31,2009-02-02,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,22.04,22.17,2009-02-03,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,21.85,22.2,2009-02-04,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,22.43,21.54,2009-02-05,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,22.83,22.32,2009-02-06,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,23.42,23.18,2009-02-09,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,21.19,22.88,2009-02-10,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,22.01,21.56,2009-02-11,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,22.4,21.47,2009-02-12,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,21.8,22.15,2009-02-13,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,19.92,20.74,2009-02-17,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,20.22,20.36,2009-02-18,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,19.02,20.43,2009-02-19,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,18.77,18.33,2009-02-20,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,17.82,18.79,2009-02-23,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,19.45,17.99,2009-02-24,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,18.56,19.09,2009-02-25,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,18.6601,19.14,2009-02-26,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,17.39,17.52,2009-02-27,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,16.48,16.84,2009-03-02,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,15.71,16.78,2009-03-03,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,16.24,16.04,2009-03-04,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,14.77,15.62,2009-03-05,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,14.83,14.83,2009-03-06,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,14.67,14.38,2009-03-09,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,15.97,15.16,2009-03-10,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,16.04,16.43,2009-03-11,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,17.21,15.91,2009-03-12,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,17.81,17.53,2009-03-13,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,17.6,18.11,2009-03-16,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,18.99,17.57,2009-03-17,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,20.96,18.88,2009-03-18,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,19.81,21.81,2009-03-19,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,18.83,19.62,2009-03-20,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,21.28,19.88,2009-03-23,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,20.3,20.52,2009-03-24,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,20.55,20.78,2009-03-25,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,21.2,21.05,2009-03-26,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,20.95,20.84,2009-03-27,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,19.13,20.37,2009-03-30,,2700.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,19.97,19.46,2009-03-31,,4000.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,20.54,19.71,2009-04-01,,4000.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,21.1,21.28,2009-04-02,,4000.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,21.68,21.0,2009-04-03,,4000.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,21.36,21.36,2009-04-06,,4000.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,20.89,20.97,2009-04-07,,4000.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,21.89,22.19,2009-04-08,,4000.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,23.5,22.22,2009-04-09,,4000.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,24.26,23.35,2009-04-13,,4000.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,22.6,24.09,2009-04-14,,4000.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,23.73,22.33,2009-04-15,,4000.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,23.98,24.01,2009-04-16,,4000.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,24.16,23.72,2009-04-17,,4000.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,22.31,23.57,2009-04-20,,4000.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,23.98,21.51,2009-04-21,,4000.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,23.12,23.36,2009-04-22,,4000.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,23.71,23.2,2009-04-23,,4000.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,23.82,23.92,2009-04-24,,4000.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,23.69,23.55,2009-04-27,,4000.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,23.49,23.26,2009-04-28,,4000.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,24.53,23.56,2009-04-29,,4000.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,24.36,24.9,2009-04-30,,3600.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,23.93,24.06,2009-05-01,,3600.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,25.28,24.06,2009-05-04,,3600.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,25.32,25.15,2009-05-05,,3600.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,27.17,25.8,2009-05-06,,3600.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,26.95,27.76,2009-05-07,,3600.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,29.05,26.51,2009-05-08,,3600.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,27.22,28.02,2009-05-11,,3600.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,26.84,27.39,2009-05-12,,3600.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,25.22,26.2,2009-05-13,,3600.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,26.5,25.19,2009-05-14,,3600.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,25.95,27.09,2009-05-15,,3600.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,27.58,26.3,2009-05-18,,3600.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,27.36,27.36,2009-05-19,,3600.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,26.94,27.8,2009-05-20,,3600.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,26.79,26.37,2009-05-21,,3600.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,26.61,26.91,2009-05-22,,3600.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,27.39,26.41,2009-05-26,,3600.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,26.27,27.49,2009-05-27,,3600.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,26.78,26.55,2009-05-28,,3600.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,27.74,26.95,2009-05-29,,4150.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,28.04,27.86,2009-06-01,,4150.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,28.52,28.2,2009-06-02,,4150.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,27.8,28.21,2009-06-03,,4150.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,28.3,27.85,2009-06-04,,4150.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,28.3,29.01,2009-06-05,,4150.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,28.21,28.18,2009-06-08,,4150.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,28.15,28.17,2009-06-09,,4150.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,27.99,28.38,2009-06-10,,4150.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,28.04,27.94,2009-06-11,,4150.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,27.47,27.82,2009-06-12,,4150.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,26.61,27.13,2009-06-15,,4150.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,26.1,26.67,2009-06-16,,4150.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,25.65,26.04,2009-06-17,,4150.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,26.06,25.77,2009-06-18,,4150.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,26.57,26.21,2009-06-19,,4150.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,25.11,26.16,2009-06-22,,4150.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,25.49,25.28,2009-06-23,,4150.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,25.88,25.71,2009-06-24,,4150.0,KIE,SPDR SERIES TRUST,6726.0
78464A78,26.29,25.84,2009-06-25,,4150.0,KIE,SPDR SERIES TRUST,6726.0
