cusip,prc,openprc,date,numtrd,htick,hcomnam,hsiccd,numshr
48273810,5.8,5.27,2009-01-02,80,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,5.91,5.79,2009-01-05,77,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,5.94,5.41,2009-01-06,67,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,5.88,5.96,2009-01-07,70,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,5.99,5.96,2009-01-08,67,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,5.48,5.89,2009-01-09,172,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,5.15,5.65,2009-01-12,216,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,4.86,5.05,2009-01-13,107,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,4.38,4.99,2009-01-14,203,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,4.44,4.31,2009-01-15,705,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,4.73,4.61,2009-01-16,200,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,4.83,4.59,2009-01-20,351,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,5.32,4.76,2009-01-21,335,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,5.7,5.09,2009-01-22,163,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,5.66,5.57,2009-01-23,188,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,5.78,5.82,2009-01-26,137,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,5.89,5.86,2009-01-27,37,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,5.9,5.97,2009-01-28,140,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,5.84,5.7117,2009-01-29,71,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,5.77,5.79,2009-01-30,157,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,5.83,5.58,2009-02-02,112,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,5.63,5.93,2009-02-03,150,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,5.84,5.55,2009-02-04,149,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,5.7101,5.98,2009-02-05,276,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,5.74,5.8,2009-02-06,143,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,5.6,5.5794,2009-02-09,231,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,5.4,5.43,2009-02-10,144,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,5.15,5.39,2009-02-11,122,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,5.58,4.92,2009-02-12,80,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,5.75,5.45,2009-02-13,269,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,5.56,5.29,2009-02-17,156,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,5.45,5.39,2009-02-18,174,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,5.57,5.36,2009-02-19,142,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,5.53,5.23,2009-02-20,218,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,5.301,5.38,2009-02-23,379,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,5.39,5.3,2009-02-24,241,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,5.6,5.27,2009-02-25,169,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,5.1,5.53,2009-02-26,197,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,5.34,5.05,2009-02-27,22,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,4.82,5.1,2009-03-02,102,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,5.1,5.36,2009-03-03,214,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,5.0,5.14,2009-03-04,70,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,5.0,5.03,2009-03-05,159,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,4.9,5.0,2009-03-06,148,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,4.75,4.74,2009-03-09,94,KVHI,K V H INDUSTRIES INC,3810.0,224.0
48273810,4.68,4.74,2009-03-10,110,KVHI,K V H INDUSTRIES INC,3810.0,224.0
