cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
53814610,1.87,1.78,2009-01-02,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,1.91,1.92,2009-01-05,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,1.88,1.9,2009-01-06,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,1.89,1.87,2009-01-07,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,1.8,1.88,2009-01-08,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,1.8,1.85,2009-01-09,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,1.82,1.83,2009-01-12,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,1.83,1.78,2009-01-13,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,1.72,1.8,2009-01-14,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,1.71,1.76,2009-01-15,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,1.73,1.72,2009-01-16,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,1.71,1.708,2009-01-20,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,1.69,1.69,2009-01-21,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,1.8,1.69,2009-01-22,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,1.75,1.73,2009-01-23,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,1.87,1.72,2009-01-26,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,1.84,1.8,2009-01-27,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,1.87,1.83,2009-01-28,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,1.92,1.82,2009-01-29,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,1.97,1.94,2009-01-30,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.0,2.0,2009-02-02,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.0,1.97,2009-02-03,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.0,1.95,2009-02-04,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.0,1.9501,2009-02-05,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.01,1.9401,2009-02-06,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.02,2.01,2009-02-09,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,1.97,1.98,2009-02-10,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,1.9,1.9,2009-02-11,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,1.99,1.94,2009-02-12,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,1.99,1.95,2009-02-13,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.02,2.09,2009-02-17,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.0,1.98,2009-02-18,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.02,2.0,2009-02-19,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.0299,1.99,2009-02-20,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.01,2.0,2009-02-23,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.02,1.99,2009-02-24,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.1,1.99,2009-02-25,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.0,2.01,2009-02-26,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,1.9,1.97,2009-02-27,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,1.74,1.9,2009-03-02,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,1.79,1.98,2009-03-03,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,1.83,1.78,2009-03-04,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,1.79,1.8,2009-03-05,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,1.86,1.8,2009-03-06,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,1.71,1.8,2009-03-09,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,1.7628,1.77,2009-03-10,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,1.71,1.8,2009-03-11,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,1.68,1.67,2009-03-12,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,1.68,1.72,2009-03-13,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,1.89,1.84,2009-03-16,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,1.85,1.93,2009-03-17,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,1.9,1.81,2009-03-18,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.0,1.97,2009-03-19,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.08,1.91,2009-03-20,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.16,2.08,2009-03-23,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.17,2.15,2009-03-24,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.27,2.16,2009-03-25,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.25,2.18,2009-03-26,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.15,2.16,2009-03-27,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.15,2.16,2009-03-30,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.27,2.11,2009-03-31,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.28,2.17,2009-04-01,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.35,2.21,2009-04-02,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.46,2.27,2009-04-03,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.36,2.38,2009-04-06,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.3901,2.29,2009-04-07,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.45,2.36,2009-04-08,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.46,2.39,2009-04-09,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.39,2.43,2009-04-13,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.37,2.42,2009-04-14,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.39,2.38,2009-04-15,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.5,2.42,2009-04-16,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.5,2.46,2009-04-17,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.45,2.39,2009-04-20,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.5,2.5,2009-04-21,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.57,2.45,2009-04-22,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.43,2.92,2009-04-23,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.5,2.47,2009-04-24,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.55,2.53,2009-04-27,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.48,2.5,2009-04-28,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.55,2.5,2009-04-29,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.64,2.52,2009-04-30,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.76,2.7,2009-05-01,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.85,2.79,2009-05-04,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.94,2.85,2009-05-05,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.83,2.85,2009-05-06,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,3.0,3.22,2009-05-07,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,3.15,3.0,2009-05-08,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,3.15,3.02,2009-05-11,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,3.17,3.09,2009-05-12,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,3.0,3.14,2009-05-13,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.98,2.91,2009-05-14,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,3.08,3.03,2009-05-15,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,3.12,3.01,2009-05-18,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,3.27,3.07,2009-05-19,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,3.11,3.16,2009-05-20,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,3.2401,3.09,2009-05-21,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,3.03,3.14,2009-05-22,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,3.04,3.01,2009-05-26,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.95,3.05,2009-05-27,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,2.95,2.92,2009-05-28,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,3.23,2.9,2009-05-29,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,3.34,3.24,2009-06-01,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,3.2,3.31,2009-06-02,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,3.35,3.25,2009-06-03,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,3.39,3.35,2009-06-04,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,3.27,3.35,2009-06-05,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,3.25,3.21,2009-06-08,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,3.35,3.27,2009-06-09,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,3.27,3.3,2009-06-10,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,3.35,3.27,2009-06-11,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,3.89,3.3,2009-06-12,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,3.51,3.8,2009-06-15,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,3.25,3.56,2009-06-16,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,3.39,3.25,2009-06-17,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,3.2,3.41,2009-06-18,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,3.37,3.23,2009-06-19,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,3.15,3.32,2009-06-22,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,3.03,3.16,2009-06-23,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,3.23,3.04,2009-06-24,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,3.75,3.23,2009-06-25,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,4.05,3.55,2009-06-26,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,4.19,4.0,2009-06-29,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,4.0,4.13,2009-06-30,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,3.97,3.85,2009-07-01,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,3.82,3.99,2009-07-02,LPSN,LIVEPERSON INC,7389.0,222.0
53814610,3.93,3.79,2009-07-06,LPSN,LIVEPERSON INC,7389.0,222.0
