cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
51841510,1.49,1.51,2009-01-02,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.45,1.5,2009-01-05,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.63,1.45,2009-01-06,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.62,1.61,2009-01-07,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.68,1.62,2009-01-08,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.57,1.68,2009-01-09,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.46,1.57,2009-01-12,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.44,1.45,2009-01-13,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.33,1.41,2009-01-14,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.42,1.33,2009-01-15,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.52,1.43,2009-01-16,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.41,1.49,2009-01-20,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.47,1.42,2009-01-21,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.44,1.39,2009-01-22,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.45,1.4,2009-01-23,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.47,1.45,2009-01-26,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.51,1.47,2009-01-27,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.58,1.5,2009-01-28,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.52,1.56,2009-01-29,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.54,1.51,2009-01-30,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.49,1.53,2009-02-02,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.5,1.49,2009-02-03,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.48,1.51,2009-02-04,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.55,1.48,2009-02-05,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.57,1.47,2009-02-06,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.56,1.56,2009-02-09,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.48,1.56,2009-02-10,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.49,1.48,2009-02-11,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.49,1.46,2009-02-12,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.49,1.5,2009-02-13,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.4,1.43,2009-02-17,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.38,1.41,2009-02-18,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.34,1.39,2009-02-19,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.33,1.32,2009-02-20,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.24,1.33,2009-02-23,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.29,1.25,2009-02-24,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.3,1.29,2009-02-25,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.25,1.3,2009-02-26,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.29,1.24,2009-02-27,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.17,1.26,2009-03-02,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.11,1.18,2009-03-03,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.17,1.12,2009-03-04,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.13,1.14,2009-03-05,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.13,1.14,2009-03-06,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.1,1.12,2009-03-09,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.21,1.12,2009-03-10,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.21,1.21,2009-03-11,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.3,1.21,2009-03-12,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.32,1.31,2009-03-13,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.28,1.33,2009-03-16,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.33,1.24,2009-03-17,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.43,1.33,2009-03-18,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.43,1.45,2009-03-19,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.39,1.45,2009-03-20,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.59,1.45,2009-03-23,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.49,1.57,2009-03-24,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.43,1.59,2009-03-25,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.49,1.46,2009-03-26,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.4,1.46,2009-03-27,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.39,1.36,2009-03-30,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.38,1.44,2009-03-31,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.4,1.35,2009-04-01,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.52,1.43,2009-04-02,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.57,1.52,2009-04-03,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.51,1.55,2009-04-06,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.42,1.48,2009-04-07,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.49,1.44,2009-04-08,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.64,1.58,2009-04-09,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.7,1.62,2009-04-13,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.62,1.68,2009-04-14,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.68,1.6,2009-04-15,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.77,1.69,2009-04-16,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.79,1.78,2009-04-17,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.7,1.76,2009-04-20,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.78,1.69,2009-04-21,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.78,1.79,2009-04-22,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.68,1.78,2009-04-23,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.7,1.65,2009-04-24,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.7,1.66,2009-04-27,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.72,1.69,2009-04-28,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.78,1.74,2009-04-29,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.74,1.81,2009-04-30,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
51841510,1.73,1.74,2009-05-01,LSCC,LATTICE SEMICONDUCTOR CORP,3670.0,242.0
