cusip,prc,openprc,date,numtrd,htick,hcomnam,hsiccd,numshr
12805830,0.6,0.45,2009-01-02,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.5994,0.5,2009-01-05,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.56,0.57,2009-01-06,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.57,0.55,2009-01-07,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.62,0.6,2009-01-08,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.6,0.62,2009-01-09,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.55,0.6,2009-01-12,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.65,0.57,2009-01-13,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.62,0.6,2009-01-14,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.55,0.55,2009-01-15,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.48,0.5045,2009-01-16,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.55,0.51,2009-01-20,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.69,0.581,2009-01-21,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.75,0.69,2009-01-22,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.8499,0.75,2009-01-23,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.9098,0.8,2009-01-26,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.83,1.0,2009-01-27,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.83,0.92,2009-01-28,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.826,0.8,2009-01-29,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.8399,0.8001,2009-01-30,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.85,0.88,2009-02-02,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.77,0.8301,2009-02-03,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.84,0.85,2009-02-04,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.8699,0.84,2009-02-05,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.8,0.87,2009-02-06,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.78,0.8,2009-02-09,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.75,0.79,2009-02-10,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.74,0.7401,2009-02-11,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.73,0.75,2009-02-12,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.74,0.74,2009-02-13,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.75,0.76,2009-02-17,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.7505,0.76,2009-02-18,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.7703,0.77,2009-02-19,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.76,0.7,2009-02-20,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.8,0.8,2009-02-23,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.8,0.81,2009-02-24,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.69,0.78,2009-02-25,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.63,0.64,2009-02-26,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.7,0.6307,2009-02-27,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.5601,0.8,2009-03-02,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.5,0.56,2009-03-03,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.55,0.5,2009-03-04,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.5401,0.45,2009-03-05,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.454,0.45,2009-03-06,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.69,0.55,2009-03-09,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.75,0.77,2009-03-10,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.68,0.78,2009-03-11,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.76,0.75,2009-03-12,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.98,0.76,2009-03-13,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.87,0.8301,2009-03-16,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.93,0.85,2009-03-17,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.89,0.93,2009-03-18,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.95,0.87,2009-03-19,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.85,0.9,2009-03-20,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.9,0.8007,2009-03-23,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.9,0.85,2009-03-24,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.87,0.9,2009-03-25,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.85,0.87,2009-03-26,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
12805830,0.94,0.8,2009-03-27,,LSTA,LISATA THERAPEUTICS INC,8099.0,252.0
