cusip,prc,openprc,date,numtrd,shrout,htick,hcomnam,hsiccd
78467Y10,99.79,97.78,2009-01-02,,69016.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,100.2,99.93,2009-01-05,,69016.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,101.54,100.75,2009-01-06,,69016.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,98.43,99.58,2009-01-07,,69016.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,98.92,97.89,2009-01-08,,69016.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,96.25,99.13,2009-01-09,,69016.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,93.66,96.25,2009-01-12,,69016.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,94.66,93.29,2009-01-13,,69016.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,91.03,92.99,2009-01-14,,69016.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,92.29,91.05,2009-01-15,,69016.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,93.85,94.25,2009-01-16,,69016.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,88.22,93.04,2009-01-20,,69016.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,92.3,89.81,2009-01-21,,69016.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,90.0,90.53,2009-01-22,,69016.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,91.01,88.02,2009-01-23,,69016.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,91.57,91.12,2009-01-26,,69016.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,92.9,92.23,2009-01-27,,69016.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,96.49,94.7,2009-01-28,,69016.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,93.28,95.13,2009-01-29,,69016.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,90.69,93.85,2009-01-30,,65065.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,90.79,89.21,2009-02-02,,65065.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,91.67,91.25,2009-02-03,,65065.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,91.64,91.72,2009-02-04,,65065.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,92.84,90.77,2009-02-05,,65065.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,96.54,92.9,2009-02-06,,65065.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,96.19,96.28,2009-02-09,,65065.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,92.19,95.58,2009-02-10,,65065.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,92.12,92.38,2009-02-11,,65065.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,92.88,90.51,2009-02-12,,65065.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,91.92,92.82,2009-02-13,,65065.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,87.89,88.48,2009-02-17,,65065.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,87.0,88.57,2009-02-18,,65065.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,85.64,87.98,2009-02-19,,65065.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,84.91,84.07,2009-02-20,,65065.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,81.51,85.62,2009-02-23,,65065.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,84.95,82.26,2009-02-24,,65065.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,83.97,84.54,2009-02-25,,65065.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,82.75,84.98,2009-02-26,,65065.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,82.12,81.08,2009-02-27,,65065.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,77.01,80.13,2009-03-02,,65065.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,76.41,78.1,2009-03-03,,65065.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,78.59,77.53,2009-03-04,,65065.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,74.94,76.85,2009-03-05,,65065.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,74.43,75.64,2009-03-06,,65065.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,73.63,73.51,2009-03-09,,65065.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,78.74,75.61,2009-03-10,,65065.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,79.12,79.36,2009-03-11,,65065.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,82.67,79.11,2009-03-12,,65065.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,83.14,83.59,2009-03-13,,65065.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,82.02,84.12,2009-03-16,,65065.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,85.03,82.11,2009-03-17,,65065.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,87.82,84.76,2009-03-18,,65065.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,87.12,88.76,2009-03-19,,65065.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,84.25,87.53,2009-03-20,,65065.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,90.6,86.78,2009-03-23,,65065.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,88.76,89.1,2009-03-24,,65065.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,89.36,89.16,2009-03-25,,65065.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,92.91,90.59,2009-03-26,,65065.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,90.64,91.59,2009-03-27,,65065.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,87.66,88.49,2009-03-30,,65065.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,88.59,88.52,2009-03-31,,62508.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,89.8,87.02,2009-04-01,,62508.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,93.61,92.37,2009-04-02,,62508.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,95.28,93.55,2009-04-03,,62508.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,94.15,94.45,2009-04-06,,62508.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,91.09,92.73,2009-04-07,,62508.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,92.51,91.72,2009-04-08,,62508.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,97.38,94.76,2009-04-09,,62508.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,97.3,96.46,2009-04-13,,62508.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,94.93,95.98,2009-04-14,,62508.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,96.04,94.36,2009-04-15,,62508.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,98.61,97.08,2009-04-16,,62508.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,99.81,98.99,2009-04-17,,62508.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,94.88,97.79,2009-04-20,,62508.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,97.34,94.06,2009-04-21,,62508.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,97.6,96.07,2009-04-22,,62508.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,97.41,98.12,2009-04-23,,62508.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,99.76,98.42,2009-04-24,,62508.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,98.92,98.46,2009-04-27,,62508.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,99.23,98.02,2009-04-28,,62508.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,101.88,100.44,2009-04-29,,62508.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,101.68,103.47,2009-04-30,,62508.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,101.56,101.23,2009-05-01,,62508.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,105.74,102.73,2009-05-04,,62508.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
78467Y10,105.03,105.29,2009-05-05,,62508.0,MDY,SPDR S & P MIDCAP 400 ETF TRUST,6726.0
