cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
55977T20,-5.63,,2009-01-02,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,6.3,6.2,2009-01-05,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,5.56,5.5,2009-01-06,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,-6.15,,2009-01-07,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,-5.98,,2009-01-08,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,-5.9,,2009-01-09,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,5.54,6.73,2009-01-12,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,-5.625,,2009-01-13,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,5.1,5.41,2009-01-14,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,-5.495,,2009-01-15,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,5.0,5.22,2009-01-16,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,5.7799,5.77,2009-01-20,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,5.75,5.26,2009-01-21,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,5.7999,5.7999,2009-01-22,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,-5.745,,2009-01-23,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,5.25,5.51,2009-01-26,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,-5.23,,2009-01-27,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,-5.26,,2009-01-28,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,-5.125,,2009-01-29,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,4.75,5.0,2009-01-30,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,4.05,4.8,2009-02-02,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,4.0,4.0,2009-02-03,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,4.0,4.3999,2009-02-04,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,3.84,4.0,2009-02-05,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,3.5,4.25,2009-02-06,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,2.76,3.76,2009-02-09,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,3.86,4.71,2009-02-10,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,3.13,4.2,2009-02-11,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,3.5,3.17,2009-02-12,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,3.9,3.88,2009-02-13,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,3.5,3.92,2009-02-17,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,-3.57,,2009-02-18,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,3.13,3.1301,2009-02-19,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,2.98,3.35,2009-02-20,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,3.1,3.08,2009-02-23,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,2.8,3.2,2009-02-24,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,3.1,3.1,2009-02-25,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,4.0,3.5,2009-02-26,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,4.25,4.0,2009-02-27,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,4.04,4.03,2009-03-02,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,3.95,4.0,2009-03-03,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,4.0,4.0,2009-03-04,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,3.9,4.0,2009-03-05,MGYR,MAGYAR BANCORP INC,6712.0,162.0
55977T20,3.93,4.0,2009-03-06,MGYR,MAGYAR BANCORP INC,6712.0,162.0
