cusip,prc,openprc,date,numtrd,shrout,htick,hcomnam,hsiccd
09254V10,9.85,9.48,2009-01-02,,18206.0,MIY,BLACKROCK MUNIYLD MI QLTY FD INC,6282.0
09254V10,10.25,9.85,2009-01-05,,18206.0,MIY,BLACKROCK MUNIYLD MI QLTY FD INC,6282.0
09254V10,10.51,10.23,2009-01-06,,18206.0,MIY,BLACKROCK MUNIYLD MI QLTY FD INC,6282.0
09254V10,10.36,10.5,2009-01-07,,18206.0,MIY,BLACKROCK MUNIYLD MI QLTY FD INC,6282.0
09254V10,10.58,10.45,2009-01-08,,18206.0,MIY,BLACKROCK MUNIYLD MI QLTY FD INC,6282.0
09254V10,10.95,10.58,2009-01-09,,18206.0,MIY,BLACKROCK MUNIYLD MI QLTY FD INC,6282.0
09254V10,11.05,11.02,2009-01-12,,18206.0,MIY,BLACKROCK MUNIYLD MI QLTY FD INC,6282.0
09254V10,10.86,11.11,2009-01-13,,18206.0,MIY,BLACKROCK MUNIYLD MI QLTY FD INC,6282.0
09254V10,10.56,10.86,2009-01-14,,18206.0,MIY,BLACKROCK MUNIYLD MI QLTY FD INC,6282.0
09254V10,10.516,10.57,2009-01-15,,18206.0,MIY,BLACKROCK MUNIYLD MI QLTY FD INC,6282.0
09254V10,10.6574,10.51,2009-01-16,,18206.0,MIY,BLACKROCK MUNIYLD MI QLTY FD INC,6282.0
09254V10,10.56,10.66,2009-01-20,,18206.0,MIY,BLACKROCK MUNIYLD MI QLTY FD INC,6282.0
09254V10,10.59,10.64,2009-01-21,,18206.0,MIY,BLACKROCK MUNIYLD MI QLTY FD INC,6282.0
09254V10,10.46,10.6,2009-01-22,,18206.0,MIY,BLACKROCK MUNIYLD MI QLTY FD INC,6282.0
09254V10,10.38,10.41,2009-01-23,,18206.0,MIY,BLACKROCK MUNIYLD MI QLTY FD INC,6282.0
09254V10,10.47,10.38,2009-01-26,,18206.0,MIY,BLACKROCK MUNIYLD MI QLTY FD INC,6282.0
09254V10,10.68,10.45,2009-01-27,,18206.0,MIY,BLACKROCK MUNIYLD MI QLTY FD INC,6282.0
09254V10,10.6199,10.72,2009-01-28,,18206.0,MIY,BLACKROCK MUNIYLD MI QLTY FD INC,6282.0
09254V10,10.56,10.6,2009-01-29,,18206.0,MIY,BLACKROCK MUNIYLD MI QLTY FD INC,6282.0
09254V10,10.6,10.56,2009-01-30,,18206.0,MIY,BLACKROCK MUNIYLD MI QLTY FD INC,6282.0
09254V10,10.68,10.61,2009-02-02,,18206.0,MIY,BLACKROCK MUNIYLD MI QLTY FD INC,6282.0
09254V10,10.67,10.63,2009-02-03,,18206.0,MIY,BLACKROCK MUNIYLD MI QLTY FD INC,6282.0
09254V10,10.62,10.65,2009-02-04,,18206.0,MIY,BLACKROCK MUNIYLD MI QLTY FD INC,6282.0
09254V10,10.67,10.63,2009-02-05,,18206.0,MIY,BLACKROCK MUNIYLD MI QLTY FD INC,6282.0
09254V10,10.75,10.67,2009-02-06,,18206.0,MIY,BLACKROCK MUNIYLD MI QLTY FD INC,6282.0
09254V10,10.78,10.8,2009-02-09,,18206.0,MIY,BLACKROCK MUNIYLD MI QLTY FD INC,6282.0
09254V10,10.93,10.8,2009-02-10,,18206.0,MIY,BLACKROCK MUNIYLD MI QLTY FD INC,6282.0
09254V10,10.89,10.879,2009-02-11,,18206.0,MIY,BLACKROCK MUNIYLD MI QLTY FD INC,6282.0
09254V10,10.92,10.93,2009-02-12,,18206.0,MIY,BLACKROCK MUNIYLD MI QLTY FD INC,6282.0
09254V10,11.02,10.88,2009-02-13,,18206.0,MIY,BLACKROCK MUNIYLD MI QLTY FD INC,6282.0
