cusip,prc,openprc,date,numtrd,htick,hcomnam,hsiccd,numshr
55306N10,15.24,14.82,2009-01-02,1384,MKSI,M K S INSTRUMENTS INC,3820.0,215.0
55306N10,15.14,15.3,2009-01-05,1982,MKSI,M K S INSTRUMENTS INC,3820.0,215.0
55306N10,15.6,15.23,2009-01-06,3121,MKSI,M K S INSTRUMENTS INC,3820.0,215.0
55306N10,15.11,15.27,2009-01-07,1490,MKSI,M K S INSTRUMENTS INC,3820.0,215.0
55306N10,15.44,15.1,2009-01-08,1207,MKSI,M K S INSTRUMENTS INC,3820.0,215.0
55306N10,14.645,15.39,2009-01-09,3184,MKSI,M K S INSTRUMENTS INC,3820.0,215.0
55306N10,14.36,14.61,2009-01-12,1531,MKSI,M K S INSTRUMENTS INC,3820.0,215.0
55306N10,14.22,14.31,2009-01-13,1733,MKSI,M K S INSTRUMENTS INC,3820.0,215.0
55306N10,13.23,13.97,2009-01-14,2314,MKSI,M K S INSTRUMENTS INC,3820.0,215.0
55306N10,13.44,13.22,2009-01-15,1591,MKSI,M K S INSTRUMENTS INC,3820.0,215.0
55306N10,14.04,13.55,2009-01-16,2969,MKSI,M K S INSTRUMENTS INC,3820.0,215.0
55306N10,13.06,13.88,2009-01-20,3289,MKSI,M K S INSTRUMENTS INC,3820.0,215.0
55306N10,13.64,13.21,2009-01-21,3452,MKSI,M K S INSTRUMENTS INC,3820.0,215.0
55306N10,13.1,13.28,2009-01-22,1960,MKSI,M K S INSTRUMENTS INC,3820.0,215.0
55306N10,13.23,12.79,2009-01-23,3215,MKSI,M K S INSTRUMENTS INC,3820.0,215.0
55306N10,13.43,13.29,2009-01-26,1997,MKSI,M K S INSTRUMENTS INC,3820.0,215.0
55306N10,13.86,13.41,2009-01-27,1701,MKSI,M K S INSTRUMENTS INC,3820.0,215.0
55306N10,15.0,14.12,2009-01-28,3180,MKSI,M K S INSTRUMENTS INC,3820.0,215.0
55306N10,14.19,14.86,2009-01-29,1958,MKSI,M K S INSTRUMENTS INC,3820.0,215.0
55306N10,14.05,14.41,2009-01-30,2330,MKSI,M K S INSTRUMENTS INC,3820.0,215.0
55306N10,14.19,13.82,2009-02-02,2791,MKSI,M K S INSTRUMENTS INC,3820.0,215.0
55306N10,14.16,14.27,2009-02-03,2077,MKSI,M K S INSTRUMENTS INC,3820.0,215.0
55306N10,14.97,13.5,2009-02-04,4384,MKSI,M K S INSTRUMENTS INC,3820.0,215.0
55306N10,15.38,14.78,2009-02-05,3125,MKSI,M K S INSTRUMENTS INC,3820.0,215.0
55306N10,15.98,15.15,2009-02-06,3795,MKSI,M K S INSTRUMENTS INC,3820.0,215.0
55306N10,15.28,15.91,2009-02-09,3445,MKSI,M K S INSTRUMENTS INC,3820.0,215.0
