cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
57328410,101.34,98.75,2009-01-02,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,104.24,101.34,2009-01-05,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,102.0,105.49,2009-01-06,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,98.86,100.0,2009-01-07,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,99.92,98.85,2009-01-08,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,94.26,95.0,2009-01-09,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,87.88,94.48,2009-01-12,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,86.62,87.87,2009-01-13,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,83.44,85.44,2009-01-14,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,87.22,83.04,2009-01-15,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,88.79,89.12,2009-01-16,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,82.84,85.79,2009-01-20,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,83.28,84.38,2009-01-21,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,82.4,81.85,2009-01-22,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,81.79,80.0,2009-01-23,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,79.41,81.55,2009-01-26,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,81.5,80.17,2009-01-27,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,83.55,83.39,2009-01-28,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,81.72,82.77,2009-01-29,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,80.52,85.19,2009-01-30,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,80.96,79.27,2009-02-02,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,82.89,81.96,2009-02-03,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,83.62,83.48,2009-02-04,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,85.74,82.68,2009-02-05,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,85.55,85.54,2009-02-06,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,84.07,85.73,2009-02-09,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,82.76,83.59,2009-02-10,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,79.94,82.93,2009-02-11,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,81.87,79.98,2009-02-12,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,77.29,80.88,2009-02-13,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,73.01,74.41,2009-02-17,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,71.51,74.07,2009-02-18,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,69.69,72.18,2009-02-19,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,68.73,68.5,2009-02-20,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,68.37,69.07,2009-02-23,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,74.76,68.69,2009-02-24,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,74.77,74.02,2009-02-25,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,73.79,75.42,2009-02-26,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,76.56,72.9,2009-02-27,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,75.5,75.0,2009-03-02,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,71.99,75.92,2009-03-03,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,74.35,73.05,2009-03-04,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,71.27,72.94,2009-03-05,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,69.96,71.81,2009-03-06,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,70.25,69.41,2009-03-09,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,74.97,71.82,2009-03-10,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,75.96,75.16,2009-03-11,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,76.9,75.6,2009-03-12,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,76.66,77.32,2009-03-13,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,75.31,77.73,2009-03-16,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,79.08,75.48,2009-03-17,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,79.51,78.58,2009-03-18,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,78.32,80.13,2009-03-19,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,74.48,78.6,2009-03-20,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,77.78,76.19,2009-03-23,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,76.32,77.16,2009-03-24,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,80.5,77.64,2009-03-25,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,83.98,81.5,2009-03-26,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,81.63,82.66,2009-03-27,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,79.17,78.88,2009-03-30,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,79.3,80.33,2009-03-31,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,84.91,77.89,2009-04-01,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,90.94,86.4,2009-04-02,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,90.25,90.65,2009-04-03,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
57328410,87.88,89.43,2009-04-06,MLM,MARTIN MARIETTA MATERIALS INC,1423.0,368.0
