cusip,prc,openprc,date,numtrd,shrout,htick,hcomnam,hsiccd
61023610,24.34,25.59,2009-01-02,1492,19354.0,MNRO,MONRO INC,7530.0
61023610,23.99,24.51,2009-01-05,1593,19354.0,MNRO,MONRO INC,7530.0
61023610,24.19,24.07,2009-01-06,960,19354.0,MNRO,MONRO INC,7530.0
61023610,23.59,24.3,2009-01-07,1223,19354.0,MNRO,MONRO INC,7530.0
61023610,24.09,23.59,2009-01-08,1332,19354.0,MNRO,MONRO INC,7530.0
61023610,23.09,24.02,2009-01-09,781,19354.0,MNRO,MONRO INC,7530.0
61023610,22.4,22.99,2009-01-12,749,19354.0,MNRO,MONRO INC,7530.0
61023610,22.97,22.24,2009-01-13,564,19354.0,MNRO,MONRO INC,7530.0
61023610,22.05,22.62,2009-01-14,853,19354.0,MNRO,MONRO INC,7530.0
61023610,24.14,22.04,2009-01-15,746,19354.0,MNRO,MONRO INC,7530.0
61023610,23.99,24.34,2009-01-16,800,19354.0,MNRO,MONRO INC,7530.0
61023610,22.5,24.74,2009-01-20,1159,19354.0,MNRO,MONRO INC,7530.0
61023610,24.0,23.16,2009-01-21,1032,19354.0,MNRO,MONRO INC,7530.0
61023610,23.48,24.0,2009-01-22,700,19354.0,MNRO,MONRO INC,7530.0
61023610,23.51,23.01,2009-01-23,1062,19355.0,MNRO,MONRO INC,7530.0
61023610,24.03,23.69,2009-01-26,1069,19355.0,MNRO,MONRO INC,7530.0
61023610,24.12,24.17,2009-01-27,927,19355.0,MNRO,MONRO INC,7530.0
61023610,24.99,24.39,2009-01-28,1166,19355.0,MNRO,MONRO INC,7530.0
61023610,24.03,24.65,2009-01-29,1127,19355.0,MNRO,MONRO INC,7530.0
61023610,24.27,24.3,2009-01-30,977,19355.0,MNRO,MONRO INC,7530.0
61023610,24.89,24.15,2009-02-02,1089,19355.0,MNRO,MONRO INC,7530.0
61023610,24.28,25.0,2009-02-03,1014,19355.0,MNRO,MONRO INC,7530.0
61023610,24.27,24.28,2009-02-04,1843,19355.0,MNRO,MONRO INC,7530.0
61023610,24.87,24.19,2009-02-05,1221,19355.0,MNRO,MONRO INC,7530.0
61023610,25.36,24.97,2009-02-06,1139,19355.0,MNRO,MONRO INC,7530.0
61023610,24.95,25.4,2009-02-09,569,19355.0,MNRO,MONRO INC,7530.0
61023610,25.22,24.89,2009-02-10,1679,19355.0,MNRO,MONRO INC,7530.0
61023610,24.98,25.21,2009-02-11,1152,19355.0,MNRO,MONRO INC,7530.0
61023610,25.55,24.71,2009-02-12,1028,19355.0,MNRO,MONRO INC,7530.0
61023610,25.05,25.53,2009-02-13,746,19355.0,MNRO,MONRO INC,7530.0
61023610,24.39,24.63,2009-02-17,819,19355.0,MNRO,MONRO INC,7530.0
61023610,24.6,24.53,2009-02-18,836,19355.0,MNRO,MONRO INC,7530.0
61023610,24.81,24.86,2009-02-19,2111,19355.0,MNRO,MONRO INC,7530.0
61023610,24.86,24.52,2009-02-20,1013,19355.0,MNRO,MONRO INC,7530.0
61023610,24.12,24.95,2009-02-23,1064,19355.0,MNRO,MONRO INC,7530.0
61023610,23.83,24.3,2009-02-24,1048,19355.0,MNRO,MONRO INC,7530.0
61023610,22.82,23.64,2009-02-25,1660,19355.0,MNRO,MONRO INC,7530.0
61023610,22.95,22.88,2009-02-26,1678,19355.0,MNRO,MONRO INC,7530.0
61023610,23.53,22.75,2009-02-27,658,19355.0,MNRO,MONRO INC,7530.0
61023610,23.31,23.3,2009-03-02,1534,19355.0,MNRO,MONRO INC,7530.0
61023610,23.76,23.5,2009-03-03,1890,19355.0,MNRO,MONRO INC,7530.0
61023610,23.17,23.92,2009-03-04,1585,19355.0,MNRO,MONRO INC,7530.0
61023610,21.9,22.72,2009-03-05,1865,19355.0,MNRO,MONRO INC,7530.0
61023610,23.55,22.06,2009-03-06,1882,19355.0,MNRO,MONRO INC,7530.0
61023610,23.45,23.26,2009-03-09,1570,19355.0,MNRO,MONRO INC,7530.0
61023610,23.73,23.62,2009-03-10,2124,19355.0,MNRO,MONRO INC,7530.0
61023610,24.4,23.37,2009-03-11,1695,19355.0,MNRO,MONRO INC,7530.0
61023610,25.58,24.42,2009-03-12,1966,19355.0,MNRO,MONRO INC,7530.0
61023610,24.87,25.7,2009-03-13,1169,19355.0,MNRO,MONRO INC,7530.0
61023610,24.06,25.19,2009-03-16,1538,19355.0,MNRO,MONRO INC,7530.0
61023610,25.2,24.24,2009-03-17,1944,19355.0,MNRO,MONRO INC,7530.0
61023610,25.47,25.17,2009-03-18,2925,19355.0,MNRO,MONRO INC,7530.0
61023610,25.26,25.7,2009-03-19,1853,19355.0,MNRO,MONRO INC,7530.0
61023610,26.43,25.5,2009-03-20,2778,19355.0,MNRO,MONRO INC,7530.0
61023610,26.9,27.48,2009-03-23,2692,19355.0,MNRO,MONRO INC,7530.0
61023610,26.6,27.0,2009-03-24,2518,19355.0,MNRO,MONRO INC,7530.0
61023610,27.15,26.93,2009-03-25,3090,19355.0,MNRO,MONRO INC,7530.0
61023610,27.9,27.34,2009-03-26,3434,19355.0,MNRO,MONRO INC,7530.0
61023610,26.01,27.26,2009-03-27,2283,19418.0,MNRO,MONRO INC,7530.0
61023610,26.73,26.63,2009-03-30,2390,19418.0,MNRO,MONRO INC,7530.0
61023610,27.33,26.94,2009-03-31,2175,19418.0,MNRO,MONRO INC,7530.0
61023610,27.86,27.26,2009-04-01,2369,19418.0,MNRO,MONRO INC,7530.0
61023610,28.72,28.34,2009-04-02,2779,19418.0,MNRO,MONRO INC,7530.0
61023610,28.49,28.74,2009-04-03,1791,19418.0,MNRO,MONRO INC,7530.0
61023610,27.66,28.41,2009-04-06,1070,19418.0,MNRO,MONRO INC,7530.0
61023610,26.77,27.5,2009-04-07,1719,19418.0,MNRO,MONRO INC,7530.0
61023610,27.32,26.87,2009-04-08,1829,19418.0,MNRO,MONRO INC,7530.0
61023610,28.24,27.8,2009-04-09,1587,19418.0,MNRO,MONRO INC,7530.0
61023610,27.67,27.81,2009-04-13,1142,19418.0,MNRO,MONRO INC,7530.0
61023610,27.0,27.5,2009-04-14,1306,19418.0,MNRO,MONRO INC,7530.0
61023610,27.25,27.0,2009-04-15,1000,19418.0,MNRO,MONRO INC,7530.0
61023610,26.85,27.39,2009-04-16,2075,19418.0,MNRO,MONRO INC,7530.0
61023610,26.88,26.94,2009-04-17,984,19418.0,MNRO,MONRO INC,7530.0
61023610,25.45,26.48,2009-04-20,1814,19418.0,MNRO,MONRO INC,7530.0
61023610,25.8,25.15,2009-04-21,1652,19418.0,MNRO,MONRO INC,7530.0
61023610,25.99,26.0,2009-04-22,2508,19418.0,MNRO,MONRO INC,7530.0
61023610,25.43,26.09,2009-04-23,1346,19418.0,MNRO,MONRO INC,7530.0
61023610,25.75,25.78,2009-04-24,1065,19418.0,MNRO,MONRO INC,7530.0
61023610,24.18,25.35,2009-04-27,2487,19418.0,MNRO,MONRO INC,7530.0
61023610,23.76,23.97,2009-04-28,1085,19418.0,MNRO,MONRO INC,7530.0
61023610,26.13,24.55,2009-04-29,2811,19418.0,MNRO,MONRO INC,7530.0
61023610,24.97,26.13,2009-04-30,1705,19418.0,MNRO,MONRO INC,7530.0
61023610,24.61,24.9,2009-05-01,1888,19418.0,MNRO,MONRO INC,7530.0
61023610,25.13,24.02,2009-05-04,2434,19418.0,MNRO,MONRO INC,7530.0
61023610,24.59,25.12,2009-05-05,1239,19418.0,MNRO,MONRO INC,7530.0
61023610,24.41,24.75,2009-05-06,1246,19418.0,MNRO,MONRO INC,7530.0
61023610,24.35,24.6,2009-05-07,1377,19418.0,MNRO,MONRO INC,7530.0
61023610,24.02,24.5,2009-05-08,1390,19418.0,MNRO,MONRO INC,7530.0
61023610,24.05,23.93,2009-05-11,812,19418.0,MNRO,MONRO INC,7530.0
61023610,24.04,24.26,2009-05-12,813,19418.0,MNRO,MONRO INC,7530.0
61023610,23.97,23.67,2009-05-13,1292,19418.0,MNRO,MONRO INC,7530.0
61023610,24.86,23.97,2009-05-14,1866,19418.0,MNRO,MONRO INC,7530.0
61023610,26.64,24.85,2009-05-15,2341,19418.0,MNRO,MONRO INC,7530.0
61023610,26.93,27.12,2009-05-18,2233,19418.0,MNRO,MONRO INC,7530.0
61023610,26.77,26.94,2009-05-19,1738,19418.0,MNRO,MONRO INC,7530.0
61023610,27.08,27.0,2009-05-20,1593,19418.0,MNRO,MONRO INC,7530.0
61023610,27.22,27.23,2009-05-21,1085,19418.0,MNRO,MONRO INC,7530.0
61023610,27.07,27.47,2009-05-22,823,19418.0,MNRO,MONRO INC,7530.0
61023610,27.49,26.94,2009-05-26,1295,19418.0,MNRO,MONRO INC,7530.0
61023610,26.93,27.36,2009-05-27,2076,19418.0,MNRO,MONRO INC,7530.0
61023610,25.93,27.19,2009-05-28,5765,19418.0,MNRO,MONRO INC,7530.0
61023610,26.72,26.55,2009-05-29,2047,19437.0,MNRO,MONRO INC,7530.0
61023610,26.51,26.99,2009-06-01,2369,19437.0,MNRO,MONRO INC,7530.0
61023610,27.55,26.57,2009-06-02,2256,19437.0,MNRO,MONRO INC,7530.0
61023610,27.15,27.49,2009-06-03,1320,19437.0,MNRO,MONRO INC,7530.0
61023610,27.16,27.34,2009-06-04,1284,19437.0,MNRO,MONRO INC,7530.0
61023610,26.74,27.04,2009-06-05,2001,19437.0,MNRO,MONRO INC,7530.0
61023610,26.48,26.58,2009-06-08,1690,19437.0,MNRO,MONRO INC,7530.0
61023610,26.01,26.53,2009-06-09,2531,19437.0,MNRO,MONRO INC,7530.0
61023610,25.27,26.12,2009-06-10,2423,19437.0,MNRO,MONRO INC,7530.0
61023610,25.46,25.03,2009-06-11,2708,19437.0,MNRO,MONRO INC,7530.0
61023610,24.87,25.12,2009-06-12,2473,19437.0,MNRO,MONRO INC,7530.0
61023610,24.87,24.76,2009-06-15,2592,19437.0,MNRO,MONRO INC,7530.0
61023610,24.5,24.95,2009-06-16,3325,19437.0,MNRO,MONRO INC,7530.0
61023610,24.5,24.44,2009-06-17,1890,19437.0,MNRO,MONRO INC,7530.0
61023610,24.97,24.43,2009-06-18,3063,19437.0,MNRO,MONRO INC,7530.0
61023610,23.28,25.0,2009-06-19,7352,19437.0,MNRO,MONRO INC,7530.0
61023610,24.05,23.89,2009-06-22,6581,19437.0,MNRO,MONRO INC,7530.0
61023610,23.28,23.91,2009-06-23,6985,19437.0,MNRO,MONRO INC,7530.0
61023610,24.0,23.5,2009-06-24,5422,19437.0,MNRO,MONRO INC,7530.0
61023610,24.74,24.0,2009-06-25,5720,19437.0,MNRO,MONRO INC,7530.0
61023610,24.82,24.71,2009-06-26,4942,19485.0,MNRO,MONRO INC,7530.0
61023610,25.3,24.71,2009-06-29,3433,19485.0,MNRO,MONRO INC,7530.0
61023610,25.71,25.44,2009-06-30,5277,19485.0,MNRO,MONRO INC,7530.0
61023610,25.84,25.96,2009-07-01,3487,19485.0,MNRO,MONRO INC,7530.0
61023610,24.64,25.74,2009-07-02,6925,19485.0,MNRO,MONRO INC,7530.0
61023610,24.19,24.32,2009-07-06,4571,19485.0,MNRO,MONRO INC,7530.0
61023610,24.12,24.37,2009-07-07,3765,19485.0,MNRO,MONRO INC,7530.0
61023610,24.7,24.27,2009-07-08,5609,19485.0,MNRO,MONRO INC,7530.0
61023610,24.76,24.9,2009-07-09,4039,19485.0,MNRO,MONRO INC,7530.0
61023610,24.85,24.58,2009-07-10,2990,19485.0,MNRO,MONRO INC,7530.0
61023610,25.55,24.85,2009-07-13,4812,19485.0,MNRO,MONRO INC,7530.0
61023610,26.52,25.62,2009-07-14,3828,19485.0,MNRO,MONRO INC,7530.0
61023610,27.75,26.73,2009-07-15,6641,19485.0,MNRO,MONRO INC,7530.0
61023610,28.25,27.63,2009-07-16,3316,19485.0,MNRO,MONRO INC,7530.0
61023610,28.05,28.25,2009-07-17,2130,19485.0,MNRO,MONRO INC,7530.0
61023610,28.5,28.46,2009-07-20,4149,19485.0,MNRO,MONRO INC,7530.0
61023610,27.88,28.55,2009-07-21,3151,19485.0,MNRO,MONRO INC,7530.0
61023610,27.55,27.88,2009-07-22,3050,19485.0,MNRO,MONRO INC,7530.0
61023610,27.65,27.92,2009-07-23,6846,19485.0,MNRO,MONRO INC,7530.0
61023610,28.05,27.22,2009-07-24,3682,19514.0,MNRO,MONRO INC,7530.0
61023610,27.28,27.78,2009-07-27,4011,19514.0,MNRO,MONRO INC,7530.0
61023610,26.6,27.43,2009-07-28,3582,19514.0,MNRO,MONRO INC,7530.0
61023610,26.06,26.36,2009-07-29,4363,19514.0,MNRO,MONRO INC,7530.0
61023610,26.61,26.46,2009-07-30,4766,19514.0,MNRO,MONRO INC,7530.0
61023610,26.59,26.5,2009-07-31,1850,19514.0,MNRO,MONRO INC,7530.0
