cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
58937810,6.65,6.32,2009-01-02,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,6.28,6.68,2009-01-05,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,6.3,6.34,2009-01-06,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,5.9,6.2,2009-01-07,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,6.11,5.9,2009-01-08,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,5.54,6.09,2009-01-09,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,5.53,5.53,2009-01-12,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,5.47,5.52,2009-01-13,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,5.24,5.4,2009-01-14,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,5.66,5.24,2009-01-15,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,5.49,5.68,2009-01-16,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,5.25,5.41,2009-01-20,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,5.5,5.32,2009-01-21,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,5.44,5.37,2009-01-22,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,5.39,5.25,2009-01-23,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,5.53,5.38,2009-01-26,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,5.51,5.54,2009-01-27,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,6.13,5.83,2009-01-28,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,5.99,6.02,2009-01-29,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,5.97,6.05,2009-01-30,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,6.51,5.95,2009-02-02,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,6.9,6.5,2009-02-03,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,6.85,6.88,2009-02-04,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,6.92,6.78,2009-02-05,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,7.13,6.92,2009-02-06,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,6.89,7.09,2009-02-09,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,6.79,6.81,2009-02-10,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,6.79,6.84,2009-02-11,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,6.91,6.63,2009-02-12,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,6.77,6.9,2009-02-13,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,6.62,6.45,2009-02-17,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,6.37,6.62,2009-02-18,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,6.39,6.45,2009-02-19,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,6.49,6.27,2009-02-20,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,6.37,6.41,2009-02-23,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,6.53,6.47,2009-02-24,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,6.39,6.5,2009-02-25,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,6.35,6.45,2009-02-26,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,6.2,6.21,2009-02-27,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,5.85,6.03,2009-03-02,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,5.51,5.96,2009-03-03,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,5.94,5.62,2009-03-04,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,4.83,5.74,2009-03-05,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,5.05,4.9,2009-03-06,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,4.44,4.97,2009-03-09,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,4.87,4.17,2009-03-10,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,4.99,4.92,2009-03-11,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,5.39,4.95,2009-03-12,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,5.35,5.41,2009-03-13,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,5.16,5.42,2009-03-16,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,5.2,5.14,2009-03-17,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,5.04,5.19,2009-03-18,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,4.78,5.11,2009-03-19,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,4.91,5.0,2009-03-20,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,5.5,5.1,2009-03-23,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,5.02,5.38,2009-03-24,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,5.26,5.06,2009-03-25,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,5.63,5.33,2009-03-26,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,5.71,5.51,2009-03-27,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,5.38,5.53,2009-03-30,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,5.53,5.52,2009-03-31,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,5.78,5.39,2009-04-01,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,6.44,5.97,2009-04-02,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,6.7,6.4,2009-04-03,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,6.78,6.57,2009-04-06,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,6.06,6.64,2009-04-07,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,6.55,6.1,2009-04-08,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,7.21,6.73,2009-04-09,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,6.89,7.08,2009-04-13,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,6.88,6.73,2009-04-14,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,6.99,6.8,2009-04-15,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,7.38,7.05,2009-04-16,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,7.34,7.41,2009-04-17,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,6.52,7.17,2009-04-20,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,7.29,6.47,2009-04-21,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,6.79,7.12,2009-04-22,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,6.41,6.79,2009-04-23,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,6.86,6.42,2009-04-24,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,6.41,6.69,2009-04-27,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,6.69,6.05,2009-04-28,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,8.06,7.29,2009-04-29,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,8.12,8.13,2009-04-30,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,8.39,8.06,2009-05-01,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,10.07,8.5,2009-05-04,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,9.48,10.0,2009-05-05,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,9.32,9.58,2009-05-06,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,8.86,9.45,2009-05-07,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,8.98,9.06,2009-05-08,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,8.89,8.72,2009-05-11,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,8.53,8.94,2009-05-12,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,8.0,8.39,2009-05-13,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,8.28,8.07,2009-05-14,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,8.14,8.27,2009-05-15,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,8.06,8.21,2009-05-18,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,8.39,7.83,2009-05-19,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,8.02,8.43,2009-05-20,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,7.87,7.91,2009-05-21,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,7.88,7.91,2009-05-22,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,8.16,7.76,2009-05-26,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,7.65,8.06,2009-05-27,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,7.57,7.73,2009-05-28,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,7.54,7.62,2009-05-29,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,8.35,7.89,2009-06-01,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,9.09,8.27,2009-06-02,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,8.88,8.82,2009-06-03,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,8.91,8.92,2009-06-04,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,9.67,9.01,2009-06-05,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,8.85,9.32,2009-06-08,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,8.84,8.95,2009-06-09,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,8.98,8.91,2009-06-10,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,8.91,8.99,2009-06-11,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,8.71,8.83,2009-06-12,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,8.23,8.61,2009-06-15,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,8.05,8.22,2009-06-16,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,8.02,8.05,2009-06-17,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,8.0,7.98,2009-06-18,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,9.0,8.19,2009-06-19,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,8.09,8.96,2009-06-22,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,8.22,8.14,2009-06-23,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,8.48,8.34,2009-06-24,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,8.9,8.42,2009-06-25,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,8.98,8.81,2009-06-26,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,9.41,8.98,2009-06-29,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,9.25,9.42,2009-06-30,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,9.53,9.37,2009-07-01,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,9.04,9.34,2009-07-02,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,10.39,9.49,2009-07-06,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,10.14,10.43,2009-07-07,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,10.12,10.15,2009-07-08,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,10.2,10.18,2009-07-09,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,10.6,10.15,2009-07-10,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,11.15,10.69,2009-07-13,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,11.23,11.05,2009-07-14,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
58937810,11.59,11.43,2009-07-15,MRCY,MERCURY SYSTEMS INC,3670.0,227.0
