cusip,prc,openprc,date,numtrd,htick,hcomnam,hsiccd,numshr
55349810,24.21,24.07,2009-01-02,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,23.99,24.11,2009-01-05,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,23.89,24.13,2009-01-06,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,23.27,23.44,2009-01-07,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,22.5,22.92,2009-01-08,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,21.53,22.41,2009-01-09,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,20.82,21.22,2009-01-12,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,20.83,20.83,2009-01-13,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,20.39,20.67,2009-01-14,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,20.25,20.47,2009-01-15,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,20.64,20.55,2009-01-16,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,19.52,20.73,2009-01-20,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,20.65,19.7,2009-01-21,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,19.8,19.9,2009-01-22,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,19.8,19.29,2009-01-23,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,19.88,19.67,2009-01-26,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,20.15,19.88,2009-01-27,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,21.21,20.39,2009-01-28,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,20.25,20.96,2009-01-29,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,19.62,20.41,2009-01-30,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,19.85,19.21,2009-02-02,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,19.97,20.0,2009-02-03,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,19.98,19.92,2009-02-04,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,20.36,19.95,2009-02-05,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,20.84,20.25,2009-02-06,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,20.16,20.77,2009-02-09,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,19.51,20.06,2009-02-10,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,19.86,19.59,2009-02-11,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,19.76,19.7,2009-02-12,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,19.88,19.9,2009-02-13,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,19.0,19.5,2009-02-17,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,18.87,19.06,2009-02-18,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,18.14,18.95,2009-02-19,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,18.77,17.85,2009-02-20,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,17.83,18.81,2009-02-23,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,18.43,18.1,2009-02-24,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,17.15,18.37,2009-02-25,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,18.31,17.41,2009-02-26,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,18.25,18.0,2009-02-27,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,16.66,17.66,2009-03-02,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,16.19,16.73,2009-03-03,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,16.99,16.35,2009-03-04,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,16.34,16.84,2009-03-05,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,16.55,16.5,2009-03-06,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,15.97,16.21,2009-03-09,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,16.57,16.39,2009-03-10,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,16.57,16.62,2009-03-11,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,17.12,16.43,2009-03-12,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,17.79,17.21,2009-03-13,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,17.99,18.0,2009-03-16,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,18.83,17.92,2009-03-17,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,19.44,18.71,2009-03-18,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,19.13,19.56,2009-03-19,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,18.9,19.16,2009-03-20,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,20.56,19.3,2009-03-23,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,19.41,20.26,2009-03-24,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,20.19,19.63,2009-03-25,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,21.21,20.66,2009-03-26,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,20.33,20.83,2009-03-27,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,19.3,19.92,2009-03-30,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,20.02,19.56,2009-03-31,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,20.06,19.59,2009-04-01,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,21.79,20.39,2009-04-02,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,21.63,21.69,2009-04-03,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,21.52,21.44,2009-04-06,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,21.1,21.25,2009-04-07,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,21.69,21.34,2009-04-08,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,23.52,22.26,2009-04-09,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,22.58,23.16,2009-04-13,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,22.27,22.2,2009-04-14,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,23.01,22.06,2009-04-15,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,23.39,23.0,2009-04-16,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,23.97,23.46,2009-04-17,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,22.94,23.42,2009-04-20,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,24.14,22.92,2009-04-21,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,24.05,23.84,2009-04-22,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,23.64,24.18,2009-04-23,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,24.59,23.82,2009-04-24,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,24.41,24.15,2009-04-27,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,24.8,24.12,2009-04-28,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,25.36,25.11,2009-04-29,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,24.65,25.48,2009-04-30,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,23.6,24.4,2009-05-01,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,23.98,23.88,2009-05-04,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,23.25,23.85,2009-05-05,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,23.22,23.38,2009-05-06,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,22.9,23.53,2009-05-07,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,23.34,23.28,2009-05-08,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,22.64,22.94,2009-05-11,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,22.67,22.71,2009-05-12,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,21.61,22.44,2009-05-13,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,21.94,21.71,2009-05-14,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,21.71,21.88,2009-05-15,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,22.43,22.05,2009-05-18,,MSA,M S A SAFETY INC,3842.0,386.0
55349810,22.48,22.25,2009-05-19,,MSA,M S A SAFETY INC,3842.0,386.0
