cusip,prc,openprc,date,numtrd,htick,hcomnam,hsiccd,numshr
55616P10,10.98,10.44,2009-01-02,,M,MACYS INC,5311.0,377.0
55616P10,11.66,10.8,2009-01-05,,M,MACYS INC,5311.0,377.0
55616P10,11.69,11.69,2009-01-06,,M,MACYS INC,5311.0,377.0
55616P10,11.31,11.45,2009-01-07,,M,MACYS INC,5311.0,377.0
55616P10,10.93,10.94,2009-01-08,,M,MACYS INC,5311.0,377.0
55616P10,10.3,10.81,2009-01-09,,M,MACYS INC,5311.0,377.0
55616P10,9.93,10.06,2009-01-12,,M,MACYS INC,5311.0,377.0
55616P10,10.05,9.88,2009-01-13,,M,MACYS INC,5311.0,377.0
55616P10,9.47,9.82,2009-01-14,,M,MACYS INC,5311.0,377.0
55616P10,9.74,9.48,2009-01-15,,M,MACYS INC,5311.0,377.0
55616P10,9.76,10.05,2009-01-16,,M,MACYS INC,5311.0,377.0
55616P10,8.73,9.76,2009-01-20,,M,MACYS INC,5311.0,377.0
55616P10,9.26,8.94,2009-01-21,,M,MACYS INC,5311.0,377.0
55616P10,9.39,9.49,2009-01-22,,M,MACYS INC,5311.0,377.0
55616P10,9.65,9.01,2009-01-23,,M,MACYS INC,5311.0,377.0
55616P10,9.73,9.65,2009-01-26,,M,MACYS INC,5311.0,377.0
55616P10,9.57,9.58,2009-01-27,,M,MACYS INC,5311.0,377.0
55616P10,10.04,9.77,2009-01-28,,M,MACYS INC,5311.0,377.0
55616P10,9.41,9.84,2009-01-29,,M,MACYS INC,5311.0,377.0
55616P10,8.95,9.46,2009-01-30,,M,MACYS INC,5311.0,377.0
55616P10,8.59,8.7,2009-02-02,,M,MACYS INC,5311.0,377.0
55616P10,8.83,8.41,2009-02-03,,M,MACYS INC,5311.0,377.0
55616P10,8.32,8.72,2009-02-04,,M,MACYS INC,5311.0,377.0
55616P10,8.75,8.67,2009-02-05,,M,MACYS INC,5311.0,377.0
55616P10,9.7,8.86,2009-02-06,,M,MACYS INC,5311.0,377.0
55616P10,9.46,9.7,2009-02-09,,M,MACYS INC,5311.0,377.0
55616P10,8.78,9.35,2009-02-10,,M,MACYS INC,5311.0,377.0
55616P10,8.5,8.87,2009-02-11,,M,MACYS INC,5311.0,377.0
55616P10,8.71,8.44,2009-02-12,,M,MACYS INC,5311.0,377.0
55616P10,8.63,8.85,2009-02-13,,M,MACYS INC,5311.0,377.0
55616P10,8.08,8.06,2009-02-17,,M,MACYS INC,5311.0,377.0
55616P10,7.89,8.17,2009-02-18,,M,MACYS INC,5311.0,377.0
55616P10,7.66,8.11,2009-02-19,,M,MACYS INC,5311.0,377.0
55616P10,7.86,7.55,2009-02-20,,M,MACYS INC,5311.0,377.0
55616P10,7.4,8.0,2009-02-23,,M,MACYS INC,5311.0,377.0
55616P10,8.29,7.51,2009-02-24,,M,MACYS INC,5311.0,377.0
55616P10,8.1,8.24,2009-02-25,,M,MACYS INC,5311.0,377.0
55616P10,7.84,8.21,2009-02-26,,M,MACYS INC,5311.0,377.0
55616P10,7.87,7.62,2009-02-27,,M,MACYS INC,5311.0,377.0
55616P10,7.37,7.57,2009-03-02,,M,MACYS INC,5311.0,377.0
55616P10,7.18,7.4,2009-03-03,,M,MACYS INC,5311.0,377.0
55616P10,7.35,7.48,2009-03-04,,M,MACYS INC,5311.0,377.0
55616P10,6.58,7.12,2009-03-05,,M,MACYS INC,5311.0,377.0
55616P10,6.94,7.05,2009-03-06,,M,MACYS INC,5311.0,377.0
55616P10,6.8,6.82,2009-03-09,,M,MACYS INC,5311.0,377.0
55616P10,7.36,7.0,2009-03-10,,M,MACYS INC,5311.0,377.0
55616P10,7.85,7.44,2009-03-11,,M,MACYS INC,5311.0,377.0
55616P10,8.32,7.84,2009-03-12,,M,MACYS INC,5311.0,377.0
55616P10,8.33,8.21,2009-03-13,,M,MACYS INC,5311.0,377.0
55616P10,7.91,8.47,2009-03-16,,M,MACYS INC,5311.0,377.0
55616P10,8.35,7.96,2009-03-17,,M,MACYS INC,5311.0,377.0
55616P10,9.09,8.07,2009-03-18,,M,MACYS INC,5311.0,377.0
55616P10,8.76,9.19,2009-03-19,,M,MACYS INC,5311.0,377.0
55616P10,8.0,8.78,2009-03-20,,M,MACYS INC,5311.0,377.0
55616P10,8.86,8.47,2009-03-23,,M,MACYS INC,5311.0,377.0
55616P10,9.07,8.72,2009-03-24,,M,MACYS INC,5311.0,377.0
55616P10,8.77,9.14,2009-03-25,,M,MACYS INC,5311.0,377.0
55616P10,9.66,8.99,2009-03-26,,M,MACYS INC,5311.0,377.0
55616P10,9.71,9.47,2009-03-27,,M,MACYS INC,5311.0,377.0
55616P10,8.91,9.43,2009-03-30,,M,MACYS INC,5311.0,377.0
55616P10,8.9,9.01,2009-03-31,,M,MACYS INC,5311.0,377.0
55616P10,9.03,8.35,2009-04-01,,M,MACYS INC,5311.0,377.0
55616P10,10.18,9.33,2009-04-02,,M,MACYS INC,5311.0,377.0
55616P10,10.36,10.0,2009-04-03,,M,MACYS INC,5311.0,377.0
55616P10,9.95,10.28,2009-04-06,,M,MACYS INC,5311.0,377.0
55616P10,9.7,9.73,2009-04-07,,M,MACYS INC,5311.0,377.0
55616P10,10.32,9.79,2009-04-08,,M,MACYS INC,5311.0,377.0
55616P10,11.88,10.51,2009-04-09,,M,MACYS INC,5311.0,377.0
55616P10,12.93,11.75,2009-04-13,,M,MACYS INC,5311.0,377.0
55616P10,11.99,12.18,2009-04-14,,M,MACYS INC,5311.0,377.0
55616P10,11.56,11.88,2009-04-15,,M,MACYS INC,5311.0,377.0
55616P10,12.52,11.7,2009-04-16,,M,MACYS INC,5311.0,377.0
55616P10,13.1,12.39,2009-04-17,,M,MACYS INC,5311.0,377.0
55616P10,11.87,12.51,2009-04-20,,M,MACYS INC,5311.0,377.0
55616P10,12.5,11.86,2009-04-21,,M,MACYS INC,5311.0,377.0
55616P10,12.69,12.25,2009-04-22,,M,MACYS INC,5311.0,377.0
55616P10,12.62,12.76,2009-04-23,,M,MACYS INC,5311.0,377.0
55616P10,13.23,12.75,2009-04-24,,M,MACYS INC,5311.0,377.0
55616P10,12.9,12.97,2009-04-27,,M,MACYS INC,5311.0,377.0
55616P10,12.58,12.54,2009-04-28,,M,MACYS INC,5311.0,377.0
55616P10,12.97,12.24,2009-04-29,,M,MACYS INC,5311.0,377.0
55616P10,13.68,13.17,2009-04-30,,M,MACYS INC,5311.0,377.0
55616P10,13.51,13.66,2009-05-01,,M,MACYS INC,5311.0,377.0
55616P10,14.76,13.68,2009-05-04,,M,MACYS INC,5311.0,377.0
55616P10,14.6,14.69,2009-05-05,,M,MACYS INC,5311.0,377.0
55616P10,13.73,14.87,2009-05-06,,M,MACYS INC,5311.0,377.0
55616P10,12.82,14.12,2009-05-07,,M,MACYS INC,5311.0,377.0
55616P10,12.83,12.98,2009-05-08,,M,MACYS INC,5311.0,377.0
55616P10,12.69,12.46,2009-05-11,,M,MACYS INC,5311.0,377.0
55616P10,12.35,12.82,2009-05-12,,M,MACYS INC,5311.0,377.0
55616P10,11.52,12.0,2009-05-13,,M,MACYS INC,5311.0,377.0
55616P10,11.32,11.66,2009-05-14,,M,MACYS INC,5311.0,377.0
55616P10,11.33,11.33,2009-05-15,,M,MACYS INC,5311.0,377.0
55616P10,12.14,12.08,2009-05-18,,M,MACYS INC,5311.0,377.0
55616P10,12.31,12.26,2009-05-19,,M,MACYS INC,5311.0,377.0
55616P10,11.86,12.53,2009-05-20,,M,MACYS INC,5311.0,377.0
55616P10,11.28,11.65,2009-05-21,,M,MACYS INC,5311.0,377.0
55616P10,11.19,11.4,2009-05-22,,M,MACYS INC,5311.0,377.0
55616P10,11.85,11.0,2009-05-26,,M,MACYS INC,5311.0,377.0
55616P10,11.56,11.71,2009-05-27,,M,MACYS INC,5311.0,377.0
55616P10,11.17,11.72,2009-05-28,,M,MACYS INC,5311.0,377.0
55616P10,11.68,11.38,2009-05-29,,M,MACYS INC,5311.0,377.0
55616P10,13.44,11.9,2009-06-01,,M,MACYS INC,5311.0,377.0
55616P10,13.87,13.25,2009-06-02,,M,MACYS INC,5311.0,377.0
55616P10,13.32,13.67,2009-06-03,,M,MACYS INC,5311.0,377.0
55616P10,12.88,13.18,2009-06-04,,M,MACYS INC,5311.0,377.0
55616P10,12.81,13.33,2009-06-05,,M,MACYS INC,5311.0,377.0
55616P10,12.77,12.5,2009-06-08,,M,MACYS INC,5311.0,377.0
55616P10,12.82,12.82,2009-06-09,,M,MACYS INC,5311.0,377.0
55616P10,12.63,12.99,2009-06-10,,M,MACYS INC,5311.0,377.0
55616P10,12.0,12.62,2009-06-11,,M,MACYS INC,5311.0,377.0
55616P10,12.53,11.99,2009-06-12,,M,MACYS INC,5311.0,377.0
55616P10,11.92,12.27,2009-06-15,,M,MACYS INC,5311.0,377.0
55616P10,11.25,11.98,2009-06-16,,M,MACYS INC,5311.0,377.0
55616P10,11.23,11.18,2009-06-17,,M,MACYS INC,5311.0,377.0
55616P10,10.63,11.27,2009-06-18,,M,MACYS INC,5311.0,377.0
55616P10,11.39,10.7,2009-06-19,,M,MACYS INC,5311.0,377.0
55616P10,11.37,11.09,2009-06-22,,M,MACYS INC,5311.0,377.0
55616P10,10.89,11.37,2009-06-23,,M,MACYS INC,5311.0,377.0
55616P10,11.39,11.01,2009-06-24,,M,MACYS INC,5311.0,377.0
55616P10,11.83,11.27,2009-06-25,,M,MACYS INC,5311.0,377.0
55616P10,11.67,11.89,2009-06-26,,M,MACYS INC,5311.0,377.0
55616P10,11.94,11.74,2009-06-29,,M,MACYS INC,5311.0,377.0
55616P10,11.76,11.96,2009-06-30,,M,MACYS INC,5311.0,377.0
55616P10,11.74,11.89,2009-07-01,,M,MACYS INC,5311.0,377.0
55616P10,11.0,11.5,2009-07-02,,M,MACYS INC,5311.0,377.0
55616P10,11.06,10.86,2009-07-06,,M,MACYS INC,5311.0,377.0
55616P10,10.79,11.07,2009-07-07,,M,MACYS INC,5311.0,377.0
55616P10,10.69,10.85,2009-07-08,,M,MACYS INC,5311.0,377.0
55616P10,10.63,10.75,2009-07-09,,M,MACYS INC,5311.0,377.0
55616P10,10.61,10.6,2009-07-10,,M,MACYS INC,5311.0,377.0
55616P10,10.65,10.69,2009-07-13,,M,MACYS INC,5311.0,377.0
