cusip,prc,openprc,date,numtrd,shrout,htick,hcomnam,hsiccd
63886Q10,10.51,10.24,2009-01-02,,12094.0,NGS,NATURAL GAS SERVICES GROUP INC,1389.0
63886Q10,11.8,10.52,2009-01-05,,12094.0,NGS,NATURAL GAS SERVICES GROUP INC,1389.0
63886Q10,12.42,12.29,2009-01-06,,12094.0,NGS,NATURAL GAS SERVICES GROUP INC,1389.0
63886Q10,11.98,12.46,2009-01-07,,12094.0,NGS,NATURAL GAS SERVICES GROUP INC,1389.0
63886Q10,12.6,11.57,2009-01-08,,12094.0,NGS,NATURAL GAS SERVICES GROUP INC,1389.0
63886Q10,11.45,13.09,2009-01-09,,12094.0,NGS,NATURAL GAS SERVICES GROUP INC,1389.0
63886Q10,11.21,11.1,2009-01-12,,12094.0,NGS,NATURAL GAS SERVICES GROUP INC,1389.0
63886Q10,11.29,11.2,2009-01-13,,12094.0,NGS,NATURAL GAS SERVICES GROUP INC,1389.0
63886Q10,10.65,11.06,2009-01-14,,12094.0,NGS,NATURAL GAS SERVICES GROUP INC,1389.0
63886Q10,10.08,10.3,2009-01-15,,12094.0,NGS,NATURAL GAS SERVICES GROUP INC,1389.0
63886Q10,9.33,10.24,2009-01-16,,12094.0,NGS,NATURAL GAS SERVICES GROUP INC,1389.0
63886Q10,8.17,9.2,2009-01-20,,12094.0,NGS,NATURAL GAS SERVICES GROUP INC,1389.0
63886Q10,9.46,8.29,2009-01-21,,12094.0,NGS,NATURAL GAS SERVICES GROUP INC,1389.0
63886Q10,8.28,9.17,2009-01-22,,12094.0,NGS,NATURAL GAS SERVICES GROUP INC,1389.0
63886Q10,8.13,8.26,2009-01-23,,12094.0,NGS,NATURAL GAS SERVICES GROUP INC,1389.0
63886Q10,8.55,8.25,2009-01-26,,12094.0,NGS,NATURAL GAS SERVICES GROUP INC,1389.0
63886Q10,9.43,8.56,2009-01-27,,12094.0,NGS,NATURAL GAS SERVICES GROUP INC,1389.0
63886Q10,10.67,9.42,2009-01-28,,12094.0,NGS,NATURAL GAS SERVICES GROUP INC,1389.0
63886Q10,9.04,10.44,2009-01-29,,12094.0,NGS,NATURAL GAS SERVICES GROUP INC,1389.0
63886Q10,8.55,9.18,2009-01-30,,12094.0,NGS,NATURAL GAS SERVICES GROUP INC,1389.0
63886Q10,9.23,8.52,2009-02-02,,12094.0,NGS,NATURAL GAS SERVICES GROUP INC,1389.0
63886Q10,9.2,9.3,2009-02-03,,12094.0,NGS,NATURAL GAS SERVICES GROUP INC,1389.0
63886Q10,8.92,9.19,2009-02-04,,12094.0,NGS,NATURAL GAS SERVICES GROUP INC,1389.0
63886Q10,9.17,8.86,2009-02-05,,12094.0,NGS,NATURAL GAS SERVICES GROUP INC,1389.0
63886Q10,9.54,8.87,2009-02-06,,12094.0,NGS,NATURAL GAS SERVICES GROUP INC,1389.0
63886Q10,9.33,9.0,2009-02-09,,12094.0,NGS,NATURAL GAS SERVICES GROUP INC,1389.0
63886Q10,8.51,9.29,2009-02-10,,12094.0,NGS,NATURAL GAS SERVICES GROUP INC,1389.0
63886Q10,8.9,8.615,2009-02-11,,12094.0,NGS,NATURAL GAS SERVICES GROUP INC,1389.0
63886Q10,9.38,8.58,2009-02-12,,12094.0,NGS,NATURAL GAS SERVICES GROUP INC,1389.0
63886Q10,8.83,9.42,2009-02-13,,12094.0,NGS,NATURAL GAS SERVICES GROUP INC,1389.0
63886Q10,8.08,8.69,2009-02-17,,12094.0,NGS,NATURAL GAS SERVICES GROUP INC,1389.0
63886Q10,8.06,8.27,2009-02-18,,12094.0,NGS,NATURAL GAS SERVICES GROUP INC,1389.0
63886Q10,7.97,8.06,2009-02-19,,12094.0,NGS,NATURAL GAS SERVICES GROUP INC,1389.0
63886Q10,7.85,7.83,2009-02-20,,12094.0,NGS,NATURAL GAS SERVICES GROUP INC,1389.0
