cusip,prc,openprc,date,numtrd,shrout,htick,hcomnam,hsiccd
67061E10,10.02,9.76,2009-01-02,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,10.51,10.1,2009-01-05,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,10.87,10.53,2009-01-06,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,10.74,10.83,2009-01-07,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,11.0,10.89,2009-01-08,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,11.21,11.0,2009-01-09,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,11.21,11.3,2009-01-12,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,11.31,11.25,2009-01-13,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,10.98,11.16,2009-01-14,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,11.09,10.89,2009-01-15,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,11.25,11.12,2009-01-16,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,11.65,11.22,2009-01-20,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,11.49,12.2,2009-01-21,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,11.19,11.48,2009-01-22,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,11.74,11.05,2009-01-23,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,11.688,11.69,2009-01-26,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,11.4124,11.59,2009-01-27,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,11.58,11.48,2009-01-28,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,11.7,11.6,2009-01-29,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,11.7257,11.7,2009-01-30,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,11.77,11.73,2009-02-02,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,11.7,11.8,2009-02-03,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,11.9799,11.97,2009-02-04,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,11.82,11.84,2009-02-05,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,12.0,11.89,2009-02-06,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,12.0,11.9,2009-02-09,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,11.89,11.93,2009-02-10,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,12.0,11.86,2009-02-11,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,12.23,12.0,2009-02-12,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,12.08,12.25,2009-02-13,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,12.49,12.05,2009-02-17,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,12.21,12.49,2009-02-18,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,12.2,12.22,2009-02-19,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,12.15,12.09,2009-02-20,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,12.19,12.28,2009-02-23,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,12.05,12.12,2009-02-24,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,12.2,12.5,2009-02-25,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,12.41,12.08,2009-02-26,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,12.38,12.34,2009-02-27,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,11.662,12.23,2009-03-02,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,11.6,11.64,2009-03-03,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,11.6499,11.5,2009-03-04,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,11.57,11.5,2009-03-05,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
67061E10,11.5,11.62,2009-03-06,,4763.0,NMT,NUVEEN MA QUALITY MUNI INCOME FD,6726.0
