cusip,prc,openprc,date,numtrd,htick,hcomnam,hsiccd,numshr
66680710,46.6,45.71,2009-01-02,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,49.3,46.87,2009-01-05,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,48.49,49.66,2009-01-06,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,47.16,48.17,2009-01-07,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,48.25,46.9,2009-01-08,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,47.38,48.41,2009-01-09,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,47.52,47.19,2009-01-12,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,47.32,47.28,2009-01-13,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,46.71,46.74,2009-01-14,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,46.75,46.71,2009-01-15,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,48.63,47.46,2009-01-16,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,46.96,48.53,2009-01-20,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,47.98,47.31,2009-01-21,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,48.08,46.11,2009-01-22,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,47.11,47.5,2009-01-23,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,48.31,46.98,2009-01-26,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,48.92,48.64,2009-01-27,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,49.72,50.0,2009-01-28,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,48.45,49.29,2009-01-29,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,48.12,48.61,2009-01-30,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,46.61,46.69,2009-02-02,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,48.58,47.32,2009-02-03,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,47.91,47.06,2009-02-04,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,47.92,47.78,2009-02-05,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,46.18,47.91,2009-02-06,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,46.4,46.87,2009-02-09,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,44.54,45.8,2009-02-10,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,45.06,44.5,2009-02-11,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,46.36,45.37,2009-02-12,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,47.19,46.32,2009-02-13,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,44.99,46.0,2009-02-17,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,45.49,45.18,2009-02-18,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,45.46,45.76,2009-02-19,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,44.43,45.22,2009-02-20,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,42.29,44.45,2009-02-23,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,43.08,42.54,2009-02-24,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,40.99,42.96,2009-02-25,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,39.42,41.28,2009-02-26,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,37.36,38.69,2009-02-27,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,35.45,36.63,2009-03-02,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,35.23,35.8,2009-03-03,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,36.33,35.49,2009-03-04,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,34.99,35.7,2009-03-05,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,34.54,35.22,2009-03-06,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,34.35,34.72,2009-03-09,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,35.64,34.98,2009-03-10,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,34.92,35.94,2009-03-11,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,36.45,34.94,2009-03-12,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,36.57,36.68,2009-03-13,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,38.25,36.64,2009-03-16,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,38.39,38.44,2009-03-17,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,38.82,38.25,2009-03-18,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,38.81,39.27,2009-03-19,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,38.32,38.67,2009-03-20,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,40.88,39.11,2009-03-23,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,42.22,40.53,2009-03-24,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,43.45,42.24,2009-03-25,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,45.73,43.53,2009-03-26,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,45.02,45.26,2009-03-27,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,43.49,44.12,2009-03-30,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,43.64,43.92,2009-03-31,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,44.62,43.04,2009-04-01,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,45.66,45.51,2009-04-02,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,43.98,45.62,2009-04-03,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,47.94,43.69,2009-04-06,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,45.84,47.31,2009-04-07,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,45.06,45.92,2009-04-08,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,44.74,46.41,2009-04-09,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,45.01,44.84,2009-04-13,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,44.95,44.72,2009-04-14,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,45.6,45.19,2009-04-15,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,47.19,45.76,2009-04-16,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,47.81,47.35,2009-04-17,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,47.0,47.2,2009-04-20,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,47.88,46.88,2009-04-21,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,47.78,47.6,2009-04-22,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,48.87,48.02,2009-04-23,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,48.86,49.0,2009-04-24,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,48.79,48.49,2009-04-27,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,48.27,48.4,2009-04-28,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,48.63,48.46,2009-04-29,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,48.35,48.92,2009-04-30,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,49.34,48.34,2009-05-01,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
66680710,49.98,49.22,2009-05-04,,NOC,NORTHROP GRUMMAN CORP,3812.0,466.0
