cusip,prc,openprc,date,numtrd,shrout,htick,hcomnam,hsiccd
68236P10,17.47,16.86,2009-01-02,1389,36392.0,ONCT,ONCTERNAL THERAPEUTICS INC,2834.0
68236P10,17.75,17.51,2009-01-05,1646,36392.0,ONCT,ONCTERNAL THERAPEUTICS INC,2834.0
68236P10,17.07,17.91,2009-01-06,1509,36392.0,ONCT,ONCTERNAL THERAPEUTICS INC,2834.0
68236P10,16.6,17.25,2009-01-07,1366,36392.0,ONCT,ONCTERNAL THERAPEUTICS INC,2834.0
68236P10,17.18,16.5,2009-01-08,1607,36392.0,ONCT,ONCTERNAL THERAPEUTICS INC,2834.0
68236P10,16.96,17.07,2009-01-09,1010,36392.0,ONCT,ONCTERNAL THERAPEUTICS INC,2834.0
68236P10,16.24,16.87,2009-01-12,855,36392.0,ONCT,ONCTERNAL THERAPEUTICS INC,2834.0
68236P10,16.83,16.25,2009-01-13,601,36392.0,ONCT,ONCTERNAL THERAPEUTICS INC,2834.0
68236P10,15.92,16.56,2009-01-14,720,36392.0,ONCT,ONCTERNAL THERAPEUTICS INC,2834.0
68236P10,16.31,15.87,2009-01-15,561,36392.0,ONCT,ONCTERNAL THERAPEUTICS INC,2834.0
68236P10,16.43,16.11,2009-01-16,765,36392.0,ONCT,ONCTERNAL THERAPEUTICS INC,2834.0
68236P10,14.83,16.22,2009-01-20,989,36392.0,ONCT,ONCTERNAL THERAPEUTICS INC,2834.0
68236P10,16.2,14.93,2009-01-21,959,36392.0,ONCT,ONCTERNAL THERAPEUTICS INC,2834.0
68236P10,9.97,16.17,2009-01-22,16757,36392.0,ONCT,ONCTERNAL THERAPEUTICS INC,2834.0
68236P10,9.88,10.43,2009-01-23,5259,36392.0,ONCT,ONCTERNAL THERAPEUTICS INC,2834.0
68236P10,9.56,10.0,2009-01-26,2314,36392.0,ONCT,ONCTERNAL THERAPEUTICS INC,2834.0
68236P10,10.55,9.61,2009-01-27,2514,36392.0,ONCT,ONCTERNAL THERAPEUTICS INC,2834.0
68236P10,10.82,10.65,2009-01-28,2784,36392.0,ONCT,ONCTERNAL THERAPEUTICS INC,2834.0
