cusip,prc,openprc,date,numtrd,shrout,htick,hcomnam,hsiccd
31591280,64.41,62.37,2009-01-02,76,1300.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,63.89,64.3,2009-01-05,35,1300.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,65.21,64.3,2009-01-06,45,1300.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,63.04,64.07,2009-01-07,49,1300.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,63.48,62.6,2009-01-08,21,1300.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,61.93,63.45,2009-01-09,25,1300.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,60.41,62.47,2009-01-12,29,1300.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,60.58,60.9,2009-01-13,31,1300.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,58.8,59.5515,2009-01-14,57,1300.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,59.11,58.82,2009-01-15,36,1300.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,60.38,60.26,2009-01-16,39,1300.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,57.1399,60.33,2009-01-20,90,1300.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,59.3,57.52,2009-01-21,47,1300.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,57.64,58.86,2009-01-22,19,1300.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,58.216,57.0,2009-01-23,22,1300.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,58.63,58.5,2009-01-26,25,1300.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,59.262,59.1,2009-01-27,24,1300.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,61.03,60.5,2009-01-28,102,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,59.63,61.03,2009-01-29,53,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,58.43,59.9,2009-01-30,21,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,58.77,57.43,2009-02-02,39,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,59.48,59.45,2009-02-03,40,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,59.59,59.29,2009-02-04,31,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,60.57,58.7585,2009-02-05,43,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,62.48,60.9,2009-02-06,60,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,62.43,62.66,2009-02-09,51,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,59.91,62.01,2009-02-10,94,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,60.01,60.64,2009-02-11,38,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,60.358,59.47,2009-02-12,64,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,60.598,60.97,2009-02-13,20,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,57.97,58.63,2009-02-17,54,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,57.82,58.51,2009-02-18,37,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,57.21,57.85,2009-02-19,25,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,56.81,56.45,2009-02-20,55,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,54.82,57.28,2009-02-23,83,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,56.676,55.19,2009-02-24,80,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,56.78,56.7,2009-02-25,28,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,54.91,56.7,2009-02-26,31,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,54.13,54.41,2009-02-27,43,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,52.16,53.16,2009-03-02,138,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,51.92,52.79,2009-03-03,81,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,53.552,52.78,2009-03-04,18,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,51.126,52.84,2009-03-05,34,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,50.75,51.35,2009-03-06,60,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,49.798,50.75,2009-03-09,51,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,53.084,50.23,2009-03-10,66,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,53.926,54.01,2009-03-11,87,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,56.086,54.29,2009-03-12,68,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,56.21,55.69,2009-03-13,123,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,55.19,56.84,2009-03-16,183,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,57.09,56.09,2009-03-17,175,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,58.354,57.32,2009-03-18,92,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,58.436,59.8,2009-03-19,93,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,57.326,58.11,2009-03-20,95,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,60.98,58.72,2009-03-23,103,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,59.8,60.84,2009-03-24,107,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,60.216,60.36,2009-03-25,105,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,62.302,61.23,2009-03-26,106,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,61.12,62.04,2009-03-27,97,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,59.16,60.27,2009-03-30,58,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,60.32,59.91,2009-03-31,76,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,61.102,59.7,2009-04-01,34,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,62.7675,63.43,2009-04-02,187,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
31591280,63.586,63.59,2009-04-03,33,1200.0,ONEQ,FIDELITY COMMONWEALTH TRUST,6726.0
