cusip,prc,openprc,date,numtrd,htick,hcomnam,hsiccd,numshr
69371810,30.88,28.61,2009-01-02,25415,PCAR,PACCAR INC,3711.0,296.0
69371810,30.68,30.53,2009-01-05,27942,PCAR,PACCAR INC,3711.0,296.0
69371810,32.04,30.94,2009-01-06,38852,PCAR,PACCAR INC,3711.0,296.0
69371810,30.98,31.49,2009-01-07,26630,PCAR,PACCAR INC,3711.0,296.0
69371810,31.99,31.12,2009-01-08,33106,PCAR,PACCAR INC,3711.0,296.0
69371810,30.13,32.49,2009-01-09,31314,PCAR,PACCAR INC,3711.0,296.0
69371810,29.2,29.4,2009-01-12,26690,PCAR,PACCAR INC,3711.0,296.0
69371810,29.08,29.1,2009-01-13,31753,PCAR,PACCAR INC,3711.0,296.0
69371810,27.47,28.46,2009-01-14,31098,PCAR,PACCAR INC,3711.0,296.0
69371810,28.2,27.48,2009-01-15,31305,PCAR,PACCAR INC,3711.0,296.0
69371810,27.88,28.71,2009-01-16,37211,PCAR,PACCAR INC,3711.0,296.0
69371810,26.15,27.9,2009-01-20,28233,PCAR,PACCAR INC,3711.0,296.0
69371810,27.23,26.65,2009-01-21,30806,PCAR,PACCAR INC,3711.0,296.0
69371810,26.0,26.32,2009-01-22,35277,PCAR,PACCAR INC,3711.0,296.0
69371810,25.81,25.5,2009-01-23,31160,PCAR,PACCAR INC,3711.0,296.0
69371810,25.23,25.7,2009-01-26,22659,PCAR,PACCAR INC,3711.0,296.0
69371810,25.26,25.34,2009-01-27,22665,PCAR,PACCAR INC,3711.0,296.0
69371810,26.55,25.65,2009-01-28,28173,PCAR,PACCAR INC,3711.0,296.0
69371810,24.92,26.2,2009-01-29,36763,PCAR,PACCAR INC,3711.0,296.0
69371810,26.39,26.81,2009-01-30,57259,PCAR,PACCAR INC,3711.0,296.0
69371810,26.66,25.54,2009-02-02,38535,PCAR,PACCAR INC,3711.0,296.0
69371810,27.57,26.58,2009-02-03,36693,PCAR,PACCAR INC,3711.0,296.0
69371810,27.55,27.45,2009-02-04,39566,PCAR,PACCAR INC,3711.0,296.0
69371810,28.94,27.02,2009-02-05,40979,PCAR,PACCAR INC,3711.0,296.0
69371810,30.81,29.1,2009-02-06,53504,PCAR,PACCAR INC,3711.0,296.0
69371810,31.02,30.55,2009-02-09,38339,PCAR,PACCAR INC,3711.0,296.0
69371810,29.72,30.59,2009-02-10,45145,PCAR,PACCAR INC,3711.0,296.0
69371810,29.85,30.62,2009-02-11,31045,PCAR,PACCAR INC,3711.0,296.0
69371810,29.48,29.0,2009-02-12,38278,PCAR,PACCAR INC,3711.0,296.0
69371810,29.54,29.43,2009-02-13,29787,PCAR,PACCAR INC,3711.0,296.0
69371810,27.44,27.98,2009-02-17,38685,PCAR,PACCAR INC,3711.0,296.0
69371810,27.3,27.54,2009-02-18,35564,PCAR,PACCAR INC,3711.0,296.0
69371810,26.62,27.65,2009-02-19,31276,PCAR,PACCAR INC,3711.0,296.0
69371810,26.73,26.58,2009-02-20,43833,PCAR,PACCAR INC,3711.0,296.0
69371810,25.3,26.84,2009-02-23,44084,PCAR,PACCAR INC,3711.0,296.0
69371810,26.63,25.54,2009-02-24,44936,PCAR,PACCAR INC,3711.0,296.0
69371810,25.83,26.16,2009-02-25,48664,PCAR,PACCAR INC,3711.0,296.0
69371810,25.42,26.365,2009-02-26,48327,PCAR,PACCAR INC,3711.0,296.0
69371810,25.07,25.4,2009-02-27,54613,PCAR,PACCAR INC,3711.0,296.0
69371810,22.93,25.75,2009-03-02,53307,PCAR,PACCAR INC,3711.0,296.0
69371810,23.24,23.01,2009-03-03,49921,PCAR,PACCAR INC,3711.0,296.0
69371810,23.98,23.63,2009-03-04,57960,PCAR,PACCAR INC,3711.0,296.0
69371810,22.35,23.83,2009-03-05,42644,PCAR,PACCAR INC,3711.0,296.0
69371810,21.07,21.74,2009-03-06,65072,PCAR,PACCAR INC,3711.0,296.0
69371810,20.89,20.76,2009-03-09,43633,PCAR,PACCAR INC,3711.0,296.0
69371810,22.15,21.6,2009-03-10,47731,PCAR,PACCAR INC,3711.0,296.0
69371810,22.79,22.18,2009-03-11,38761,PCAR,PACCAR INC,3711.0,296.0
69371810,23.45,22.06,2009-03-12,38752,PCAR,PACCAR INC,3711.0,296.0
