cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
70339510,19.42,18.77,2009-01-02,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,19.23,19.21,2009-01-05,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,19.45,19.45,2009-01-06,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,19.32,19.8,2009-01-07,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,19.63,19.22,2009-01-08,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,19.38,19.61,2009-01-09,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,19.05,19.41,2009-01-12,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,19.37,19.08,2009-01-13,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,18.89,19.01,2009-01-14,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,19.15,18.91,2009-01-15,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,19.0,19.4,2009-01-16,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,17.77,18.98,2009-01-20,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,18.34,17.93,2009-01-21,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,18.16,18.005,2009-01-22,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,18.0,17.55,2009-01-23,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,18.29,18.1,2009-01-26,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,18.71,17.93,2009-01-27,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,19.06,18.88,2009-01-28,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,18.57,18.78,2009-01-29,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,18.39,18.54,2009-01-30,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,18.76,18.22,2009-02-02,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,18.75,18.7,2009-02-03,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,18.96,18.43,2009-02-04,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,19.38,18.63,2009-02-05,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,19.91,19.53,2009-02-06,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,19.7,19.77,2009-02-09,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,19.16,19.5,2009-02-10,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,19.19,19.11,2009-02-11,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,19.38,19.0,2009-02-12,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,19.4,19.45,2009-02-13,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,18.65,18.7,2009-02-17,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,18.51,18.88,2009-02-18,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,20.41,20.71,2009-02-19,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,20.03,20.28,2009-02-20,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,19.6,20.17,2009-02-23,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,19.97,19.68,2009-02-24,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,19.61,19.83,2009-02-25,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,18.39,19.62,2009-02-26,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,18.07,18.38,2009-02-27,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,16.91,17.8,2009-03-02,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,16.95,17.12,2009-03-03,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,17.49,17.09,2009-03-04,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,16.69,17.27,2009-03-05,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,16.55,16.84,2009-03-06,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,16.37,16.49,2009-03-09,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,17.28,16.6,2009-03-10,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,16.66,17.38,2009-03-11,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,17.61,16.6,2009-03-12,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,17.99,17.34,2009-03-13,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,17.43,18.0,2009-03-16,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,17.97,17.43,2009-03-17,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,18.17,17.83,2009-03-18,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,18.05,18.19,2009-03-19,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,17.73,18.25,2009-03-20,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,18.84,18.06,2009-03-23,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,18.86,18.68,2009-03-24,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,19.16,18.85,2009-03-25,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,19.81,19.2,2009-03-26,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,19.53,19.63,2009-03-27,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,19.15,19.25,2009-03-30,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,18.86,19.21,2009-03-31,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,18.59,18.28,2009-04-01,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
70339510,19.48,18.9,2009-04-02,PDCO,PATTERSON COMPANIES INC,5990.0,261.0
