cusip,prc,openprc,date,numtrd,shrout,htick,hcomnam,hsiccd
74251V10,23.6,22.89,2009-01-02,,259340.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,23.08,23.28,2009-01-05,,259340.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,24.48,23.4,2009-01-06,,259340.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,21.83,23.79,2009-01-07,,259340.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,21.9,21.66,2009-01-08,,259340.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,20.94,21.98,2009-01-09,,259340.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,18.55,20.87,2009-01-12,,259340.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,19.1,18.26,2009-01-13,,259340.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,16.94,18.58,2009-01-14,,259340.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,16.4,16.89,2009-01-15,,259340.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,16.19,17.05,2009-01-16,,259340.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,13.95,16.02,2009-01-20,,259340.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,16.29,15.21,2009-01-21,,259340.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,14.91,15.59,2009-01-22,,259340.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,15.7,14.17,2009-01-23,,259340.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,15.48,16.12,2009-01-26,,259340.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,16.49,15.76,2009-01-27,,259340.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,20.48,17.9,2009-01-28,,259340.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,17.84,19.79,2009-01-29,,259340.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,16.59,18.25,2009-01-30,,259340.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,17.03,16.01,2009-02-02,,259340.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,16.64,17.39,2009-02-03,,259340.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,16.19,16.75,2009-02-04,,259340.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,16.62,16.36,2009-02-05,,259340.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,16.83,16.65,2009-02-06,,259340.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,17.03,17.55,2009-02-09,,259340.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,11.99,12.95,2009-02-10,,259340.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,11.66,11.94,2009-02-11,,259340.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,12.04,11.06,2009-02-12,,259340.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,11.64,11.84,2009-02-13,,259340.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,10.82,11.32,2009-02-17,,259340.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,10.55,11.05,2009-02-18,,259340.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,10.51,11.01,2009-02-19,,259340.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,10.52,10.0,2009-02-20,,259340.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,9.34,10.8,2009-02-23,,259340.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,11.07,9.54,2009-02-24,,259340.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,10.33,10.95,2009-02-25,,259340.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,10.59,10.57,2009-02-26,,259340.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,7.99,9.0,2009-02-27,,259561.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,7.3,7.7,2009-03-02,,259561.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,6.86,7.54,2009-03-03,,259561.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,7.31,7.24,2009-03-04,,259561.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,6.38,6.8,2009-03-05,,259561.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,6.08,6.5,2009-03-06,,259561.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,5.88,5.73,2009-03-09,,259561.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
74251V10,7.27,6.33,2009-03-10,,259561.0,PFG,PRINCIPAL FINANCIAL GROUP INC,6321.0
