cusip,prc,openprc,date,numtrd,htick,hcomnam,hsiccd,numshr
46137V14,14.91,14.63,2009-01-02,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,14.8654,14.77,2009-01-05,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,15.01,14.95,2009-01-06,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,14.32,14.91,2009-01-07,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,14.51,14.17,2009-01-08,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,14.03,14.44,2009-01-09,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,13.6,13.99,2009-01-12,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,13.65,13.5,2009-01-13,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,12.97,13.27,2009-01-14,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,13.18,12.98,2009-01-15,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,13.38,13.31,2009-01-16,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,12.48,13.4,2009-01-20,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,13.01,12.49,2009-01-21,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,12.61,12.69,2009-01-22,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,12.67,12.39,2009-01-23,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,12.9,12.7,2009-01-26,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,13.1,12.93,2009-01-27,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,13.58,13.39,2009-01-28,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,13.16,13.32,2009-01-29,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,12.66,13.28,2009-01-30,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,12.46,12.42,2009-02-02,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,12.7,12.53,2009-02-03,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,12.71,12.76,2009-02-04,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,12.75,12.52,2009-02-05,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,13.18,12.82,2009-02-06,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,13.225,13.23,2009-02-09,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,12.65,13.17,2009-02-10,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,12.63,12.7,2009-02-11,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,12.62,12.62,2009-02-12,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,12.51,12.55,2009-02-13,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,11.91,12.0,2009-02-17,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,11.79,12.02,2009-02-18,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,11.6201,11.84,2009-02-19,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,11.55,11.32,2009-02-20,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,10.9599,11.52,2009-02-23,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,11.42,10.97,2009-02-24,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,11.13,11.34,2009-02-25,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,11.21,11.31,2009-02-26,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,11.24,11.09,2009-02-27,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,10.46,11.04,2009-03-02,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,10.29,10.5,2009-03-03,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,10.86,10.44,2009-03-04,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,10.34,10.54,2009-03-05,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,10.41,10.34,2009-03-06,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,10.14,10.18,2009-03-09,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,10.93,10.25,2009-03-10,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,11.05,10.97,2009-03-11,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,11.6,10.91,2009-03-12,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,11.55,11.7,2009-03-13,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,11.36,11.57,2009-03-16,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,11.89,11.36,2009-03-17,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,12.0,11.83,2009-03-18,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,12.07,12.11,2009-03-19,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,11.52,11.95,2009-03-20,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,12.42,12.06,2009-03-23,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,12.26,12.37,2009-03-24,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,12.23,12.27,2009-03-25,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,12.78,12.41,2009-03-26,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,12.48,12.78,2009-03-27,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,11.88,11.96,2009-03-30,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,11.93,12.0,2009-03-31,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,12.14,11.86,2009-04-01,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,12.7,12.45,2009-04-02,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,12.99,12.64,2009-04-03,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,12.77,12.79,2009-04-06,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,12.2969,12.6,2009-04-07,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,12.47,12.46,2009-04-08,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,13.12,12.72,2009-04-09,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,13.1,13.29,2009-04-13,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,12.85,12.92,2009-04-14,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,12.97,12.7,2009-04-15,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,13.3862,13.11,2009-04-16,,PHO,INVESCO E T F TRUST,6726.0,561.0
46137V14,13.51,13.49,2009-04-17,,PHO,INVESCO E T F TRUST,6726.0,561.0
